Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
870	-1409.223	-1493.859	84.63598	0.9237088	0.5343053	0.519211	0.480789	1.086525
876	-1408.307	-1492.846	84.53895	0.8860265	0.6380571	0.519211	0.480789	1.068913
882	-1398.908	-1483.242	84.33357	0.668769	0.7090003	0.519211	0.480789	1.349169
888	-1413.029	-1497.037	84.00785	0.7924215	0.8788603	0.372318	0.627682	1.349169
894	-1411.138	-1494.904	83.76595	0.5539946	0.8716445	0.518771	0.481229	1.71257
900	-1410.783	-1494.999	84.21599	0.5719838	0.7991751	0.434267	0.565733	1.429741
906	-1410.093	-1494.549	84.45607	0.6215179	0.6311385	0.496473	0.503527	1.372398
912	-1403.027	-1487.233	84.20611	0.4856983	0.4866367	0.3941	0.6059	1.816203
918	-1416.682	-1500.63	83.94808	0.5607092	0.9551671	0.3941	0.6059	1.510747
924	-1406.086	-1490.412	84.32558	0.5945973	0.5292069	0.519878	0.480122	1.605559
930	-1410.629	-1494.944	84.31475	0.747932	0.4655065	0.49695	0.50305	1.578805
936	-1408.351	-1492.128	83.77669	0.6832774	0.7168717	0.48624	0.51376	1.743509
942	-1402.555	-1486.808	84.25344	0.3972922	0.5160417	0.493014	0.506986	1.811053
948	-1410.855	-1494.446	83.59023	0.6580873	0.7027545	0.478811	0.521189	1.901899
954	-1408.569	-1493.123	84.55337	0.6044801	0.5328242	0.448874	0.551126	1.423782
960	-1404.128	-1488.52	84.39168	0.5076841	0.4965408	0.461786	0.538214	1.658823
966	-1409.398	-1493.433	84.03502	0.5662983	0.4965408	0.506955	0.493045	1.866937
972	-1405.263	-1489.864	84.60064	0.6588903	0.4942734	0.494454	0.505546	1.393464
978	-1413.006	-1497.872	84.86648	0.7353788	0.471554	0.469228	0.530772	1.142075
984	-1404.944	-1489.607	84.6633	0.8035661	0.5615434	0.496199	0.503801	1.132566
990	-1416.262	-1500.448	84.18558	0.700396	0.6066588	0.429007	0.570993	1.544771
996	-1416.074	-1500.413	84.33936	0.3772333	0.4824508	0.428232	0.571768	1.803968
1002	-1425.142	-1510.134	84.99167	1.032906	0.2980082	0.516602	0.483398	1.072429
1008	-1410.658	-1495.401	84.74284	0.9738286	0.5554098	0.420507	0.579493	0.8942049
1014	-1408.658	-1493.521	84.86287	0.9738286	0.4290585	0.611044	0.388956	0.9920024
1020	-1405.958	-1490.887	84.9288	0.9406937	0.3687912	0.410175	0.589825	1.073165
1026	-1410.916	-1495.435	84.51843	1.070901	0.6445746	0.410175	0.589825	0.8914442
1032	-1413.41	-1498.042	84.63203	0.8468034	0.6567333	0.499369	0.500631	0.9915844
1038	-1413.555	-1498.1	84.54468	1.137832	0.5954503	0.483183	0.516817	0.8642568
1044	-1419.149	-1503.892	84.74354	0.930152	0.6015095	0.587616	0.412384	0.8642568
1050	-1420.957	-1505.639	84.68138	0.9364989	0.6015095	0.483538	0.516462	0.9274445
1056	-1411.464	-1495.994	84.52953	1.088345	0.6015095	0.671606	0.328394	0.9274445
1062	-1421.349	-1506.036	84.68719	1.051128	0.5697155	0.671606	0.328394	0.8430206
1068	-1414.889	-1499.579	84.68971	1.051128	0.5557651	0.438929	0.561071	0.8655719
1074	-1414.65	-1499.079	84.42867	1.051128	0.6780383	0.473407	0.526593	0.961178
1080	-1416.56	-1500.163	83.60319	2.002632	0.5437974	0.598695	0.401305	0.1936386
1086	-1406.691	-1490.294	83.60319	2.002632	0.5437974	0.561166	0.438834	0.1936386
1092	-1408.96	-1492.565	83.60538	2.002632	0.5437974	0.441001	0.558999	0.1943317
1098	-1404.798	-1488.271	83.4727	1.951377	0.7289659	0.516	0.484	0.2209839
1104	-1407.046	-1490.61	83.56424	1.950237	0.5887798	0.41546	0.58454	0.1865279
1110	-1407.086	-1491.782	84.69617	1.357462	0.4704702	0.441223	0.558777	0.5670015
1116	-1413.265	-1497.907	84.64137	1.303601	0.5212449	0.39338	0.60662	0.6383663
1122	-1411.737	-1495.883	84.14677	1.462472	0.7860585	0.555246	0.444754	0.5408246
1128	-1411.669	-1496.142	84.47271	1.462472	0.5456108	0.447574	0.552426	0.5443338
