Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	tree_length
960	-631.094	-796.678	165.5839	2.743167	3.595533	2.266413
966	-649.1267	-815.2138	166.0871	2.127693	2.986258	2.633607
972	-629.3621	-794.4321	165.07	3.427102	3.726653	2.208997
978	-626.4845	-790.8236	164.3391	4.202831	4.329188	1.980445
984	-626.1437	-789.071	162.9273	6.709709	4.820319	1.756277
990	-627.0459	-789.9681	162.9222	4.220793	6.453567	1.473775
996	-629.7002	-792.0305	162.3303	4.220793	7.371742	1.213428
1002	-632.9306	-793.4695	160.5388	7.914911	7.395659	1.243644
1008	-639.6247	-799.1072	159.4825	6.257153	9.145597	1.243644
1014	-646.544	-807.5975	161.0536	5.711841	7.721767	1.331137
1020	-642.0284	-808.049	166.0206	1.997259	3.80801	2.226562
1026	-630.7839	-794.5568	163.7729	4.834731	4.129649	2.2521
1032	-633.7848	-796.761	162.9762	4.952671	5.864841	1.57192
1038	-631.4644	-794.2849	162.8204	5.542693	5.344318	1.839025
1044	-636.1363	-799.7577	163.6214	4.261466	5.344318	1.754142
1050	-646.8281	-810.8297	164.0016	3.196745	5.535265	1.817889
1056	-643.2914	-808.0745	164.7831	3.038226	4.86244	1.817889
1062	-641.4994	-805.7817	164.2823	4.891372	4.369555	1.730754
1068	-651.4646	-815.1662	163.7017	4.399241	5.002652	1.88038
1074	-646.7228	-809.7275	163.0047	5.823247	5.021123	1.841644
1080	-636.8674	-800.7429	163.8756	4.81414	4.715935	1.801498
1086	-629.7862	-793.6531	163.8669	3.697955	5.572335	1.657869
1092	-628.4853	-792.8732	164.3879	4.07099	4.614843	1.805565
1098	-629.904	-794.5233	164.6194	4.052008	3.9662	2.09383
1104	-656.2531	-820.2374	163.9843	4.856205	3.76314	2.34396
1110	-641.6821	-806.1837	164.5016	5.012493	3.78939	1.935238
1116	-655.4104	-818.1137	162.7033	5.451948	5.36466	1.935238
1122	-650.4145	-814.3584	163.9439	3.191249	5.336179	1.994475
1128	-638.4033	-801.7377	163.3344	5.655259	4.596254	1.960762
1134	-649.8998	-813.0791	163.1793	5.318108	5.615851	1.466252
1140	-654.4672	-816.7142	162.247	5.448872	6.225422	1.655782
1146	-658.1489	-820.1469	161.9979	5.243513	6.677061	1.583624
1152	-647.8011	-809.8028	162.0017	6.207779	6.643818	1.247823
1158	-644.2959	-807.2774	162.9815	4.815566	6.11583	1.434194
1164	-639.9663	-803.0134	163.0471	4.844491	5.669268	1.702816
1170	-651.6574	-815.8539	164.1965	3.475832	5.408849	1.639832
1176	-643.414	-807.791	164.377	3.125215	5.039398	1.933182
1182	-646.8682	-810.54	163.6718	5.123831	4.17832	2.188323
1188	-636.0453	-799.5529	163.5075	5.123831	4.99531	1.750294
1194	-640.2067	-803.9163	163.7096	6.444983	4.046523	1.830853
1200	-635.3847	-800.5518	165.1671	2.923504	4.618694	1.776468
