Iteration	Posterior	Likelihood	Prior	acrv_sd	part_rate_trans	tree_length
1644	-254.3213	-425.8234	171.5021	0.1887748	1.080147	1.474161
1650	-256.3484	-427.6418	171.2934	0.3790473	1.290733	1.324627
1656	-260.7011	-432.3389	171.6378	0.524266	1.24031	0.9260502
1662	-260.938	-432.4806	171.5426	0.4190038	1.160582	1.192644
1668	-259.1795	-430.903	171.7235	0.0783879	1.319897	1.193004
1674	-255.1431	-426.7311	171.588	0.2069601	0.910898	1.523077
1680	-250.9998	-422.8002	171.8003	0.05840896	1.297345	1.163169
1686	-261.3885	-432.4601	171.0716	0.7793576	1.294686	1.172307
1692	-256.8108	-428.4278	171.6169	0.04619537	1.430699	1.216863
1698	-245.8427	-416.9725	171.1298	0.2528477	1.988526	0.9592439
1704	-251.223	-421.934	170.7111	0.4106291	2.494109	0.6132539
1710	-254.0871	-424.8614	170.7743	0.7422852	1.847738	0.966403
1716	-253.9978	-425.3886	171.3908	0.3594875	1.105819	1.40905
1722	-265.6346	-437.2799	171.6453	0.2814918	1.483378	0.9175482
1728	-256.3769	-428.3681	171.9912	0.5014996	0.7221356	1.110737
1734	-268.5403	-440.1068	171.5666	0.5130481	1.22556	1.025788
1740	-257.9702	-429.2249	171.2547	0.189849	0.5780816	2.001176
1746	-261.193	-432.4118	171.2188	1.159644	0.5780816	1.329928
1752	-265.2052	-436.3267	171.1215	0.6381639	0.7017371	1.700329
1758	-257.1582	-427.5744	170.4162	1.468908	1.617597	0.807203
1764	-257.7614	-427.8013	170.0399	1.145008	2.294952	0.8363273
1770	-255.7752	-427.1139	171.3387	0.5360296	1.408989	1.046514
1776	-266.4003	-437.4753	171.0749	0.4562422	1.560865	1.218371
1782	-262.066	-432.7269	170.6609	0.8272974	1.603857	1.218371
1788	-266.9891	-436.1928	169.2036	1.120144	3.287444	0.625182
1794	-263.5861	-429.492	165.9059	2.90973	1.318497	3.176463
1800	-264.5065	-430.6854	166.1789	2.90973	1.702029	2.78189
1806	-264.8601	-430.6648	165.8047	2.90973	1.702029	3.008043
1812	-264.7898	-435.0518	170.262	2.117566	0.8418269	1.10477
1818	-269.1104	-440.0349	170.9245	0.1449158	2.082124	1.167185
1824	-247.6548	-419.204	171.5492	0.04100192	1.864573	0.8667799
1830	-248.0863	-419.4872	171.4009	0.2204159	1.864573	0.8287872
1836	-252.8696	-423.4075	170.5379	1.401015	1.695146	0.5462854
1842	-253.5899	-425.1385	171.5486	0.2724349	1.695146	0.7891607
1848	-261.5283	-432.6018	171.0735	0.4252968	1.828189	1.004266
1854	-264.793	-436.6549	171.8619	0.2426522	1.27296	0.9525616
1860	-263.4925	-435.022	171.5295	0.6685257	1.203475	0.9269298
1866	-271.0431	-442.1823	171.1392	0.8130444	1.21331	1.154878
1872	-272.9159	-441.6095	168.6936	2.267228	1.205848	1.904365
1878	-269.2373	-438.102	168.8647	2.267228	1.467711	1.601168
1884	-276.1002	-443.2242	167.124	2.613383	2.271263	2.010502
1890	-274.7126	-442.0811	167.3685	2.613383	1.33833	2.454519
1896	-267.2149	-434.3289	167.1139	2.613383	1.592877	2.454519
1902	-262.0947	-429.8643	167.7696	2.666356	1.592877	1.997039
1908	-255.0742	-423.0785	168.0043	2.666356	1.391961	1.974483
1914	-251.7213	-418.5749	166.8536	2.666356	1.180245	2.836893
1920	-252.6348	-420.78	168.1452	2.666356	1.563662	1.760943
1926	-251.8741	-419.3141	167.44	2.666356	1.468566	2.293142
1932	-264.7396	-431.6168	166.8771	2.666356	1.363497	2.710758
1938	-279.9247	-448.3718	168.447	2.666356	0.8652306	2.030462
1944	-266.1063	-437.7207	171.6144	0.449326	1.058836	1.192296
1950	-269.0598	-440.6007	171.5409	0.2574593	1.025357	1.434006
1956	-267.8618	-438.5297	170.668	0.500124	2.137136	1.02574
1962	-266.8851	-438.4731	171.588	0.36226	1.355002	1.02574
1968	-255.1964	-426.8747	171.6783	0.4369239	1.327165	0.8811872
1974	-251.3684	-422.9368	171.5684	0.5468625	1.327165	0.8811872
1980	-256.1238	-425.8059	169.6821	1.741583	2.069996	0.8189438
1986	-257.2844	-428.8592	171.5748	0.2254752	1.524226	1.006719
1992	-266.6781	-437.4543	170.7762	0.8578698	1.212955	1.416037
1998	-259.918	-431.0564	171.1384	0.4233392	1.329462	1.381659
2004	-250.3166	-421.5375	171.2209	1.013119	1.087298	1.009881
2010	-253.4168	-425.0622	171.6455	0.6127574	0.8753051	1.18284
2016	-277.7636	-449.4594	171.6959	0.7122409	0.8599129	1.061436
2022	-251.7802	-423.0979	171.3177	0.7122409	1.484396	0.7916859
2028	-251.6552	-422.8762	171.221	0.2171967	1.876923	1.015992
2034	-259.9067	-429.8487	169.942	1.307579	1.755329	1.290846
2040	-264.0891	-435.734	171.6449	0.2422354	0.9768673	1.402926
2046	-260.8256	-432.6584	171.8328	0.08037615	1.355429	1.060895
2052	-258.8724	-430.6198	171.7474	0.2210966	1.355429	1.00734
2058	-258.1981	-429.8477	171.6496	0.1694851	1.086295	1.370551
2064	-261.5999	-432.9822	171.3823	0.5222285	1.408983	1.017592
2070	-257.8009	-429.3453	171.5444	0.4462968	1.431575	0.9041134
2076	-253.5816	-424.962	171.3805	0.6264042	1.431575	0.8857573
2082	-262.1714	-432.1646	169.9932	1.710046	1.735254	0.8857573
2088	-254.4951	-425.8935	171.3984	0.7810488	1.371936	0.7380585
2094	-260.6419	-430.6456	170.0037	1.235793	1.818067	1.247358
2100	-253.6739	-424.427	170.7531	0.1820799	2.59869	0.7643882
2106	-274.7432	-445.3285	170.5853	1.182907	1.765639	0.7643882
2112	-263.3337	-434.3775	171.0439	0.8983048	1.418606	0.9700278
2118	-262.3501	-433.4344	171.0843	0.314158	1.952783	0.9797967
2124	-254.0505	-424.6736	170.6232	0.9529502	1.952783	0.7714605
2130	-260.1963	-431.0105	170.8142	0.8946113	1.441463	1.168268
2136	-258.4967	-430.2042	171.7075	0.464098	0.9037564	1.232494
2142	-257.4064	-428.3123	170.9059	1.430238	1.104504	0.8832262
2148	-273.5192	-444.2592	170.7399	1.136487	0.9160865	1.457901
2154	-260.1682	-430.8974	170.7292	1.407548	1.439489	0.6971494
2160	-258.1585	-430.3449	172.1864	0.1599294	0.9399577	1.044042
2166	-262.6644	-433.7625	171.0981	0.7561785	1.062169	1.36186
2172	-256.0648	-427.4912	171.4264	0.4666229	1.626346	0.7847526
2178	-257.8123	-429.2851	171.4727	0.6879666	0.912725	1.234103
2184	-259.6524	-431.1552	171.5028	0.6135677	0.9358164	1.251853
2190	-255.3219	-426.7599	171.438	0.7310953	0.8845954	1.250608
2196	-261.1818	-431.6278	170.4461	1.683613	1.073626	1.12119
2202	-262.5015	-432.9007	170.3992	1.683613	1.172525	1.073344
2208	-262.4889	-433.777	171.2881	0.8765105	1.162273	1.00438
2214	-263.8275	-433.811	169.9835	1.677073	1.715587	0.9540708
2220	-261.4982	-433.5249	172.0266	0.2364169	0.9609315	1.102402
2226	-266.8547	-437.7799	170.9252	1.123206	1.07506	1.191507
2232	-254.0782	-425.4448	171.3666	1.036877	0.9173087	1.010434
2238	-255.8969	-427.3629	171.4659	0.799432	0.6963978	1.325746
2244	-246.1211	-417.5355	171.4144	0.6605645	1.027245	1.209714
2250	-240.7556	-412.425	171.6694	0.235422	1.399541	1.026588
2256	-252.4638	-423.9794	171.5156	0.3389571	1.430502	1.045242
2262	-248.2187	-419.589	171.3703	0.0962217	1.696143	1.157381
2268	-254.0419	-425.0202	170.9783	0.1370692	2.300215	0.9114931
2274	-249.5228	-420.5498	171.027	0.6224693	1.596446	1.082152
2280	-238.3581	-410.3178	171.9597	0.02746421	1.361849	0.982088
2286	-242.0763	-413.2886	171.2123	0.08084653	1.704325	1.296861
2292	-247.3502	-419.5099	172.1597	0.01440052	0.911588	1.223747
2298	-251.0434	-422.6373	171.5939	0.008299531	1.38151	1.308094
2304	-250.0653	-421.3969	171.3316	0.0918462	1.526998	1.334778
2310	-247.2401	-417.7538	170.5137	1.255556	1.439674	1.116086
2316	-261.3223	-431.1366	169.8143	1.846299	1.548317	1.116086
2322	-261.4273	-431.737	170.3097	1.524682	1.590782	0.9008885
2328	-251.336	-421.619	170.283	1.438551	1.794292	0.7896052
2334	-255.528	-424.6321	169.1041	2.207876	1.746687	1.246476
2340	-252.2956	-422.472	170.1763	1.534718	1.716883	0.8977168
2346	-249.7867	-421.1588	171.3721	0.02640983	2.072881	0.8467894
