Iteration	Posterior	Likelihood	Prior	part_rate_trans	tree_length
1104	-88.84968	-260.2665	171.4168	1.516324	1.34859
1110	-93.43863	-264.3079	170.8693	1.861556	1.504447
1116	-93.54673	-263.3477	169.801	3.492019	1.037574
1122	-93.63049	-265.1357	171.5052	1.346416	1.412506
1128	-105.1739	-275.921	170.747	1.854971	1.599475
1134	-106.0771	-276.1067	170.0296	1.312034	2.441057
1140	-93.90872	-264.5864	170.6777	1.260051	2.057503
1146	-90.59255	-261.0685	170.476	2.417645	1.379809
1152	-103.9954	-275.0907	171.0953	1.954389	1.253973
1158	-79.15893	-250.763	171.6041	1.658749	1.066324
1164	-78.82452	-249.1643	170.3398	2.802676	1.17508
1170	-80.56297	-251.7391	171.1761	1.818209	1.299438
1176	-79.49181	-250.8117	171.3199	1.674429	1.299438
1182	-89.63652	-259.4805	169.844	1.674429	2.329214
1188	-79.85629	-251.2387	171.3824	1.709	1.21892
1194	-94.8088	-265.6834	170.8746	2.224484	1.212372
1200	-91.30083	-261.6454	170.3446	2.754566	1.212372
1206	-82.51249	-253.9931	171.4807	1.316144	1.454615
1212	-80.10262	-251.3929	171.2903	1.506529	1.454615
1218	-79.14767	-249.8621	170.7144	1.106009	2.134539
1224	-84.35042	-255.1293	170.7789	1.647898	1.72483
1230	-88.76985	-258.5969	169.8271	3.660244	0.8269918
1236	-90.23532	-261.2288	170.9935	2.163841	1.162062
1242	-86.14476	-256.9786	170.8338	2.326283	1.159667
1248	-86.84893	-257.1992	170.3502	2.9056	1.0729
1254	-100.4842	-270.6767	170.1925	2.942642	1.181449
1260	-94.57396	-265.6925	171.1186	2.028599	1.170991
1266	-100.4068	-271.5454	171.1385	1.86115	1.29509
1272	-91.25486	-261.7923	170.5374	2.284539	1.435368
1278	-96.61507	-267.558	170.943	1.798085	1.496766
1284	-90.58662	-261.4523	170.8657	1.875387	1.496766
1290	-87.61205	-258.4777	170.8657	1.875387	1.496766
1296	-99.48023	-270.1807	170.7005	2.223141	1.356137
1302	-88.26766	-259.5063	171.2386	1.804465	1.259418
1308	-95.94267	-267.1915	171.2489	1.698545	1.337242
1314	-93.54231	-263.7862	170.2439	2.811684	1.249014
1320	-100.7901	-271.3644	170.5743	2.280434	1.410119
1326	-93.02672	-263.4335	170.4068	2.588565	1.29863
1332	-88.50854	-259.248	170.7395	2.60453	0.9871741
