Iteration	Posterior	Likelihood	Prior	tree_length
1338	-1442.433	-1609.183	166.7499	5.105887
1344	-1444.004	-1611.908	167.904	4.461349
1350	-1445.994	-1613.387	167.3935	4.747718
1356	-1437.159	-1603.917	166.7576	5.101608
1362	-1434.634	-1602.338	167.7037	4.573978
1368	-1430.693	-1597.887	167.1938	4.859157
1374	-1428.917	-1595.996	167.0787	4.923268
1380	-1425.426	-1592.188	166.7621	5.099122
1386	-1426.565	-1594.26	167.6953	4.578685
1392	-1426.535	-1593.107	166.5722	5.204287
1398	-1438.201	-1604.83	166.6294	5.172626
1404	-1436.351	-1602.805	166.4541	5.269571
1410	-1438.471	-1605.636	167.1645	4.875477
1416	-1440.971	-1607.885	166.9141	5.014779
1422	-1426.739	-1593.362	166.6236	5.175838
1428	-1437.206	-1604.767	167.5606	4.654233
1434	-1437.012	-1603.914	166.9019	5.021541
1440	-1431.821	-1598.723	166.9019	5.021541
1446	-1447.5	-1615.082	167.5814	4.642596
1452	-1445.199	-1612.781	167.5814	4.642596
1458	-1434.2	-1600.652	166.4512	5.271152
1464	-1428.875	-1596.011	167.1361	4.891314
1470	-1432.949	-1600.493	167.5434	4.663841
1476	-1431.787	-1599.2	167.4126	4.737037
1482	-1443.337	-1611.548	168.2117	4.287659
1488	-1426.342	-1594.07	167.7279	4.560381
1494	-1429.717	-1597.445	167.7279	4.560381
1500	-1434.124	-1601.921	167.7969	4.52164
1506	-1441.85	-1609.647	167.7969	4.52164
1512	-1443.087	-1610.299	167.2124	4.848825
1518	-1441.108	-1608.32	167.2124	4.848825
1524	-1445.845	-1613.166	167.3213	4.788066
1530	-1445.758	-1612.543	166.7854	5.086191
1536	-1437.477	-1604.934	167.4574	4.712025
1542	-1447.184	-1614.675	167.4917	4.692823
1548	-1439.108	-1606.599	167.4917	4.692823
1554	-1450.376	-1616.9	166.5247	5.230561
1560	-1442.68	-1610.353	167.6739	4.590715
1566	-1440.666	-1607.462	166.796	5.080319
1572	-1448.228	-1615.634	167.4058	4.740836
1578	-1451.761	-1619.332	167.5713	4.648216
1584	-1439.71	-1606.05	166.3397	5.332697
1590	-1439.512	-1605.957	166.4449	5.274645
1596	-1438.145	-1605.357	167.2124	4.848794
1602	-1433.49	-1600.703	167.2124	4.848794
1608	-1424.676	-1592.704	168.0284	4.391238
1614	-1428.698	-1595.881	167.1831	4.865143
1620	-1432.254	-1600.241	167.9869	4.414677
1626	-1438.004	-1604.477	166.473	5.259138
1632	-1428.897	-1595.37	166.473	5.259138
1638	-1437.921	-1605.245	167.3236	4.786766
1644	-1440.025	-1607.3	167.2747	4.814073
1650	-1438.768	-1605.575	166.8078	5.073801
1656	-1445.015	-1612.827	167.8121	4.513062
1662	-1431.861	-1599.283	167.4221	4.731752
1668	-1436.983	-1603.605	166.6214	5.177043
1674	-1434.728	-1602.03	167.3025	4.798524
1680	-1439.498	-1606.642	167.1436	4.887126
1686	-1434.626	-1601.882	167.2557	4.824683
1692	-1431.761	-1599.26	167.499	4.68872
1698	-1435.982	-1602.837	166.8546	5.047835
1704	-1438.942	-1606.141	167.1989	4.856346
1710	-1431.261	-1598.169	166.9076	5.018384
1716	-1437.138	-1604.037	166.899	5.023179
1722	-1427.587	-1594.221	166.6343	5.169902
1728	-1436.743	-1604.848	168.1055	4.347702
1734	-1426.356	-1593.304	166.9477	4.996113
1740	-1425.499	-1592.921	167.4224	4.731589
1746	-1431.655	-1599.077	167.4224	4.731589
1752	-1434.097	-1600.453	166.3555	5.324028
1758	-1434.554	-1602.027	167.4734	4.703022
1764	-1428.015	-1595.025	167.0099	4.961544
1770	-1422.978	-1589.225	166.2477	5.38344
1776	-1428.136	-1595.69	167.5539	4.657975
1782	-1431.431	-1598.79	167.3593	4.766849
1788	-1429.566	-1596.925	167.3593	4.766849
1794	-1430.591	-1597.73	167.1383	4.890077
1800	-1440.922	-1607.416	166.494	5.247527
1806	-1437.22	-1604.663	167.4435	4.719751
1812	-1447.733	-1615.54	167.8074	4.515752
1818	-1431.238	-1598.538	167.2999	4.799985
1824	-1440.349	-1606.939	166.5905	5.194179
1830	-1439.14	-1606.656	167.5155	4.679487
1836	-1452.249	-1619.03	166.7815	5.088369
1842	-1453.367	-1620.344	166.9771	4.979785
1848	-1446.22	-1613.666	167.446	4.718384
1854	-1447.189	-1614.635	167.446	4.718384
1860	-1437.158	-1604.393	167.2348	4.836294
1866	-1436.493	-1603.072	166.579	5.200544
1872	-1428.485	-1596.207	167.7218	4.563818
1878	-1430.344	-1597.629	167.2849	4.808362
1884	-1437.89	-1605.837	167.9472	4.437022
1890	-1433.27	-1600.869	167.5994	4.632514
1896	-1424.321	-1591.699	167.378	4.756385
1902	-1438.559	-1606.064	167.5048	4.685495
1908	-1431.424	-1598.054	166.6309	5.171822
