Iteration	Posterior	Likelihood	Prior	gain_loss_neo	gain_loss_trans	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
630	-1760.422	-1927.926	167.5038	1.828087	1.01934	0.9560245	0.3010924	0.7046403	0.3599832	2.429291	1.20692
636	-1753.952	-1922.337	168.385	1.408727	0.7671549	1.060097	0.3122384	0.5647888	0.2986298	2.429291	1.061789
642	-1752.459	-1920.562	168.1021	1.798288	1.149574	0.6470998	0.5039944	0.1711411	0.4563969	2.097181	1.349352
648	-1759.509	-1928.635	169.1255	1.52326	0.6027779	0.7928441	0.2716617	0.1809724	0.5858437	1.797957	1.349352
654	-1757.298	-1925.699	168.4005	1.488089	0.9144057	0.794375	0.4717163	0.2212768	0.3849055	2.143751	1.410923
660	-1756.544	-1922.911	166.3667	1.663606	1.106291	0.6383562	0.7690167	0.3403959	0.6346053	3.686246	1.100434
666	-1762.419	-1930.048	167.6288	1.231424	0.6984276	0.6331767	0.2637354	0.511994	0.6337223	3.686246	0.9920963
672	-1768.824	-1935.665	166.841	1.465584	0.8047324	0.6070304	0.1166267	0.69836	0.3788137	4.42105	0.959768
678	-1757.579	-1925.438	167.8591	1.332265	1.104	0.6692758	0.2313425	0.69836	0.6328909	2.871492	0.8834732
684	-1747.304	-1914.781	167.4769	1.359993	1.194806	0.7846924	0.3371945	0.7806166	0.5952089	2.871492	0.8830684
690	-1749.402	-1916.485	167.0825	1.841003	1.497451	0.9754793	0.4332193	0.6198535	0.4780977	2.523666	0.8830684
696	-1762.023	-1930	167.9772	1.931645	1.378615	0.7592931	0.2705499	0.3700726	0.4176927	2.523666	0.6224846
702	-1756.15	-1924.604	168.4547	1.620492	0.6943422	0.7375168	0.1868288	0.6126086	0.426459	2.851273	0.6112703
708	-1747.178	-1915.086	167.9077	1.827243	1.084867	0.6389652	0.4036673	0.3242089	0.4745816	2.851273	0.7896864
714	-1760.799	-1929.268	168.4688	1.547922	0.7077883	0.6228892	0.3046508	0.541174	0.390241	2.851273	0.8465177
720	-1751.62	-1920.409	168.7894	1.799002	1.000042	0.9630521	0.1524047	0.6222629	0.2773586	1.944563	0.7327728
726	-1761.323	-1929.104	167.7819	1.799002	1.166347	1.030291	0.5348249	0.3570916	0.3128496	2.611123	0.6520633
732	-1750.529	-1918.27	167.7401	1.727575	1.166347	0.7158022	0.5348249	0.4490655	0.3128496	2.931711	0.6668537
738	-1744.002	-1912.179	168.1775	1.727575	0.9054581	0.6584271	0.2465199	0.6350007	0.341068	2.931711	0.5052052
744	-1751.566	-1919.567	168.0009	1.669541	0.9691993	0.8282696	0.2168272	0.5103343	0.489587	2.931711	0.4751153
750	-1768.888	-1937.488	168.6001	1.173045	1.574715	0.8987718	0.2608678	0.4508277	0.4897972	2.161709	0.5141477
756	-1764.299	-1933.106	168.8073	1.17018	1.025868	0.5557753	0.2074639	0.4508277	0.7015796	2.632342	0.6579738
762	-1758.357	-1927.292	168.935	1.84647	1.254583	0.6515382	0.2578055	0.2719267	0.2751576	2.121999	0.6195551
768	-1761.266	-1930.538	169.2715	2.037271	1.530646	0.7924781	0.1856101	0.1947501	0.3273734	1.180808	0.8365496
774	-1775.541	-1945.053	169.5119	1.728249	1.340874	0.7244668	0.1429263	0.1717182	0.1592944	1.113648	1.372302
780	-1772.302	-1941.575	169.273	2.408219	0.8146196	0.9286742	0.1881309	0.1410693	0.2495072	1.141883	1.254131
786	-1771.704	-1940.86	169.1559	1.568996	1.115275	1.092291	0.1748303	0.2389402	0.286306	1.125476	1.462222
792	-1773.289	-1941.489	168.1996	2.412223	0.7292853	0.8451877	0.3479998	0.2281972	0.310554	1.580235	1.629704
798	-1770.12	-1939.709	169.5894	1.191033	1.005236	0.8016405	0.0898601	0.1414593	0.310554	1.580235	1.486568
804	-1774.372	-1943.189	168.8177	1.498977	0.9495512	0.5818257	0.2449977	0.1040323	0.2889355	1.67628	1.884368
810	-1764.577	-1933.221	168.6443	1.806804	0.7973551	0.7532402	0.3400436	0.08402117	0.2749577	1.67628	1.754339
816	-1754.136	-1923.577	169.4405	1.126971	1.257753	0.783975	0.2382554	0.124742	0.1609947	1.225656	1.741833
822	-1774.114	-1940.398	166.2842	1.994547	1.778499	1.025336	0.2511375	0.5260918	0.1945765	2.542182	1.644346
828	-1775.596	-1944.093	168.4968	1.210581	1.486197	1.167719	0.1250195	0.5260918	0.143752	1.709042	1.375841
834	-1769.118	-1938.004	168.8865	1.367624	1.446401	0.9935149	0.2662187	0.2792733	0.1927906	1.709042	1.148538
840	-1765.931	-1934.286	168.3552	1.955744	1.446401	1.220121	0.3891017	0.171471	0.1927906	1.709042	0.9102695
846	-1759.257	-1929.725	170.4681	1.317262	1.00854	1.015204	0.08583885	0.1312564	0.2112972	0.8999094	1.142259
852	-1751.585	-1921.493	169.9083	1.632065	1.009157	1.055996	0.06684928	0.1119943	0.06916598	0.7118234	1.60874
858	-1750.717	-1919.206	168.4886	2.027421	1.422953	1.072626	0.1669732	0.2127374	0.1074022	1.123292	1.60874
864	-1753.315	-1923.714	170.3984	1.453977	0.9432756	0.5421132	0.1465294	0.1248931	0.1113038	0.7099508	1.696383
870	-1762.99	-1932.098	169.1075	1.453977	0.9304723	0.6294072	0.2719654	0.3763223	0.149846	1.372918	1.793129
876	-1747.558	-1916.266	168.7071	1.489263	1.156039	1.160206	0.24603	0.302892	0.1595994	1.40932	1.553794
882	-1753.939	-1923.399	169.4605	1.647222	1.464441	0.7564112	0.07585682	0.1607819	0.2453893	1.236602	1.245733
888	-1751.551	-1921.497	169.9458	0.972407	1.391128	0.7271163	0.3183129	0.0887094	0.3392579	1.471665	1.036592
894	-1747.254	-1917.016	169.7622	1.846274	1.340617	0.7023046	0.1949106	0.08813802	0.2091096	1.153186	1.03742
900	-1758.074	-1928.772	170.6981	1.519235	1.210248	0.7649786	0.107474	0.09412786	0.2091096	0.6709618	1.02537
906	-1753.286	-1924.9	171.6144	1.403677	0.8250191	0.7269653	0.03766071	0.107448	0.09077451	0.648968	0.8171723
912	-1746.038	-1917.006	170.9678	1.253823	1.142149	0.7269653	0.1579727	0.0995618	0.1669809	0.6239413	1.139496
918	-1747.077	-1918.122	171.0443	1.199764	0.9847437	0.6311189	0.1579727	0.0995618	0.2383386	0.8103749	1.113978
924	-1760.782	-1931.569	170.7863	1.450708	0.9804399	0.6573317	0.1621739	0.06131098	0.2383386	0.9041823	1.052489
930	-1753.689	-1924.041	170.3528	1.431544	1.315568	0.6571079	0.1938263	0.1056583	0.3004716	0.9041823	1.035497
936	-1758.673	-1928.578	169.904	1.365625	1.496435	0.7296321	0.1906814	0.08005008	0.1758069	0.9041823	1.394355
942	-1760.437	-1930.096	169.6592	1.826929	1.356349	0.8418303	0.1212017	0.1094091	0.1381018	0.9041823	1.330752
948	-1764.96	-1934.163	169.2028	1.560061	1.750182	0.9829816	0.1646402	0.207495	0.2222046	1.347508	0.891148
954	-1757.473	-1926.579	169.1062	1.450829	1.149484	0.6794505	0.1814917	0.3671595	0.3114682	2.195654	0.8387815
960	-1764.312	-1932.562	168.2505	1.445492	1.165805	0.9425383	0.3118006	0.4100841	0.0903134	2.970115	0.5921885
966	-1758.533	-1925.987	167.4534	1.93853	1.165805	0.9425383	0.3391016	0.5782141	0.2277225	2.970115	0.6435579
972	-1765.972	-1932.92	166.9486	2.059403	1.145227	1.005278	0.4777053	0.6483994	0.4406888	2.82251	0.7874649
978	-1766.379	-1934.183	167.8042	1.154637	1.145227	0.9309029	0.6058101	0.5835567	0.4202837	2.82251	0.7944476
984	-1767.904	-1934.077	166.1734	1.811957	1.100994	0.6263418	0.8113058	0.4798236	0.414303	4.100479	0.7787718
990	-1762.905	-1927.916	165.0111	1.692725	0.9632501	0.6553155	0.6774818	0.9398006	0.8005993	4.692209	0.8715311
996	-1761.846	-1925.542	163.6961	1.353964	1.169359	0.664076	0.5721244	1.720066	0.8115814	5.423004	0.8715311
1002	-1769.102	-1931.538	162.4361	1.617812	0.9961574	0.8014897	0.5721244	1.451659	0.7178585	6.953919	0.7041429
1008	-1766.53	-1928.234	161.7042	1.294315	1.440237	0.7094469	0.8927779	1.763402	0.7091521	6.981138	0.7715785
1014	-1767.784	-1929.029	161.2456	1.949423	1.304549	0.6999536	0.8940274	1.763402	0.7091521	6.981138	0.7686
1020	-1775.855	-1939.329	163.474	0.9942365	0.6452682	0.8567461	0.7276593	2.123623	0.9066867	5.779855	0.7133464
1026	-1765.345	-1929.509	164.1636	1.239283	0.8567851	0.6528637	0.9545095	0.9445625	0.8301834	5.774352	0.8592211
1032	-1763.694	-1927.677	163.9827	1.871294	0.9730127	1.165444	1.187045	0.8289848	0.6634804	4.869683	0.7561957
1038	-1769.117	-1933.564	164.447	1.077119	1.22242	1.013931	1.073752	0.6561734	0.6788469	5.185726	0.9290713
