Iteration	Posterior	Likelihood	Prior	gain_loss_ratio	tree_length
984	-1829.389	-2000.555	171.1665	1.261202	1.782438
990	-1833.031	-2003.921	170.8905	1.408657	1.874411
996	-1843.097	-2013.825	170.7278	1.426189	1.973065
1002	-1844.833	-2015.937	171.1037	1.316662	1.788545
1008	-1847.557	-2018.472	170.9151	1.210003	1.987704
1014	-1824.923	-1996.318	171.3944	1.17082	1.684661
1020	-1826.799	-1997.826	171.0263	1.326891	1.83516
1026	-1839.544	-2010.664	171.1207	1.080114	1.936129
1032	-1847.764	-2018.79	171.0257	1.380739	1.799846
1038	-1834.498	-2005.273	170.7751	1.408939	1.952352
1044	-1837.099	-2007.552	170.4529	1.313939	2.22431
1050	-1838.961	-2009.939	170.9781	1.536904	1.730152
1056	-1839.008	-2009.652	170.6435	1.192476	2.177799
1062	-1835.115	-2006.31	171.1945	1.154208	1.835847
1068	-1826.133	-1997.164	171.0313	1.320735	1.835847
1074	-1823.29	-1994.184	170.8934	1.250543	1.975635
1080	-1828.415	-1999.447	171.0319	1.155747	1.945299
1086	-1825.884	-1996.681	170.7974	1.334264	1.985418
1092	-1824.257	-1995.319	171.0622	1.065199	1.985418
1098	-1824.944	-1995.85	170.9064	1.322601	1.919726
1104	-1814.427	-1985.421	170.9934	1.233253	1.919726
1110	-1816.607	-1987.458	170.8507	1.204037	2.034493
1116	-1826.011	-1996.909	170.8982	1.451547	1.84127
1122	-1818.303	-1989.223	170.9197	1.428873	1.84127
1128	-1819.175	-1989.76	170.585	1.324933	2.131667
1134	-1816.188	-1986.945	170.7574	1.358541	1.996497
1140	-1827.507	-1998.392	170.8849	1.423875	1.868369
1146	-1832.931	-2003.943	171.0121	1.430325	1.776484
1152	-1821.704	-1992.47	170.7658	1.456123	1.928444
1158	-1819.934	-1990.725	170.7906	1.429881	1.928444
1164	-1817.951	-1988.963	171.0117	1.274533	1.879961
1170	-1824.595	-1995.549	170.9541	1.141684	2.006719
1176	-1833.596	-2004.355	170.759	1.141684	2.135375
1182	-1826.721	-1998.03	171.3091	1.149319	1.759796
1188	-1812.581	-1983.405	170.8235	1.257604	2.017662
1194	-1829.945	-2001.043	171.0976	1.137565	1.913162
1200	-1826.023	-1996.798	170.7752	1.470076	1.913162
1206	-1818.873	-1989.89	171.0175	1.225449	1.908643
1212	-1827.925	-1998.611	170.6855	1.225449	2.129374
1218	-1829.815	-2000.81	170.9952	1.45956	1.768981
1224	-1825.833	-1996.474	170.6406	1.428688	2.029586
1230	-1817.407	-1988.437	171.0305	1.351282	1.816059
1236	-1826.618	-1997.38	170.763	1.352706	1.996525
1242	-1825.467	-1996.322	170.8553	1.265415	1.991351
1248	-1830.464	-2001.154	170.6898	1.433107	1.994058
1254	-1835.302	-2006.182	170.8799	1.144039	2.054426
1260	-1827.952	-1999.191	171.239	1.048914	1.877066
1266	-1831.018	-2001.798	170.7806	1.225581	2.066855
1272	-1818.886	-1989.79	170.9037	1.101112	2.066855
1278	-1825.385	-1996.337	170.9518	1.360713	1.863849
1284	-1833.039	-2003.887	170.8483	1.37832	1.92273
1290	-1830.627	-2001.626	170.9983	1.138325	1.979463
1296	-1821.428	-1992.55	171.1225	1.138325	1.895759
1302	-1820.966	-1992.032	171.0656	1.311298	1.818532
1308	-1824.188	-1995.185	170.997	1.210532	1.932381
1314	-1834.605	-2005.578	170.9728	1.083465	2.032779
1320	-1820.108	-1991.19	171.0817	1.382724	1.759552
1326	-1827.278	-1998.393	171.1155	1.42183	1.709589
1332	-1817.391	-1988.382	170.9909	1.26606	1.899677
1338	-1817.983	-1988.962	170.9787	1.276655	1.900982
1344	-1825.6	-1996.777	171.1777	1.226292	1.798326
1350	-1823.324	-1994.347	171.0233	1.334254	1.83236
1356	-1823.353	-1994.324	170.9712	1.349244	1.858196
1362	-1822.256	-1993.337	171.0804	1.047637	1.984968
1368	-1824.013	-1994.889	170.8759	1.183093	2.031484
1374	-1822.411	-1993.585	171.1735	1.271813	1.770351
1380	-1818.994	-1989.822	170.8282	1.38532	1.931772
1386	-1822.075	-1992.986	170.9114	1.38532	1.875353
1392	-1821.266	-1992.498	171.2321	1.238199	1.752347
1398	-1829.642	-2000.277	170.6341	1.286487	2.123925
1404	-1846.469	-2017.832	171.3629	1.163071	1.712442
1410	-1828.559	-1999.415	170.8559	1.251861	1.999837
1416	-1826.025	-1997.058	171.0323	1.073517	1.999837
1422	-1829.183	-1999.898	170.7157	1.498172	1.935511
1428	-1828.218	-1998.885	170.6669	1.296225	2.096253
1434	-1829.448	-2000.473	171.0256	1.101714	1.985567
1440	-1819.259	-1990.021	170.7612	1.371615	1.985567
1446	-1820.632	-1991.656	171.0237	1.276341	1.87056
1452	-1818.362	-1989.202	170.84	1.240831	2.017595
1458	-1834.522	-2005.784	171.2616	1.198694	1.758854
1464	-1829.515	-2000.43	170.915	1.336733	1.90462
1470	-1818.059	-1988.926	170.8676	1.333991	1.938499
1476	-1826.015	-1996.962	170.9474	1.231029	1.952241
1482	-1823.359	-1994.063	170.704	1.498522	1.943211
1488	-1824.857	-1995.844	170.9873	1.199843	1.946032
1494	-1821.897	-1992.72	170.8233	1.280381	2.002972
1500	-1815.969	-1986.901	170.9327	1.051076	2.08065
1506	-1822.084	-1992.799	170.7144	1.271788	2.08065
1512	-1827.889	-1998.448	170.5589	1.418729	2.089786
1518	-1824.841	-1995.294	170.4526	1.230869	2.276571
1524	-1819.593	-1990.317	170.7242	1.227127	2.102938
1530	-1822.594	-1993.43	170.8358	1.2689	2.002128
1536	-1825.633	-1996.821	171.1875	1.115577	1.86685
1542	-1820.773	-1991.393	170.6199	1.318546	2.112871
1548	-1827.197	-1998.585	171.3879	1.10685	1.73416
1554	-1827.336	-1998.586	171.2494	1.093573	1.839468
1560	-1827.796	-1998.419	170.6234	1.36632	2.080343
1566	-1815.857	-1987.009	171.1515	1.128568	1.882636
1572	-1834.582	-2005.275	170.6933	1.586653	1.895083
1578	-1829.419	-2000.445	171.0266	1.391684	1.791975
1584	-1829.025	-1999.728	170.7023	1.363067	2.030241
1590	-1820.46	-1991.248	170.7884	1.27413	2.030241
1596	-1825.987	-1996.526	170.539	1.360063	2.139575
1602	-1824.119	-1994.702	170.5833	1.314176	2.139575
1608	-1820.758	-1991.908	171.1495	1.30458	1.76483
1614	-1824.028	-1995.019	170.9915	1.195022	1.946404
1620	-1826.385	-1997.316	170.9315	1.118196	2.03721
1626	-1831.922	-2002.771	170.8488	1.245003	2.009038
1632	-1819.433	-1990.322	170.8887	1.389936	1.887766
1638	-1835.59	-2006.291	170.7008	1.13806	2.175606
1644	-1833.583	-2004.216	170.6329	1.274095	2.132605
1650	-1831.316	-2002.19	170.8737	1.332305	1.93545
1656	-1836.878	-2007.886	171.0079	1.317176	1.854252
1662	-1813.404	-1984.229	170.8246	1.215214	2.044509
1668	-1823.097	-1994.378	171.2807	1.240047	1.716953
1674	-1829.384	-2000.395	171.0109	1.333219	1.84153
1680	-1846.356	-2017.504	171.1473	1.279394	1.783423
1686	-1834.763	-2005.774	171.0102	1.396583	1.800093
1692	-1823.473	-1994.459	170.9866	1.349123	1.847678
1698	-1827.408	-1998.215	170.8071	1.349123	1.969303
1704	-1833.89	-2004.884	170.9935	1.249671	1.908822
1710	-1832.948	-2003.792	170.844	1.249671	2.009176
1716	-1835.272	-2005.641	170.3694	1.520657	2.150912
1722	-1838.649	-2008.991	170.3417	1.533352	2.161257
1728	-1836.251	-2006.873	170.6221	1.188564	2.194223
1734	-1828.848	-1999.802	170.9533	1.184977	1.978655
1740	-1825.594	-1996.411	170.8169	1.166617	2.081179
1746	-1825.133	-1995.996	170.8623	1.155267	2.058657
1752	-1834.72	-2005.378	170.6576	1.382316	2.047604
1758	-1828.583	-1999.396	170.8126	1.420626	1.919571
1764	-1821.782	-1992.609	170.8275	1.409276	1.916771
1770	-1825.302	-1996.66	171.3578	1.03222	1.807024
1776	-1814.281	-1985.297	171.016	1.03222	2.038087
1782	-1830.888	-2001.977	171.0885	1.181888	1.88957
1788	-1840.685	-2011.116	170.4306	1.447105	2.156074
1794	-1833.594	-2004.716	171.1222	1.14085	1.894281
1800	-1827.995	-1999.062	171.0671	1.124845	1.942296
1806	-1826.007	-1997.21	171.2031	1.284452	1.741
1812	-1823.507	-1994.354	170.847	1.472711	1.862641
1818	-1809.464	-1980.43	170.9654	1.310845	1.887395
1824	-1807.692	-1978.542	170.8497	1.260444	1.998386
1830	-1824.808	-1995.488	170.6799	1.506193	1.954579
1836	-1823.19	-1994.269	171.0791	1.156464	1.912979
1842	-1819.231	-1989.898	170.6672	1.306397	2.089567
1848	-1811.656	-1982.427	170.7705	1.167502	2.11109
1854	-1815.848	-1986.662	170.8144	1.323786	1.980803
1860	-1820.301	-1991.434	171.133	1.257285	1.808288
1866	-1826.265	-1997.232	170.967	1.037203	2.067185
1872	-1827.165	-1998.33	171.1645	1.133288	1.870534
1878	-1824.301	-1995.396	171.0958	1.123475	1.923845
1884	-1823.36	-1994.32	170.9602	1.261002	1.923845
1890	-1823.429	-1994.272	170.8426	1.261002	2.002725
1896	-1830.767	-2001.755	170.9879	1.297202	1.881139
1902	-1824.378	-1994.993	170.6151	1.208514	2.18602
1908	-1830.889	-2001.293	170.4034	1.427233	2.18602
1914	-1822.204	-1992.869	170.6647	1.410927	2.024817
1920	-1825.628	-1996.529	170.901	1.167831	2.024817
1926	-1828.207	-1999.221	171.0143	1.094413	1.997931
1932	-1835.549	-2006.959	171.4099	1.075244	1.740789
1938	-1832.497	-2003.778	171.2814	1.194392	1.74801
1944	-1841.756	-2012.631	170.8748	1.218091	2.009315
1950	-1840.751	-2011.573	170.822	1.458447	1.888842
1956	-1840.369	-2011.505	171.1363	1.131168	1.891212
1962	-1832.381	-2003.653	171.2718	1.077125	1.83535
1968	-1829.323	-2000.427	171.1033	1.227721	1.848659
1974	-1831.674	-2002.527	170.8528	1.275412	1.986525
1980	-1830.08	-2001.149	171.0688	1.183086	1.902144
1986	-1831.62	-2002.778	171.1582	1.183086	1.841159
1992	-1831.548	-2002.544	170.9961	1.33082	1.853253
1998	-1833.654	-2004.746	171.0919	1.376571	1.756548
2004	-1838.536	-2009.525	170.9888	1.402129	1.811186
2010	-1827.38	-1998.199	170.8188	1.267743	2.014178
2016	-1827.974	-1998.903	170.9289	1.267743	1.940527
2022	-1828.843	-1999.783	170.9406	1.293963	1.915366
2028	-1828.146	-1999.413	171.2672	1.142424	1.793692
2034	-1828.808	-1999.615	170.8073	1.135437	2.107831
2040	-1830.009	-2000.775	170.766	1.40978	1.957919
2046	-1831.543	-2002.397	170.8544	1.398802	1.905355
2052	-1825.293	-1996.461	171.1678	1.198818	1.823874
2058	-1832.388	-2003.53	171.1419	1.410058	1.698861
