Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	tree_length
816	-203.4931	-373.6051	170.112	2.134693	1.452101	0.7714712
822	-196.4574	-365.0868	168.6294	3.379216	2.124556	0.5581362
828	-190.1704	-361.2345	171.0642	1.481245	1.178688	0.5581362
834	-187.9814	-358.7602	170.7788	1.706636	1.257022	0.5566149
840	-189.8383	-360.9546	171.1163	1.403193	1.0971	0.7721126
846	-188.9271	-359.7617	170.8346	2.203045	0.5738814	0.8962751
852	-189.226	-358.3113	169.0853	4.245971	0.9992471	0.8174275
858	-187.539	-358.8786	171.3396	1.238767	0.9992471	0.8174275
864	-195.6605	-364.9979	169.3374	3.005185	1.633561	0.660304
870	-205.1283	-376.0664	170.9382	1.909959	0.8872976	0.6492108
876	-189.9683	-360.022	170.0538	2.358746	1.344334	0.7503191
882	-187.9251	-357.3239	169.3988	3.698814	1.089263	0.7072176
888	-180.781	-349.5835	168.8024	4.368999	1.346609	0.5680409
894	-187.2283	-359.2186	171.9903	1.006337	0.6180434	0.7646263
900	-187.7749	-358.8003	171.0255	1.87176	0.4764909	1.083712
906	-183.9956	-355.648	171.6524	0.6738098	0.9897554	1.083712
912	-182.6177	-353.4457	170.828	1.847972	0.865642	0.9119677
918	-177.9778	-348.1936	170.2158	2.31548	1.284371	0.6251201
924	-175.334	-346.502	171.168	1.241728	1.284371	0.6251201
930	-172.3106	-342.2329	169.9223	2.645526	1.284464	0.7048424
936	-175.3692	-344.8317	169.4624	3.393352	1.284464	0.5463474
942	-181.1542	-352.8231	171.669	1.050346	0.6445772	1.047387
948	-181.9063	-352.2707	170.3643	2.175399	0.9203046	1.047387
954	-178.9873	-349.5041	170.5167	2.315094	0.7658116	0.9358637
960	-176.0178	-346.9249	170.9071	1.684724	1.114797	0.654303
966	-171.148	-342.8864	171.7384	1.231233	0.7115268	0.654303
972	-171.1499	-342.2595	171.1096	1.459779	0.6972483	1.145942
978	-177.2824	-347.4389	170.1565	2.841178	0.9123484	0.6953869
984	-188.2735	-359.0556	170.782	1.701355	1.092998	0.8526314
990	-182.7034	-352.9876	170.2841	2.785011	0.7147185	0.8526314
996	-179.5	-349.8262	170.3262	2.307013	0.7719985	1.121878
1002	-179.3597	-349.2659	169.9062	2.706887	1.0544	0.9592752
1008	-187.5869	-359.1369	171.55	1.108914	0.9150688	0.8200819
1014	-185.0573	-355.5781	170.5208	2.002499	0.9948421	0.9604033
1020	-187.3825	-358.1186	170.7361	1.354645	1.573417	0.6938214
1026	-178.8505	-348.3021	169.4516	3.134063	1.24948	0.9124495
1032	-165.4942	-336.5887	171.0945	1.58784	0.8320387	0.9124495
1038	-169.36	-340.2245	170.8644	1.58784	1.066491	0.9076009
1044	-172.9502	-343.673	170.7229	1.889774	1.066491	0.7444464
1050	-170.6782	-341.7914	171.1132	1.740141	0.6044103	0.9872473
1056	-172.5889	-343.4294	170.8405	1.740141	0.9573753	0.9018958
1062	-175.5176	-346.6565	171.1389	1.166196	1.083025	1.024549
1068	-179.8257	-349.9324	170.1067	2.597478	1.133944	0.7085157
1074	-183.1566	-354.575	171.4184	1.475837	0.7709874	0.7023126
1080	-179.9425	-351.8818	171.9393	0.5239567	1.209456	0.5656203
1086	-174.1643	-344.7505	170.5863	1.94376	1.144947	0.7617684
1092	-176.836	-347.2027	170.3667	2.332221	1.144947	0.5335884
1098	-187.8841	-358.953	171.0689	1.064606	1.539681	0.6673971
