Iteration	Posterior	Likelihood	Prior	tree_length
1746	0.0126224	-173.3187	173.3313	0.9999754
1752	0.9465606	-172.6594	173.606	0.6376981
1758	-0.8269063	-174.3597	173.5328	0.7658994
1764	-2.117653	-175.6504	173.5328	0.7658994
1770	2.368899	-171.2664	173.6353	0.5383831
1776	6.273569	-167.3489	173.6225	0.5937545
1782	-7.806558	-180.8785	173.0719	1.235352
1788	-17.59695	-190.7675	173.1705	1.150451
1794	-16.15598	-189.3265	173.1705	1.150451
1800	-5.794677	-179.2663	173.4717	0.8464828
1806	-2.256448	-175.8788	173.6223	0.5941959
1812	-2.855743	-176.4781	173.6223	0.5941959
1818	-9.236374	-182.7957	173.5593	0.7256163
1824	-1.823917	-175.4064	173.5825	0.6858448
1830	-18.29581	-191.6353	173.3395	0.9917939
1836	-13.0172	-186.187	173.1698	1.151059
1842	0.7942684	-172.648	173.4422	0.8813945
1848	-2.151825	-175.6752	173.5234	0.7791701
1854	-1.517775	-175.0396	173.5218	0.781422
1860	-0.9827738	-174.569	173.5862	0.6789054
1866	-1.151617	-174.6231	173.4714	0.8467441
1872	-5.388215	-179.0131	173.6248	0.5860179
1878	-2.288168	-175.6381	173.3499	0.9811752
1884	-18.18458	-191.7922	173.6076	0.3863662
1890	-30.46678	-203.8531	173.3864	0.9432388
1896	-22.00753	-195.3627	173.3552	0.9758256
1902	-40.71478	-213.8952	173.1804	1.141694
1908	-26.20393	-199.2181	173.0141	1.28328
1914	-24.35526	-197.5416	173.1863	1.136414
1920	-24.90545	-197.8563	172.9508	1.334498
1926	-16.08775	-189.1752	173.0875	1.222259
1932	-19.66488	-192.98	173.3151	1.01601
1938	-16.55777	-189.5821	173.0244	1.274891
1944	-6.104333	-179.5645	173.4602	0.8603464
1950	-15.27917	-188.7088	173.4296	0.8958067
1956	-12.07995	-185.5115	173.4316	0.8936389
1962	-15.46228	-188.8685	173.4062	0.9218399
1968	-17.44985	-190.9076	173.4577	0.8632531
1974	-28.21143	-201.4494	173.238	1.089532
1980	-20.12444	-193.3624	173.238	1.089532
1986	-18.86516	-192.0637	173.1985	1.125488
1992	-15.31191	-188.9224	173.6105	0.6269154
1998	-19.85947	-192.8575	172.998	1.296451
2004	-13.73381	-187.3594	173.6255	0.5836171
2010	-13.34119	-186.4606	173.1194	1.195005
2016	-17.86573	-191.2805	173.4148	0.9124191
2022	-24.00617	-197.1104	173.1042	1.208001
2028	-12.41827	-185.355	172.9367	1.345771
2034	-5.17699	-178.641	173.464	0.8557225
2040	-5.506579	-179.0226	173.516	0.7893816
2046	-11.88254	-185.4418	173.5593	0.7256469
2052	-14.83381	-188.3493	173.5155	0.7900823
2058	-23.17012	-196.3801	173.2099	1.115191
2064	-13.16914	-186.7341	173.565	0.7164136
2070	-15.77607	-188.7508	172.9747	1.315329
2076	-29.07147	-202.3153	173.2439	1.084056
2082	-30.56646	-203.3308	172.7643	1.479241
2088	-26.05852	-198.8335	172.775	1.471185
2094	-34.13798	-206.913	172.775	1.471185
2100	-30.04644	-203.3339	173.2875	1.042893
2106	-29.41477	-202.6563	173.2415	1.086224
2112	-20.03291	-193.1827	173.1498	1.168691
2118	-21.9206	-195.4839	173.5633	0.719197
2124	-17.43717	-190.8895	173.4524	0.8695873
2130	-22.9464	-196.202	173.2556	1.073174
2136	-21.17734	-194.2767	173.0993	1.212192
2142	-19.43798	-193.0761	173.6381	0.4944628
2148	-11.27729	-184.5647	173.2874	1.042983
2154	-9.462904	-182.7418	173.2789	1.051132
2160	-12.72855	-185.5206	172.7921	1.458222
2166	-10.39327	-183.6679	173.2747	1.055155
2172	-14.36151	-187.5893	173.2278	1.098931
2178	-2.264603	-175.8375	173.5729	0.702974
2184	-6.898079	-180.4429	173.5449	0.7481175
2190	-8.887736	-182.5085	173.6208	0.5990343
2196	-3.540163	-176.9503	173.4101	0.9175835
2202	-11.26482	-184.8587	173.5939	0.6638718
2208	-8.575702	-182.2098	173.6341	0.5463681
2214	-19.17012	-192.2918	173.1217	1.193044
2220	-13.01304	-186.4515	173.4385	0.8857232
2226	-2.198796	-175.6194	173.4206	0.9059329
2232	3.047965	-170.5092	173.5571	0.7291014
2238	-1.673267	-175.0991	173.4258	0.900083
2244	-17.10948	-190.5648	173.4553	0.866148
2250	-14.14947	-187.786	173.6366	0.5285314
2256	-8.504485	-181.9061	173.4016	0.9268272
2262	-8.318538	-181.7202	173.4016	0.9268272
2268	-12.8729	-186.2745	173.4016	0.9268272
2274	-8.925486	-182.4845	173.559	0.7261434
2280	-1.869419	-175.4918	173.6223	0.5942106
2286	-2.134508	-175.2491	173.1146	1.199144
2292	-5.324417	-178.9543	173.6299	0.5671097
2298	-17.71435	-190.92	173.2057	1.119032
2304	-11.17766	-184.2737	173.096	1.21502
2310	-20.2683	-193.7448	173.4765	0.8405021
2316	-14.74349	-188.1977	173.4543	0.8673659
2322	-18.60711	-192.0384	173.4313	0.8938848
2328	-13.89955	-187.3396	173.44	0.8839285
2334	-17.52619	-191.0815	173.5553	0.7320638
2340	-15.51135	-188.7776	173.2662	1.063146
2346	-21.29455	-194.7117	173.4172	0.9097535
2352	-11.51495	-184.8571	173.3421	0.9891164
2358	-16.52222	-189.8036	173.2814	1.048711
2364	-29.1129	-202.7508	173.6379	0.4884042
2370	-8.049962	-181.6523	173.6023	0.6460519
2376	-13.61322	-187.2104	173.5972	0.6570207
2382	-31.40282	-204.101	172.6982	1.528793
2388	-28.14137	-201.4608	173.3194	1.01183
2394	-25.24613	-198.4169	173.1708	1.15022
2400	-28.74718	-202.0054	173.2582	1.070697
2406	-23.52752	-196.324	172.7965	1.454825
2412	-7.69875	-181.1523	173.4536	0.8681543
2418	-9.668039	-183.1688	173.5007	0.8097875
2424	-18.82003	-192.3208	173.5007	0.8097875
2430	-11.28225	-184.783	173.5007	0.8097875
2436	-8.494547	-181.7763	173.2818	1.048377
2442	-2.804487	-176.1414	173.3369	0.9943669
2448	-17.88318	-191.2107	173.3275	1.003766
2454	-7.35597	-180.8503	173.4944	0.8180141
2460	-10.07588	-183.5967	173.5208	0.782805
2466	-13.01566	-186.6357	173.6201	0.6011695
2472	-15.01064	-188.527	173.5164	0.7889166
2478	-4.342414	-177.9725	173.6301	0.4391237
2484	-13.27846	-186.8253	173.5469	0.7450923
2490	-10.77416	-184.2816	173.5074	0.8009552
2496	-20.82459	-193.9415	173.1169	1.197141
2502	-16.05907	-189.6904	173.6314	0.5605161
2508	-4.930534	-178.3199	173.3893	0.9400714
2514	-17.38647	-190.6709	173.2845	1.045791
2520	-13.47284	-186.9452	173.4723	0.8456632
2526	-12.89961	-186.2795	173.3799	0.9501166
2532	-15.25172	-188.4624	173.2107	1.114504
2538	-15.80363	-189.3357	173.532	0.7669833
2544	-23.82444	-197.0501	173.2256	1.100868
2550	-18.76481	-192.2633	173.4985	0.8126648
2556	-20.54064	-194.0786	173.5379	0.7583849
2562	-15.24911	-188.8166	173.5675	0.71214
2568	-4.95603	-178.0594	173.1034	1.208762
2574	-6.560334	-180.1977	173.6374	0.5196639
2580	-5.954637	-179.2446	173.2899	1.040541
2586	-12.89116	-186.3132	173.4221	0.9043155
2592	-20.00663	-193.2058	173.1992	1.124889
2598	-8.85566	-182.4596	173.6039	0.6424131
2604	-21.70947	-195.1742	173.4647	0.8548638
2610	-17.87565	-191.2717	173.396	0.9329124
2616	-17.92001	-191.1687	173.2486	1.079626
2622	-19.4375	-193.0672	173.6297	0.5677941
2628	-27.93983	-201.0571	173.1172	1.196885
2634	-27.77734	-201.3273	173.5499	0.7403572
2640	-21.85066	-195.2104	173.3597	0.9711436
2646	-22.70239	-195.6646	172.9622	1.325379
2652	-4.532721	-178.1635	173.6308	0.5632055
2658	-12.73007	-186.0519	173.3218	1.009392
2664	-17.01415	-190.3846	173.3705	0.9600083
2670	-9.011	-182.6308	173.6198	0.6019447
2676	-3.379769	-176.9103	173.5305	0.7691731
2682	-3.591764	-177.2013	173.6095	0.6292678
