"scenario","gridTag","repID","modelID","pass","rhat_max","ess_min","tree_ess","asdsf","rhat_pass","ess_pass","asdsf_pass"
"mk","tl5.00_gl1.00_c25","sim005","model12",TRUE,0.999267668760587,762.538735575341,146.635567502631,0.00694444444444444,TRUE,TRUE,TRUE
"mk","tl5.00_gl1.00_c25","sim006","model12",TRUE,0.999782679567547,1590.99437664216,249.150831771261,0.00368214182535731,TRUE,TRUE,TRUE
"mk","tl5.00_gl1.00_c25","sim007","model12",TRUE,0.999381024603322,638.306105699919,179.748003552092,0.00582251962387862,TRUE,TRUE,TRUE
"mk","tl5.00_gl1.00_c25","sim008","model12",TRUE,0.999647079797818,909.465033236736,396.638608215066,0.00486597174820968,TRUE,TRUE,TRUE
"mk","tl5.00_gl1.00_c25","sim009","model12",TRUE,0.999508237035589,845.959864642552,300.769729224377,0.00562509412066934,TRUE,TRUE,TRUE
"mk","tl5.00_gl1.00_c25","sim010","model12",TRUE,0.999789454391091,684.196724035944,379.62261764888,0.00345458437943987,TRUE,TRUE,TRUE
"mk","tl1.00_gl0.10_c50","sim001","model12",TRUE,0.99926767127302,706.502408258537,362.832375137735,0.00597371565113501,TRUE,TRUE,TRUE
"mk","tl1.00_gl0.10_c50","sim002","model12",TRUE,0.999664825907378,710.326947289332,373.040731950952,0.00441993965061113,TRUE,TRUE,TRUE
"mk","tl1.00_gl0.10_c50","sim003","model12",TRUE,0.999503845749316,558.03656627126,271.438637246413,0.00598395161879568,TRUE,TRUE,TRUE
"mk","tl1.00_gl0.10_c50","sim004","model12",TRUE,0.999487074615112,634.876566886005,577.469359707086,0.0057872707579902,TRUE,TRUE,TRUE
"mk","tl1.00_gl0.10_c50","sim005","model12",TRUE,0.999755112137029,728.096254829361,630.98873223551,0.00374786008209993,TRUE,TRUE,TRUE
"mk","tl1.00_gl0.10_c50","sim006","model12",TRUE,0.999463952801463,667.620457367897,527.617377701721,0.00623588044285771,TRUE,TRUE,TRUE
"mk","tl1.00_gl0.10_c50","sim007","model12",TRUE,0.999724783420342,1003.70048729206,476.680249781963,0.00388104119529546,TRUE,TRUE,TRUE
"mk","tl1.00_gl0.10_c50","sim008","model12",TRUE,0.999620284582111,690.384337455154,653.156753323921,0.00509967461170392,TRUE,TRUE,TRUE
"mk","tl1.00_gl0.10_c50","sim009","model12",TRUE,0.999405999451079,805.083705625872,543.532941891927,0.00649597774307424,TRUE,TRUE,TRUE
"mk","tl1.00_gl0.10_c50","sim010","model12",TRUE,0.999693769286331,561.136379928886,416.292773645679,0.00417462536675659,TRUE,TRUE,TRUE
"mk","tl1.50_gl0.10_c50","sim001","model12",TRUE,0.999768277319073,959.526789255514,492.22714658779,0.00368799794883992,TRUE,TRUE,TRUE
"mk","tl1.50_gl0.10_c50","sim002","model12",TRUE,0.999624837985854,732.311268603662,472.114428262157,0.00466324482893467,TRUE,TRUE,TRUE
