Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
714	-222.1025	-386.4557	164.3532	1.783419	0.9422265	0.7933029	2.093821	3.370228
720	-228.3439	-394.1185	165.7745	2.10591	0.4366782	0.5664407	2.124485	2.683972
726	-238.6793	-405.347	166.6676	0.5963988	0.9716379	0.9014894	1.430576	3.014443
732	-228.7579	-394.0163	165.2583	1.064301	1.557675	1.47866	1.337948	2.95337
738	-226.131	-392.0271	165.8961	0.6500712	1.723231	2.754863	1.548387	1.914634
744	-221.8877	-390.2815	168.3937	0.2781171	0.8539311	1.187817	1.769433	1.798918
750	-239.3115	-404.6542	165.3427	0.3897918	3.395562	2.166637	2.498246	1.202766
756	-232.7793	-398.7223	165.943	0.4027147	2.282312	2.642763	1.419244	1.873223
762	-234.1427	-399.4556	165.3129	0.6057199	3.694885	1.052923	1.843866	2.138559
768	-214.9811	-383.3114	168.3304	0.1507968	1.380033	1.100205	1.300312	1.953854
774	-226.5803	-394.987	168.4067	0.241041	0.7287036	1.30468	1.1585	2.226285
780	-211.89	-380.2133	168.3233	0.1037013	1.06011	1.30468	1.159186	2.157372
786	-216.4196	-384.6407	168.2212	0.08061966	1.252863	1.136232	1.562807	1.956678
792	-211.0351	-374.834	163.799	3.257445	0.7111423	1.066921	1.562807	3.112815
798	-223.4795	-383.7066	160.2271	4.952676	1.52296	1.458226	1.657849	3.471439
804	-221.4722	-383.0941	161.6219	4.952676	1.594354	1.012584	2.656064	2.24089
810	-222.9989	-388.1217	165.1228	1.668094	0.7798593	1.28191	3.416192	1.945107
816	-222.3183	-388.3133	165.995	1.876738	1.018949	1.673021	1.794698	1.901929
822	-221.1028	-382.9022	161.7994	4.337427	1.117941	0.8489503	2.511115	2.986044
828	-212.7165	-376.6266	163.9101	2.714846	1.066161	1.539027	2.097364	2.560564
834	-221.4477	-385.8761	164.4283	2.876141	0.7492857	1.029071	1.646127	2.915364
840	-231.3844	-396.7574	165.373	0.4792109	1.627413	1.828932	1.488925	2.915364
846	-226.7417	-391.1455	164.4038	2.689709	1.412331	0.8271181	1.711069	2.730043
852	-235.6663	-399.8115	164.1452	0.8883638	3.811646	1.706396	2.01775	2.148132
858	-236.5022	-399.932	163.4299	1.624034	3.811646	1.162139	1.963317	2.498523
864	-223.011	-390.7486	167.7376	0.4528008	1.072799	0.7803598	2.458542	1.78386
870	-236.0264	-401.7121	165.6857	1.947537	0.9477013	1.084748	2.388953	2.087398
876	-229.3431	-394.0212	164.6781	2.909867	0.6879152	0.6185675	1.594153	3.04734
882	-216.8269	-383.1663	166.3394	1.130816	0.7638666	1.053007	2.173891	2.466008
888	-209.9552	-375.5086	165.5534	1.493731	0.9569993	0.7400171	1.47859	3.217546
894	-209.6671	-375.3668	165.6997	0.700058	0.7767838	1.486027	2.359932	2.744747
900	-244.9251	-404.9108	159.9857	3.444413	0.9175428	0.4834759	1.067143	5.635068
906	-243.6221	-407.4117	163.7896	2.639603	0.3375347	0.4604958	1.572087	3.913866
912	-234.7536	-398.9713	164.2177	2.204313	0.9521372	0.8804941	1.340308	3.587828
918	-242.0269	-407.5543	165.5274	2.458259	0.8584211	0.8580378	1.121798	2.85952
924	-224.991	-388.1484	163.1574	1.898349	1.778303	1.803668	0.9847207	3.616684
930	-231.3704	-393.3104	161.94	4.4399	0.5697771	1.787787	1.763037	3.062066
936	-224.2438	-387.199	162.9552	2.820624	1.731016	1.298417	1.795184	3.015875
942	-223.4919	-388.3037	164.8118	1.769543	1.085323	1.105812	2.694194	2.464523
948	-228.2358	-393.8923	165.6566	0.9844169	0.908451	2.796338	2.407685	1.777042
954	-217.1716	-384.918	167.7464	0.4296292	0.6500167	1.401293	1.224536	2.470453
960	-230.7982	-395.8505	165.0523	1.479363	0.6500167	0.8705237	3.710158	2.26894
966	-216.2815	-383.7273	167.4458	0.9780321	0.4772489	0.9406464	1.854447	2.283065
972	-217.4382	-384.5079	167.0696	0.6459341	0.7956471	1.052755	1.71953	2.577408
978	-226.3498	-392.8953	166.5455	0.5157574	1.068435	1.918589	1.735016	2.298573
984	-224.1508	-384.6361	160.4853	5.795837	0.8145334	1.408089	2.223018	2.92251
990	-217.3445	-381.5226	164.1781	2.208396	0.5849368	1.796638	2.223018	2.768584
996	-221.1548	-385.272	164.1172	3.085044	0.9852101	1.20207	2.422814	2.245561
1002	-240.688	-407.0178	166.3298	0.61122	0.6726828	1.652273	2.302574	2.409407
1008	-236.9364	-401.472	164.5357	2.220152	0.7624483	1.332754	2.994601	2.224139
1014	-233.4898	-398.1305	164.6407	2.220152	0.7624483	2.321129	1.373983	2.632115
1020	-237.9237	-401.5606	163.6369	2.553946	0.4101578	1.688312	3.162792	2.430544
1026	-229.0545	-392.1696	163.1151	2.263139	1.095016	1.942603	3.162792	2.430544
1032	-239.0636	-404.2721	165.2085	2.369554	0.5717616	1.182786	2.115017	2.460825
1038	-243.7928	-406.2817	162.4888	1.959423	1.780699	1.591482	2.911257	2.949762
1044	-231.3588	-394.5583	163.1995	3.024898	1.16119	1.060041	1.903805	3.14524
1050	-229.074	-394.063	164.989	1.701347	0.5738533	0.7659822	1.184772	3.791649
