Iteration	Posterior	Likelihood	Prior	er_morph[1]	er_morph[2]	er_morph[3]	er_morph[4]	er_morph[5]	er_morph[6]	er_morph[7]	er_morph[8]	er_morph[9]	er_morph[10]	er_morph[11]	er_morph[12]	er_morph[13]	er_morph[14]	er_morph[15]	er_morph[16]	er_morph[17]	er_morph[18]	er_morph[19]	er_morph[20]	er_morph[21]	er_morph[22]	er_morph[23]	er_morph[24]	er_morph[25]	er_morph[26]	er_morph[27]	er_morph[28]	er_morph[29]	er_morph[30]	er_morph[31]	er_morph[32]	er_morph[33]	er_morph[34]	er_morph[35]	er_morph[36]	tree_length
132	62.104	-203.6322	265.7362	0.394833	0.0147218	0.0253181	0.00782022	0.0260644	0.000608774	0.0166778	0.0186176	0.000903994	0.0114976	0.00645729	0.00219854	0.0146651	0.00555453	0.0119389	0.00109012	0.0580945	0.01481	0.0125826	0.0137006	0.00130503	0.0166183	0.00550687	0.0031543	0.0101323	0.0135168	0.0232982	0.0310217	0.0219135	0.022055	0.0542448	0.0213235	0.00878755	0.0486694	0.0532238	0.0070736	0.3743298
138	61.57136	-204.1653	265.7366	0.383737	0.0143081	0.0353687	0.00760045	0.0253319	0.000591665	0.0162091	0.0180944	0.000492893	0.0111745	0.00311698	0.00206215	0.014253	0.00539843	0.0116033	0.00105948	0.0564619	0.00528611	0.012229	0.0133156	0.00126835	0.0161512	0.00535211	0.00306566	0.00984752	0.013137	0.0226435	0.0301499	0.0212977	0.0482475	0.0559758	0.0207242	0.00854059	0.0473017	0.0517281	0.00687481	0.3750069
144	60.12462	-205.5294	265.654	0.390601	0.014564	0.0360013	0.0077364	0.025785	0.000379542	0.016499	0.00334395	0.000501709	0.0113744	0.00110257	0.00209904	0.0145079	0.00594569	0.0118109	0.00107844	0.0574718	0.00538066	0.0124478	0.0135538	0.00189676	0.0164401	0.00544785	0.00611403	0.0100237	0.013372	0.0230485	0.0306892	0.0216786	0.0491105	0.056977	0.0165252	0.00869336	0.0481477	0.0526533	0.00699778	0.2930896
150	50.30256	-215.4462	265.7488	0.381873	0.00628575	0.0293201	0.00743299	0.00743686	6.18768e-05	0.0275913	0.00194844	0.00256385	2.34588e-05	0.00302211	0.00238121	0.0136991	0.0122639	0.00530112	0.000979448	0.0178849	0.00754769	0.00242316	0.0293481	0.000455603	0.00277345	0.0064957	0.00810863	0.0400021	0.0256855	0.0248683	0.0239818	0.0136367	0.0226261	0.0667037	0.0191976	0.0050485	0.0316052	0.0809547	0.0684678	0.3953862
156	49.19968	-216.5317	265.7314	0.386591	0.0063634	0.0296823	0.00600787	0.00752872	6.26412e-05	0.0279321	0.00197251	0.00259552	2.37486e-05	0.00328053	0.00241062	0.0138683	0.0124154	0.0053666	0.000991547	0.0181058	0.00764092	0.00245309	0.0297106	0.000461231	0.00280771	0.00657594	0.00820879	0.0404963	0.0260028	0.0126391	0.0242781	0.0138051	0.0229056	0.0675276	0.0194347	0.00511086	0.063357	0.0520727	0.0693136	0.6611903
162	68.01135	-197.5218	265.5331	0.416857	0.015543	0.0384213	0.00660913	0.0275183	0.00123006	0.00797154	0.00655002	0.000535434	0.0121389	0.00147709	0.00224013	0.0154831	0.000976538	0.0126048	0.00115093	0.061335	0.00574235	0.0132845	0.0412925	0.000229206	0.0175452	0.00581405	0.00818522	0.0262767	0.0142708	0.0124048	0.0351457	0.00526618	0.0354408	0.0123748	0.017636	0.00927772	0.0513842	0.0373532	0.022434	0.2280258
168	69.48958	-195.9932	265.4828	0.491839	0.0135691	0.0335418	0.00576977	0.0179052	0.00107384	0.00695916	0.00571817	0.000467434	0.0105973	0.0012895	0.00421126	0.0147784	0.000852518	0.011004	0.00072524	0.0535455	0.00501307	0.0115974	0.0360484	0.000200097	0.015317	0.00507567	0.0071457	0.0229395	0.0124584	0.0344598	0.00900876	0.00459738	0.0309399	0.0108032	0.0153963	0.00809946	0.0448584	0.0326093	0.0195849	0.2085642
174	64.15032	-201.4939	265.6442	0.366347	0.0183468	0.0453521	0.00780135	0.00676383	0.00176853	0.00940953	0.00773158	0.000632021	0.0143287	0.00174354	0.00569408	0.019982	0.0011527	0.0148786	0.000980602	0.0723993	0.00575088	0.0147334	0.0176447	0.000270552	0.0207102	0.00347119	0.00966175	0.0310167	0.0168451	0.0271013	0.0165595	0.00621615	0.041834	0.00787291	0.0208174	0.0329563	0.0606534	0.0440913	0.0264809	0.2863312
180	66.40554	-199.0718	265.4774	0.363697	0.0182141	0.0493573	0.00774491	0.0067149	0.00175573	0.00934145	0.00767565	0.000627448	0.019247	0.00173093	0.00565288	0.0198374	0.00114436	0.014771	0.000973508	0.0718755	0.00570928	0.0146268	0.0144462	0.000268595	0.0205604	0.00439634	0.00959185	0.0307923	0.0167233	0.0269053	0.0164397	0.00617117	0.0415314	0.00781595	0.0206668	0.0327179	0.0602146	0.0437723	0.0262893	0.2066235
186	63.38196	-202.0954	265.4774	0.355163	0.0177867	0.0481992	0.00756319	0.00655735	0.00171454	0.00912227	0.00749555	0.000612726	0.0187954	0.00169031	0.00552025	0.019372	0.00111751	0.0144244	0.000950666	0.0701891	0.00124269	0.0142836	0.0141073	0.000262293	0.020078	0.0501913	0.0093668	0.0300698	0.0188616	0.026274	0.016054	0.00602638	0.0405569	0.00952024	0.0201819	0.0319502	0.0588018	0.0427453	0.0031519	0.2066235
