Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
726	-1470.319	-1639.86	169.5412	0.1613548	1.142968	1.252316	0.40832	0.59168	0.461591	0.538409	1.37523
732	-1465.264	-1635.463	170.1985	0.01102406	1.004948	1.035887	0.507283	0.492717	0.514957	0.485043	1.2354
738	-1459.58	-1629.149	169.5691	0.4412191	1.210305	1.035887	0.547762	0.452238	0.521131	0.478869	1.2354
744	-1465.546	-1635.367	169.8208	0.5742065	0.8100096	0.8887519	0.545932	0.454068	0.532275	0.467725	1.366124
750	-1467.263	-1636.738	169.4751	0.5298164	1.352865	0.7698839	0.624014	0.375986	0.532275	0.467725	1.366124
756	-1476.761	-1646.614	169.853	0.1370523	1.272305	0.8414926	0.495298	0.504702	0.421634	0.578366	1.366124
762	-1471.892	-1641.964	170.0726	0.1006705	1.001065	0.8743953	0.433609	0.566391	0.456105	0.543895	1.407483
768	-1487.551	-1657.16	169.6085	0.2656678	1.001065	0.8806933	0.437591	0.562409	0.496435	0.503565	1.622582
774	-1479.019	-1648.699	169.6804	0.5210528	1.03299	0.7526894	0.546967	0.453033	0.510775	0.489225	1.448672
780	-1469.933	-1639.413	169.4795	0.6262729	1.088347	0.7031582	0.4833	0.5167	0.367313	0.632687	1.540658
786	-1470.571	-1640.566	169.9945	0.4064044	1.04896	0.8044189	0.467209	0.532791	0.377096	0.622904	1.25947
792	-1474.516	-1644.439	169.9226	0.1335132	0.9534667	0.7538532	0.569587	0.430413	0.528132	0.471868	1.619673
798	-1456.214	-1625.998	169.7837	0.4528742	0.9534667	1.098559	0.530747	0.469253	0.490737	0.509263	1.204197
804	-1457.133	-1626.774	169.641	0.4620139	1.082018	1.165309	0.541696	0.458304	0.427797	0.572203	1.161219
810	-1456.004	-1625.879	169.8748	0.4620139	0.9578989	1.172988	0.541696	0.458304	0.375197	0.624803	1.074518
816	-1468.528	-1638.562	170.0341	0.1109935	0.9578989	1.031019	0.419641	0.580359	0.496937	0.503063	1.340771
822	-1471.453	-1640.878	169.4258	0.1032274	1.396463	1.111668	0.597053	0.402947	0.422345	0.577655	1.436048
828	-1469.295	-1639.054	169.7591	0.2487383	1.070906	1.103376	0.506064	0.493936	0.445822	0.554178	1.296305
834	-1465.524	-1635.31	169.7865	0.2820575	1.11634	0.9984303	0.555687	0.444313	0.480313	0.519687	1.296305
840	-1456.845	-1626.016	169.1715	1.190745	1.151986	0.7591278	0.472291	0.527709	0.435644	0.564356	1.224242
846	-1467.083	-1636.576	169.4924	1.351041	0.8190756	0.9752775	0.472291	0.527709	0.40412	0.59588	0.8829461
852	-1461.19	-1630.679	169.4891	1.034936	0.9714422	1.054932	0.560393	0.439607	0.503176	0.496824	0.965528
858	-1462.24	-1631.251	169.0112	0.9138058	1.653237	1.070311	0.556859	0.443141	0.518727	0.481273	0.8847819
864	-1464.693	-1633.848	169.1551	0.7115847	1.302566	1.329871	0.573294	0.426706	0.455188	0.544812	1.027865
870	-1465.272	-1634.008	168.7354	1.158725	1.572431	1.08255	0.593281	0.406719	0.497828	0.502172	0.9951266
876	-1458.953	-1628.469	169.5165	0.7441257	1.34968	0.9362949	0.540378	0.459622	0.471706	0.528294	0.9718867
882	-1452.438	-1621.742	169.3031	0.7441257	1.27761	1.028572	0.564344	0.435656	0.411669	0.588331	1.169608
888	-1450.477	-1620.321	169.8444	0.3142262	1.09391	0.9640081	0.584241	0.415759	0.405984	0.594016	1.289867
894	-1448.611	-1618.884	170.2727	0.3481182	0.7237803	1.021149	0.443534	0.556466	0.468191	0.531809	1.137968
900	-1463.151	-1633.156	170.0048	0.6088712	0.7783408	0.7374282	0.461529	0.538471	0.436046	0.563954	1.340893
906	-1469.006	-1638.85	169.8432	0.6088712	0.9157676	0.7941302	0.525786	0.474214	0.537472	0.462528	1.311004
912	-1473.789	-1642.347	168.5578	1.768821	1.087617	0.6942439	0.497939	0.502061	0.414633	0.585367	1.362432
918	-1472.417	-1642.319	169.9016	0.06859758	1.014774	1.422697	0.477718	0.522282	0.534938	0.465062	1.100222
924	-1467.947	-1638.074	170.1271	0.3642665	0.8337431	1.111396	0.457582	0.542418	0.489771	0.510229	1.073038
930	-1463.841	-1633.372	169.5317	0.1331842	1.470983	1.278707	0.597606	0.402394	0.424173	0.575827	1.128658
936	-1463.773	-1633.542	169.7691	0.4919274	1.232801	0.9894209	0.597606	0.402394	0.328743	0.671257	1.104256
942	-1467.557	-1637.572	170.0141	0.1925318	1.113076	1.031829	0.497476	0.502524	0.442425	0.557575	1.153783
948	-1466.204	-1636.142	169.9386	0.499975	0.9776785	0.7960845	0.46863	0.53137	0.434558	0.565442	1.275346
954	-1468.005	-1638.165	170.16	0.2315555	1.017422	0.8244131	0.39381	0.60619	0.434558	0.565442	1.275346
960	-1476.931	-1647.177	170.2458	0.2657983	0.7326734	0.9623034	0.414068	0.585932	0.403264	0.596736	1.295399
966	-1463.17	-1633.166	169.9961	0.6326579	0.9259233	0.8205274	0.526745	0.473255	0.358235	0.641765	1.164932
972	-1459.836	-1629.64	169.8042	0.6326579	0.947024	0.9630147	0.526745	0.473255	0.414087	0.585913	1.166199
978	-1464.985	-1634.802	169.817	0.6554227	0.8103242	1.150557	0.437839	0.562161	0.442399	0.557601	1.085375
984	-1456.875	-1627.031	170.1559	0.3231946	0.7919122	1.150557	0.437839	0.562161	0.311597	0.688403	1.158623
990	-1459.395	-1629.212	169.817	0.4030709	1.145444	0.9892591	0.437839	0.562161	0.415183	0.584817	1.164962
996	-1458.352	-1628.522	170.17	0.1687406	0.9961503	1.091244	0.510519	0.489481	0.462985	0.537015	1.082795
1002	-1457.787	-1627.996	170.2083	0.0304903	1.041803	0.984902	0.545401	0.454599	0.439804	0.560196	1.231772
1008	-1458.59	-1628.545	169.9555	0.04477471	1.129518	0.984902	0.542481	0.457519	0.404261	0.595739	1.36361
1014	-1469.563	-1639.618	170.0542	0.04992151	0.8651765	1.595708	0.459312	0.540688	0.52783	0.47217	0.9471295
1020	-1459.807	-1630.287	170.4807	0.06420036	0.7711572	1.065056	0.480024	0.519976	0.418013	0.581987	1.131776
1026	-1463.962	-1633.92	169.9579	0.06420036	1.262866	1.11397	0.528001	0.471999	0.414667	0.585333	1.121957
1032	-1463.494	-1633.806	170.3113	0.06487396	0.9133979	1.05336	0.513751	0.486249	0.414667	0.585333	1.168535
1038	-1461.452	-1631.425	169.9731	0.2347062	1.082215	0.8082448	0.410164	0.589836	0.479537	0.520463	1.372402
1044	-1466.351	-1636.675	170.3246	0.108471	0.8619903	0.7478349	0.39538	0.60462	0.42125	0.57875	1.428712
1050	-1468.727	-1638.558	169.8307	0.8046147	0.8937833	0.9471268	0.437615	0.562385	0.481771	0.518229	1.040427
1056	-1469.928	-1639.629	169.7013	0.7476814	0.9135208	0.9955913	0.495916	0.504084	0.343685	0.656315	1.186834
1062	-1456.549	-1626.284	169.7346	0.4512415	1.110038	0.9955913	0.498645	0.501355	0.36593	0.63407	1.231878
1068	-1468.937	-1638.739	169.8014	0.2414855	0.9809387	0.8629406	0.46706	0.53294	0.563635	0.436365	1.528535
1074	-1477.144	-1647.096	169.9517	0.2442223	1.147446	0.932182	0.624138	0.375862	0.367839	0.632161	1.270956
1080	-1459.449	-1629.553	170.1038	0.7449338	0.6454022	0.7279995	0.540932	0.459068	0.369523	0.630477	1.279987
1086	-1488.704	-1657.684	168.9791	0.5750772	1.839391	0.9608536	0.520166	0.479834	0.369523	0.630477	1.214832
1092	-1482.684	-1652.561	169.877	0.3406762	1.002279	1.15052	0.616318	0.383682	0.397862	0.602138	1.174263
1098	-1470.402	-1640.172	169.7703	0.4016532	0.9898401	1.15052	0.616318	0.383682	0.414417	0.585583	1.218682
1104	-1473.522	-1642.969	169.4472	0.3031238	1.479067	1.19906	0.437228	0.562772	0.471142	0.528858	1.096969
1110	-1473.761	-1643.864	170.103	0.1262417	0.9546835	1.209386	0.37236	0.62764	0.385247	0.614753	1.164426
1116	-1467.951	-1637.908	169.957	0.03839066	1.285528	1.271271	0.585388	0.414612	0.387681	0.612319	1.000451
1122	-1465.511	-1635.259	169.7476	0.4370908	1.329667	0.8727804	0.651771	0.348229	0.397581	0.602419	1.181238
1128	-1466.621	-1635.838	169.2171	0.630998	1.759535	0.7042972	0.569042	0.430958	0.514657	0.485343	1.220831
1134	-1480.163	-1649.744	169.5817	0.1688154	1.545498	0.9056521	0.51911	0.48089	0.461276	0.538724	1.291034
