Iteration	Posterior	Likelihood	Prior	part_rate_trans	tree_length
1908	-738.89	-904.0829	165.1929	0.9352621	5.449287
1914	-735.8386	-900.4848	164.6463	1.010242	5.708349
1920	-743.2154	-908.3374	165.122	1.041723	5.429721
1926	-750.5536	-916.1303	165.5767	1.117964	5.136516
1932	-749.5585	-914.5274	164.969	1.010827	5.530925
1938	-754.6182	-920.7171	166.099	1.289718	4.750408
1944	-751.0192	-914.8275	163.8082	1.080763	6.127534
1950	-758.0506	-922.9332	164.8826	0.9958594	5.586614
1956	-749.4631	-912.2936	162.8305	0.8622647	6.775971
1962	-748.2968	-913.4956	165.1988	0.8911459	5.470344
1968	-743.9469	-907.4633	163.5164	0.8199866	6.427746
1974	-725.1628	-891.1202	165.9574	0.9576829	5.01425
1980	-743.961	-908.2553	164.2943	1.050835	5.878739
1986	-742.2486	-907.9203	165.6716	1.109363	5.088655
1992	-739.751	-905.32	165.569	1.009954	5.200519
1998	-733.6779	-899.0743	165.3964	0.8669686	5.374833
2004	-738.3786	-902.8393	164.4607	1.085539	5.768724
2010	-746.2668	-912.717	166.4502	1.11948	4.649141
2016	-744.9067	-909.1074	164.2007	0.8674248	6.029956
2022	-741.3448	-906.6497	165.3049	0.8815065	5.417222
2028	-738.5196	-903.1454	164.6258	0.9018411	5.778947
2034	-739.1806	-903.8236	164.643	0.804751	5.82265
2040	-733.22	-898.0783	164.8583	0.8374896	5.686827
2046	-742.0127	-906.9573	164.9447	0.7890326	5.666039
2052	-729.9293	-894.5675	164.6382	1.092929	5.667438
2058	-735.8934	-900.1958	164.3024	1.039304	5.88063
2064	-739.5796	-904.882	165.3024	1.018497	5.343074
2070	-732.2417	-896.3302	164.0885	0.9673168	6.036682
2076	-736.5372	-901.7929	165.2557	0.9707267	5.395183
2082	-761.7823	-925.1007	163.3184	0.8862138	6.49916
2088	-744.5418	-909.8145	165.2727	1.030418	5.352923
2094	-737.6004	-901.7826	164.1822	0.8644057	6.041687
2100	-741.8743	-906.3845	164.5102	1.150777	5.705915
2106	-735.6418	-900.5976	164.9557	1.222874	5.42153
2112	-743.5158	-908.5512	165.0354	1.143227	5.42153
2118	-736.2225	-901.3683	165.1458	1.032754	5.42153
2124	-740.2705	-906.6759	166.4054	1.17465	4.643328
2130	-743.8333	-909.8044	165.9711	0.9872949	4.990177
2136	-735.0567	-900.5026	165.4459	0.8519581	5.355778
2142	-739.4365	-904.7114	165.2749	0.9411205	5.400917
2148	-731.9549	-896.8752	164.9203	0.9411205	5.595958
2154	-732.2249	-896.0846	163.8597	0.9489844	6.171273
2160	-741.9941	-906.6982	164.704	1.068605	5.644672
