Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
1230	-1013.382	-1181.05	167.6671	0.1137223	1.011068	0.6971304	0.8946961	3.120191
1236	-1022.698	-1190.493	167.7955	0.1621789	0.9331412	1.094252	0.8446175	2.856752
1242	-1008.287	-1176.117	167.8304	0.0544249	1.10044	0.9703652	1.041386	2.754975
1248	-1011.203	-1179.182	167.9793	0.1625568	0.9175086	0.8476937	1.011203	2.802372
1254	-1019.292	-1186.43	167.1373	0.2261374	1.392815	1.1221	1.047686	2.802372
1260	-1015.699	-1183.364	167.6654	0.2354369	1.40124	0.9091917	1.068693	2.584978
1266	-1018.134	-1185.922	167.7888	0.1516109	1.160255	0.9033658	1.012154	2.743399
1272	-1004.978	-1172.931	167.9532	0.08340218	0.9323639	0.967292	1.079488	2.743399
1278	-1001.819	-1169.566	167.7477	0.2602637	0.9185452	0.967292	1.032147	2.798179
1284	-1011.895	-1180.187	168.2915	0.09964463	0.9828699	0.967292	0.8070908	2.662025
1290	-1009.881	-1177.247	167.3658	0.1640654	1.200736	0.967292	0.8070908	3.052773
1296	-1012.963	-1180.867	167.904	0.08417279	1.200736	1.076081	1.190495	2.472054
1302	-1016.519	-1183.535	167.0156	0.3595223	1.394763	1.087627	0.8965014	2.906582
1308	-1017.792	-1185.395	167.6029	0.01818989	1.271072	1.039094	0.8965014	2.859349
1314	-1021.804	-1189.539	167.7351	0.1514778	1.742763	1.017793	1.214166	2.234589
1320	-1020.404	-1187.955	167.5513	0.5373386	0.7630911	1.150374	1.219273	2.615446
1326	-1013.896	-1180.84	166.9447	0.3553261	1.692975	1.150374	1.136885	2.598136
1332	-1007.049	-1174.488	167.4383	0.4361348	1.559405	0.9825059	1.211037	2.373342
1338	-1011.106	-1178.95	167.8442	0.2306838	0.9217273	1.072958	1.055489	2.676391
1344	-1010.027	-1177.599	167.5718	0.2142845	1.474729	0.9664496	1.026216	2.603873
1350	-1020.045	-1188.122	168.0767	0.0748026	0.9935031	0.9664496	1.235884	2.538881
1356	-1014.333	-1182.063	167.7303	0.472487	1.207475	0.9099573	1.295891	2.370772
