"scenario","gridTag","modelID","median_cid","iqr_cid","n_reps","tree_length","gain_loss","n_char","n_taxa","part_rate","pass_rate","mean_rhat_max","mean_ess_min","mean_asdsf","mean_tree_ess","n_reps_conv","cov_tree_len","mse_tree_len","cov_error_tree_len","mean_cov_rate_loss","mean_mse_rate_loss","cov_error_rate_loss","mean_cgr_coverage","cov_error_cgr"
"nt","tl2.50_gl1.00_pr1.00_c200","model10",0.169320473261589,0.0412656186216207,10,2.5,1,200,50,1,1,0.999251610401924,777.64433343084,0.00790769135129389,516.053397749785,10,0.5,41.2420812420057,0.45,NA,NA,NA,0.7,0.25
"nt","tl2.50_gl1.00_pr1.00_c200","model11",0.156307595123084,0.0322744170344871,10,2.5,1,200,50,1,1,0.999147350849022,731.8164206031,0.0099587846865415,380.251731283618,10,0.2,1.8976548548087,0.75,NA,NA,NA,0.2,0.75
"nt","tl2.50_gl1.00_pr1.00_c200","model2",0.168787912103696,0.0367311760351015,10,2.5,1,200,50,1,1,0.999184883906142,722.822073261035,0.00800664692374813,505.097329126667,10,0.4,57.956080103781,0.55,NA,NA,NA,0.4,0.55
"nt","tl2.50_gl1.00_pr1.00_c200","model3",0.174400449976012,0.0401235062193071,10,2.5,1,200,50,1,1,0.999157863983693,763.406278973162,0.00826347417751512,459.700129397976,10,0.4,3.24161548754093,0.55,0.9,0.0135077644294308,0.0499999999999999,0.65,0.3
"nt","tl2.50_gl1.00_pr1.00_c200","model4",0.172164546172514,0.0366539837508578,10,2.5,1,200,50,1,1,0.999271763397741,713.103198723689,0.00766733446973772,447.718410949303,10,0.4,3.13342864063358,0.55,NA,NA,NA,0.4,0.55
"nt","tl2.50_gl1.00_pr1.00_c200","model5",0.172591314695751,0.0363393974190251,10,2.5,1,200,50,1,1,0.99926599574578,779.745337749403,0.00786684730560443,504.847353035419,10,0.4,3.08235180578168,0.55,NA,NA,NA,0.55,0.4
"nt","tl2.50_gl1.00_pr1.00_c200","model6",0.169975478046205,0.044741165690225,10,2.5,1,200,50,1,1,0.999249613237287,795.722942681268,0.00785313685909714,524.687239586843,10,0.5,43.0980333242179,0.45,NA,NA,NA,0.5,0.45
"nt","tl2.50_gl1.00_pr1.00_c200","model7",0.166387009134239,0.0265266501862118,9,2.5,1,200,50,1,0.9,0.999481253050239,595.065460030775,0.00625697728068787,513.666717071347,10,0.6,24.0894368105185,0.35,1,0.0203971401814875,0.05,0.814814814814815,0.135185185185185
"nt","tl2.50_gl1.00_pr1.00_c200","model8",0.170615494176391,0.0392082160858254,10,2.5,1,200,50,1,1,0.999292053753027,785.656183763092,0.00762171717606392,507.376294599468,10,0.5,42.7934153516831,0.45,NA,NA,NA,0.7,0.25
"nt","tl2.50_gl1.00_pr1.00_c200","model9",0.178916853737159,0.0291001147009213,5,2.5,1,200,50,1,0.5,0.999773416526828,238.717074507526,0.0039118070320974,566.687275297439,10,1,0.3125403744786,0.05,1,0.00903072782880586,0.05,0.9,0.0499999999999999
"nt","tl2.50_gl1.00_pr1.00_c25","model1",0.534743219073049,0.118500194913377,10,2.5,1,25,50,1,1,0.999428290153953,742.191267649223,0.00607036251804395,460.084838632255,10,0.5,3.31840478716178,0.45,NA,NA,NA,0.5,0.45
"nt","tl2.50_gl1.00_pr1.00_c25","model10",0.518540234523194,0.107020200106604,10,2.5,1,25,50,1,1,0.999591742616365,859.11820514833,0.00508256416982068,469.652192322074,10,0.7,7.6585284702379,0.25,NA,NA,NA,0.85,0.1
"nt","tl2.50_gl1.00_pr1.00_c25","model11",0.51080458769525,0.115631315192971,10,2.5,1,25,50,1,1,0.999461826515969,697.137215858094,0.00618651523770555,239.076005013901,10,0.4,1.34621241450959,0.55,NA,NA,NA,0.4,0.55
"nt","tl2.50_gl1.00_pr1.00_c25","model12",0.529203423383449,0.119779447221506,10,2.5,1,25,50,1,1,0.999701490320835,586.310248518861,0.00435815668211026,370.363958774407,10,0.2,2.0416044511494,0.75,NA,NA,NA,0.2,0.75
"nt","tl2.50_gl1.00_pr1.00_c25","model2",0.516679739966328,0.109888430990451,10,2.5,1,25,50,1,1,0.999491309340785,741.809989148185,0.00559982105971656,476.492832854552,10,0.6,9.44171833336799,0.35,NA,NA,NA,0.6,0.35
"nt","tl2.50_gl1.00_pr1.00_c25","model3",0.533527753171451,0.114082718687983,10,2.5,1,25,50,1,1,0.999507409882327,861.211786104396,0.00557403083802148,414.87821869562,10,0.5,2.99487654215888,0.45,0.7,0.211370381492019,0.25,0.6,0.35
"nt","tl2.50_gl1.00_pr1.00_c25","model4",0.535697304601548,0.110435584384788,10,2.5,1,25,50,1,1,0.999489260913553,798.786108221571,0.00569181604185847,448.795278680623,10,0.6,5.87747394088973,0.35,NA,NA,NA,0.6,0.35
"nt","tl2.50_gl1.00_pr1.00_c25","model5",0.535080812698429,0.108186679737168,10,2.5,1,25,50,1,1,0.999555944394416,767.984717254946,0.00532425716597358,477.094386119639,10,0.6,5.51412801954192,0.35,NA,NA,NA,0.75,0.2
"nt","tl2.50_gl1.00_pr1.00_c25","model6",0.519617245694197,0.10178234825851,10,2.5,1,25,50,1,1,0.999510311489642,754.317835673188,0.00556457795257501,523.578615047817,10,0.6,8.93584581537506,0.35,NA,NA,NA,0.6,0.35
"nt","tl2.50_gl1.00_pr1.00_c25","model7",0.519370665608831,0.100589747736273,10,2.5,1,25,50,1,1,0.999518287238269,790.53691798306,0.00537856873836397,459.987453609081,10,0.7,6.20532944068781,0.25,NA,NA,NA,0.85,0.1
"nt","tl2.50_gl1.00_pr1.00_c25","model8",0.518624487874491,0.110601760226136,10,2.5,1,25,50,1,1,0.999505886292815,794.766574969068,0.00560788813110505,460.318110536762,10,0.6,8.64966799596253,0.35,NA,NA,NA,0.8,0.15
