Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	part_rate_trans	tree_length
834	-3067.949	-3233.873	165.9237	0.05798216	1.026023	1.029923	4.431737
840	-3068.096	-3234.646	166.5496	0.0647662	0.8662702	0.9492082	4.20968
846	-3078.996	-3245.177	166.1813	0.05976532	0.7485364	0.9429329	4.488835
852	-3090.957	-3256.487	165.5302	0.05249628	0.9317602	1.103681	4.667376
858	-3080.332	-3246.147	165.8156	0.05770425	1.013503	1.081605	4.470733
864	-3082.515	-3248.505	165.9899	0.05772715	0.8294796	1.090281	4.470733
870	-3075.83	-3241.067	165.2367	0.05431188	0.8344848	1.067026	4.904498
876	-3074.891	-3239.943	165.0519	0.05576316	1.028879	1.002486	4.934829
882	-3092.65	-3258.734	166.0844	0.05579922	0.83024	1.167785	4.374453
888	-3082.149	-3248.881	166.7324	0.06018834	0.8899958	0.9673697	4.084712
894	-3085.812	-3252.087	166.2748	0.05981696	0.9549534	1.133546	4.21379
900	-3077.816	-3244.684	166.8687	0.06393507	0.946483	1.133546	3.877433
906	-3070.156	-3237.128	166.972	0.06709278	0.8473569	0.9878441	3.956318
912	-3076.893	-3244.265	167.3714	0.06850971	0.9615843	1.06847	3.613523
918	-3076.037	-3243.326	167.2895	0.06807459	0.8419144	1.166725	3.673177
924	-3080.792	-3248.216	167.4242	0.06580902	0.7404234	1.0555	3.717647
930	-3084.929	-3251.99	167.0602	0.06650682	0.954941	1.071459	3.796656
936	-3083.185	-3250.24	167.0543	0.06585329	0.9802693	1.052685	3.796656
942	-3069.945	-3237.074	167.1293	0.0644835	0.9247262	1.076162	3.772673
948	-3071.123	-3237.075	165.952	0.06099734	1.060108	1.10519	4.352399
954	-3070.911	-3237.135	166.2237	0.05992246	0.8948352	0.9995562	4.352399
960	-3071.092	-3236.789	165.6972	0.0562361	0.8039661	1.007979	4.696
966	-3073.378	-3239.76	166.3815	0.06311995	0.884053	1.062109	4.231935
972	-3068.855	-3234.944	166.0889	0.06447949	0.998815	0.9341295	4.404278
978	-3081.354	-3247.753	166.3999	0.0624601	0.8174647	1.062861	4.258631
984	-3072.148	-3238.402	166.2543	0.05924703	1.056498	1.049216	4.216015
990	-3085.653	-3251.592	165.9398	0.05914146	0.8518929	1.002836	4.534936
996	-3078.557	-3243.554	164.997	0.05287606	0.8693513	1.063533	5.021444
1002	-3082.106	-3248.064	165.9576	0.06164348	1.014817	0.8906311	4.495323
1008	-3082.174	-3248.781	166.6065	0.06071892	0.9935357	1.04673	4.052033
1014	-3075.419	-3241.654	166.2355	0.06414833	0.897105	0.9945211	4.344958
1020	-3085.03	-3251.519	166.4897	0.06337849	0.946537	1.045956	4.144248
1026	-3072.425	-3238.778	166.3532	0.06480108	0.9470965	0.9487508	4.275719
1032	-3087.485	-3254.124	166.6394	0.0641513	0.8503849	0.9510912	4.166908
1038	-3080.583	-3247.323	166.7394	0.06760091	0.9259483	1.035126	4.01739
1044	-3066.509	-3231.515	165.0057	0.05121606	0.8809909	1.089609	4.996625
1050	-3072.113	-3236.633	164.5193	0.05541169	0.9178059	1.048937	5.266026
1056	-3069.76	-3234.039	164.2797	0.05080168	0.9205967	1.148782	5.344195
1062	-3075.929	-3239.369	163.4406	0.0480068	1.045101	1.14984	5.737967
1068	-3076.895	-3240.141	163.2463	0.04742055	0.9665317	1.14984	5.88755
1074	-3067.832	-3232.382	164.5493	0.05192963	0.9550066	1.021965	5.245769
1080	-3078.295	-3241.096	162.8011	0.04994238	0.9369217	1.01181	6.220161
1086	-3067.747	-3231.84	164.093	0.04994238	1.01538	1.081249	5.432599
1092	-3070.551	-3233.23	162.6784	0.04822749	0.8824117	1.033368	6.305504
1098	-3074.45	-3238.314	163.864	0.05374099	0.9587189	0.9329634	5.66893
1104	-3067.549	-3233.091	165.5423	0.05745538	0.9237449	1.161966	4.629632
1110	-3059.08	-3226.107	167.0268	0.06236176	0.8369943	1.184211	3.820787
1116	-3061.004	-3227.44	166.4359	0.06020318	0.9722956	1.089188	4.137393
1122	-3070.915	-3237.42	166.5052	0.05963232	0.8792859	0.947986	4.23118
1128	-3074.917	-3241.625	166.7079	0.06626897	0.9492808	0.9626883	4.064211
1134	-3085.277	-3252.316	167.0396	0.0636179	0.7880335	1.034667	3.92594
1140	-3086.569	-3252.35	165.7801	0.05966244	0.9113222	1.066818	4.555313
1146	-3072.695	-3239.005	166.3095	0.0569228	0.8619749	1.066818	4.285993
1152	-3085.413	-3251.911	166.4985	0.06341267	0.9759281	1.160896	4.057044
1158	-3071.554	-3238.776	167.2217	0.06537314	0.9834001	1.09981	3.671305
1164	-3079.535	-3246.494	166.9591	0.06336921	0.8177052	1.122717	3.905248
1170	-3083.896	-3250.86	166.9647	0.06274715	0.9228749	1.072986	3.871293
1176	-3091.772	-3257.285	165.5123	0.05607761	0.7331841	1.005357	4.83872
1182	-3073	-3238.389	165.3894	0.05607761	0.8108543	1.053779	4.83872
1188	-3074.74	-3239.992	165.2518	0.05707451	0.8441411	0.927801	4.96675
1194	-3071.66	-3237.397	165.7371	0.0559987	0.8400394	1.016925	4.64904
1200	-3075.936	-3241.555	165.6183	0.0559987	0.7771106	1.042985	4.735209
1206	-3079.02	-3244.434	165.4138	0.05689618	0.9794251	1.104291	4.703089
1212	-3089.537	-3256.326	166.7897	0.06132708	0.9629292	1.130845	3.916365
1218	-3078.179	-3244.984	166.8051	0.06351063	0.9065335	1.169447	3.916365
1224	-3080.15	-3245.223	165.0729	0.05590933	0.9185166	1.070766	4.946401
1230	-3085.842	-3250.811	164.9694	0.05767689	1.002013	0.9675978	5.013957
1236	-3084.213	-3250.407	166.1945	0.05767689	0.7844107	1.173385	4.333213
1242	-3087.664	-3252.845	165.1816	0.0554792	0.8441746	0.9660049	4.98541
1248	-3090.999	-3256.135	165.136	0.05544563	0.8794856	1.094682	4.919831
1254	-3078.789	-3246.139	167.3497	0.06976949	0.7643959	1.049062	3.748924
1260	-3080.908	-3248.934	168.0267	0.07202671	0.9567548	1.196083	3.154877
1266	-3072.935	-3241.287	168.3519	0.08074905	0.8431687	1.034564	3.11938
1272	-3075.29	-3243.413	168.123	0.07645661	0.9041847	1.100408	3.182964
1278	-3064.443	-3232.768	168.3258	0.07645661	0.8881723	1.06915	3.090405
1284	-3072.333	-3240.815	168.4824	0.08057736	0.8962838	1.06915	2.989378
1290	-3078.688	-3247.162	168.4739	0.07370983	0.9347267	1.046234	2.989378
1296	-3071.339	-3239.388	168.0485	0.07370983	0.8115012	0.9361828	3.379355
1302	-3071.292	-3239.215	167.9229	0.07041137	0.8974486	1.043374	3.342346
1308	-3078.459	-3246.356	167.897	0.07367321	0.920191	1.043374	3.342346
1314	-3087.148	-3253.415	166.2664	0.05909038	0.896026	1.134304	4.251807
1320	-3070.16	-3236.072	165.9127	0.05798489	0.8652575	1.111037	4.482536
1326	-3075.49	-3241.353	165.8626	0.06046464	0.9222364	0.9558314	4.564758
1332	-3089.766	-3255.974	166.2079	0.05976756	0.8303421	1.0506	4.368546
1338	-3078.272	-3243.783	165.5111	0.05978978	0.9165302	0.9591061	4.763305
1344	-3079.012	-3245.021	166.0094	0.05913907	0.9957855	1.090287	4.365748
1350	-3075.311	-3241.361	166.0503	0.06079137	1.106336	1.059303	4.296808
1356	-3074.895	-3240.756	165.8613	0.06072841	1.088794	1.092737	4.394616
1362	-3080.358	-3246.715	166.3568	0.0637028	0.9039875	1.081483	4.223404
1368	-3081.844	-3249.196	167.3515	0.06413904	0.7313135	1.151283	3.710261
1374	-3069.89	-3237.065	167.1748	0.0650218	1.0224	0.9989197	3.734408
1380	-3067.518	-3234.593	167.0756	0.06457635	0.9941392	1.036418	3.78655
1386	-3063.35	-3230.519	167.1688	0.06536453	1.040086	1.160684	3.633865
1392	-3066.817	-3234.194	167.3769	0.07261835	0.8563948	1.021659	3.695673
1398	-3070.72	-3238.512	167.7924	0.07556225	0.8122121	0.9384184	3.526286
1404	-3067.392	-3235.707	168.3155	0.07198418	0.9336308	1.096504	3.055897
1410	-3078.944	-3245.848	166.9044	0.06401439	0.9343708	1.10867	3.878081
1416	-3077.031	-3244.848	167.8166	0.07058278	0.9343708	1.091582	3.354771
1422	-3089.369	-3257.291	167.9217	0.07519346	0.7724942	0.9682198	3.456108
1428	-3085.135	-3252.168	167.0327	0.06575863	0.9904533	1.04263	3.809118
1434	-3077.218	-3244.104	166.8855	0.06448455	1.031907	1.077084	3.850816
1440	-3076.305	-3243.633	167.3281	0.06448455	1.031907	1.075918	3.595856
1446	-3077.108	-3243.703	166.5947	0.06448455	1.005578	0.9773729	4.089293
1452	-3076.555	-3242.6	166.0452	0.06146821	0.8412402	1.005559	4.478696
1458	-3079.311	-3245.096	165.7854	0.06243521	1.00753	0.9549534	4.559653
1464	-3082.208	-3248.478	166.2707	0.06072682	0.9151575	0.9732967	4.328828
1470	-3073.26	-3239.481	166.2205	0.06049957	0.8872076	1.045994	4.331959
1476	-3073.523	-3239.249	165.7265	0.05832473	0.8872076	1.052306	4.607713
1482	-3076.233	-3242.073	165.84	0.05761942	0.7866777	1.038154	4.607713
1488	-3076.004	-3241.488	165.4838	0.05563247	0.9643412	1.033946	4.712389
