Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	tree_length
954	-1153.549	-1308.802	155.2536	1.940191	0.8828405	1.179338	9.230211
960	-1144.518	-1303.966	159.4475	1.684232	1.030826	1.034607	7.130326
966	-1137.748	-1294.645	156.8967	1.674095	0.7160541	0.980862	8.691155
972	-1145.345	-1300.099	154.7538	1.735616	1.054077	0.9095584	9.653783
978	-1144.89	-1303.419	158.5292	1.593272	0.9932594	1.086045	7.664137
984	-1140.701	-1299.325	158.6233	1.605395	0.9020974	1.070794	7.664137
990	-1140.246	-1293.823	153.5762	1.769607	0.7532199	1.166803	10.27728
996	-1141.282	-1298.682	157.4	1.535297	0.7996696	1.305395	8.284524
1002	-1140.893	-1298.087	157.1942	1.648881	0.8707885	1.141358	8.382101
1008	-1142.196	-1298.636	156.4405	1.648881	0.9744279	1.154809	8.720482
1014	-1139.235	-1297.139	157.9049	1.648881	0.7793586	0.7954026	8.234452
1020	-1135.512	-1289.289	153.7772	1.83843	0.9068163	1.118622	10.08156
1026	-1129.618	-1286.206	156.5875	1.752681	0.9406729	1.088537	8.640274
1032	-1136.217	-1290.532	154.3145	1.771318	1.063458	1.224417	9.696496
1038	-1154.172	-1308.229	154.0574	1.88866	0.9574351	0.9389025	9.97552
1044	-1142.784	-1296.275	153.4912	1.749398	1.290132	0.6840287	10.30284
1050	-1137.948	-1291.288	153.3402	1.869923	0.8813624	1.128685	10.30284
1056	-1135.819	-1291.912	156.093	1.740152	1.06396	1.128685	8.822655
1062	-1139.761	-1298.372	158.6109	1.626331	1.016786	1.214968	7.521771
1068	-1147.553	-1304.576	157.0233	1.626331	0.7046097	1.063805	8.610926
1074	-1139.838	-1296.217	156.379	1.803126	0.9344037	1.002509	8.772977
1080	-1140.735	-1297.376	156.6408	1.711812	0.9594208	1.291961	8.517256
1086	-1140.471	-1299.701	159.2307	1.548653	1.148987	1.03641	7.255437
1092	-1155.223	-1308.832	153.6085	1.760401	0.7276865	0.8471394	10.44506
1098	-1150.504	-1307.332	156.8284	1.666312	1.078581	0.8193349	8.62728
1104	-1146.245	-1300.226	153.9813	1.774537	0.7604852	0.9872226	10.15217
1110	-1156.793	-1316.198	159.405	1.672292	1.132107	0.8983575	7.178411
1116	-1160.27	-1315.36	155.0894	1.754077	0.7650524	0.8625066	9.642491
1122	-1146.594	-1301.355	154.7609	1.818285	0.6640396	1.284303	9.610584
1128	-1152.253	-1306.432	154.1794	1.745966	0.9586928	1.038624	9.933295
1134	-1151.1	-1310.34	159.2402	1.611819	1.014467	1.106873	7.250672
1140	-1147.91	-1302.499	154.5883	1.783723	1.001833	0.8844887	9.756359
1146	-1153.489	-1308.185	154.6964	1.831659	1.001833	0.7234454	9.756359
1152	-1150.317	-1306.298	155.9805	1.831659	0.8620578	0.7234454	9.151958
1158	-1143.674	-1299.899	156.2249	1.831659	0.91765	0.867838	8.919511
1164	-1141.042	-1294.717	153.6755	1.831659	0.9155243	0.867838	10.26554
1170	-1133.18	-1287.89	154.7097	1.774513	0.826914	1.190625	9.628089
1176	-1136.64	-1288.86	152.2198	1.767674	0.6049627	0.8931142	11.20249
1182	-1136.623	-1292.653	156.0307	1.66709	0.7196517	0.8931142	9.198043
1188	-1155.892	-1309.878	153.9855	1.784842	0.7655044	1.030338	10.11933
1194	-1157.614	-1314.191	156.5774	1.719449	0.8666781	1.148008	8.670913
1200	-1148.762	-1304.95	156.1878	1.770293	0.6529751	1.034397	9.017741
1206	-1140.468	-1294.719	154.2512	1.868305	0.6149894	0.9646944	10.042
1212	-1142.931	-1296.703	153.7726	1.76278	0.6685083	1.002784	10.30474
1218	-1154.678	-1309.325	154.6475	1.890646	0.9686119	1.026504	9.611563
1224	-1151.112	-1306.685	155.5729	1.739338	0.7605522	0.9985026	9.325838
1230	-1165.022	-1320.874	155.8518	1.759622	0.6677077	0.783119	9.325838
1236	-1157.47	-1313.482	156.012	1.772799	0.6407543	1.103567	9.078597
1242	-1147.909	-1303.219	155.3105	1.787805	0.7873132	0.8805472	9.487338
1248	-1147.286	-1305.858	158.5715	1.714806	0.7136387	0.7821482	7.883963
1254	-1149.364	-1304.364	155.0003	1.891296	0.8914345	1.321587	9.311859
1260	-1149.273	-1305.78	156.5072	1.87597	1.023423	1.062667	8.58724
1266	-1155.913	-1312.063	156.1504	1.87597	1.013187	1.207989	8.705502
1272	-1141.046	-1297.424	156.3775	1.727494	0.7394041	0.8533835	8.993629
