tree_length,gain_loss,n_char,M4,M2,M7,M3,M5,M8 (NT baseline),M11,M10,M6,M9,M1 (Mk baseline),M12
1,0.5,100,0.26802352842516797,0.2690181395183373,0.26906328355322484,0.26639808643037544,0.2686821756310094,0.2678323114385139,0.2598559330299321,0.2697723006762066,0.2688479560939514,0.2695738971639583,0.26758047292200043,0.2663148757612237
1,0.5,200,0.19832123986395533,0.19817605786293854,0.195782894800952,0.19802216198271,0.19789019902822647,0.1975893180093904,0.17985327669909185,0.196644970377018,0.1984403843939444,0.19797943633707477,0.19819944359529768,0.19929637594962313
1,1,25,0.5427246096563696,0.541687158020391,0.5420566248844927,0.5430628637492112,0.5427286352206224,0.5418487868550409,0.5309219113311752,0.542360176025558,0.5449728733763436,0.5426926893462436,0.5434042919840321,0.5393476887083596
1,1,50,0.3854376681885849,0.3881951652360411,0.38996827345409035,0.38697677244093825,0.38548755829717973,0.3865788320441381,0.35398437677147276,0.3866148534299437,0.38990550425420667,0.38823894752735605,0.3865815932343553,0.38045168720171996
1,1,100,0.26802352842516797,0.2690181395183373,0.26906328355322484,0.26639808643037544,0.2686821756310094,0.2678323114385139,0.2598559330299321,0.2697723006762066,0.2688479560939514,0.2695738971639583,0.26758047292200043,0.266284177728802
1,1,200,0.19832123986395533,0.19817605786293854,0.195782894800952,0.19802216198271,0.19789019902822647,0.1976061194945384,0.17985327669909185,0.196644970377018,0.1984403843939444,0.19797943633707477,0.19819944359529768,0.19566887091338464
1.5,0.1,25,0.5836355760146289,0.5837062871721309,0.589657973239372,0.5821389830575273,0.5830316226885311,0.5874243051593495,0.5485877804452496,0.586157228702323,0.5842614784719211,0.5872108147560067,0.5825899166029086,0.572012033623494
1.5,0.1,50,0.4162953786607272,0.4168621011438527,0.4198694015657057,0.41585224529943987,0.41714407030022904,0.4184262979663177,0.3954491713404955,0.4163599379962263,0.41518712140518055,0.41734021145690414,0.4148073844254059,0.4113490422087741
1.5,0.1,100,0.2670539664856115,0.2660626736427845,0.2703124721715688,0.2651765042104108,0.2683007083493355,0.2668643725663311,0.25463160221784376,0.2705338969061399,0.26926596640752654,0.2667778231375161,0.2670777849220016,0.2645627930989707
1.5,0.1,200,0.15838332754232082,0.16055807912693304,0.1608240439421873,0.15965059879054705,0.16047292706998229,0.16185046869073827,0.13336383765328835,0.16181916958090264,0.1617513417075287,0.16215027905165583,0.15659268310912056,NA
1.5,0.25,25,0.5836355760146289,0.5837062871721309,0.589657973239372,0.5821389830575273,0.5830316226885311,0.5874243051593495,0.5485877804452496,0.586157228702323,0.5842614784719211,0.5872108147560067,0.5825899166029086,0.5721350358778113
1.5,0.25,50,0.4162953786607272,0.4168621011438527,0.4198694015657057,0.41585224529943987,0.41714407030022904,0.4184262979663177,0.3954491713404955,0.4163599379962263,0.41518712140518055,0.41734021145690414,0.4148073844254059,0.4112784852666674
1.5,0.25,100,0.2670539664856115,0.2660626736427845,0.2703124721715688,0.2651765042104108,0.2683007083493355,0.2668643725663311,0.25463160221784376,0.2705338969061399,0.26926596640752654,0.2667778231375161,0.2670777849220016,0.26449977373100375
1.5,0.25,200,0.15838332754232082,0.16055807912693304,0.1608240439421873,0.15965059879054705,0.16047292706998229,0.16185046869073827,0.13336383765328835,0.16181916958090264,0.1617513417075287,0.16221921798745567,0.15659268310912056,0.18247488449258975
1.5,0.5,25,0.5836355760146289,0.5837062871721309,0.589657973239372,0.5821389830575273,0.5830316226885311,0.5874243051593495,0.5485877804452496,0.586157228702323,0.5842614784719211,0.5872108147560067,0.5825899166029086,0.5723673225954211
1.5,0.5,50,0.4162953786607272,0.4168621011438527,0.4198694015657057,0.41585224529943987,0.41714407030022904,0.4184262979663177,0.3954491713404955,0.4163599379962263,0.41518712140518055,0.41734021145690414,0.4148073844254059,0.41140154656136063
1.5,0.5,100,0.2670539664856115,0.2660626736427845,0.2703124721715688,0.2651765042104108,0.2683007083493355,0.2668643725663311,0.25463160221784376,0.2705338969061399,0.26926596640752654,0.2667778231375161,0.2670777849220016,0.2645161735446172
1.5,0.5,200,0.15838332754232082,0.16055807912693304,0.16104157709767686,0.15965059879054705,0.16047292706998229,0.16185046869073827,0.13336383765328835,0.16181916958090264,0.1617513417075287,0.16214758217214625,0.15659268310912056,0.1526810144272884
1.5,1,25,0.5836355760146289,0.5837062871721309,0.589657973239372,0.5821389830575273,0.5849688958606692,0.5874243051593495,0.5485877804452496,0.586157228702323,0.5842614784719211,0.5872108147560067,0.5825899166029086,0.5723359114928553
1.5,1,50,0.4162953786607272,0.4168621011438527,0.4198694015657057,0.41585224529943987,0.41714407030022904,0.4184262979663177,0.3954491713404955,0.4163599379962263,0.41518712140518055,0.41734021145690414,0.4148073844254059,0.41132474066024116
1.5,1,100,0.2670539664856115,0.2660626736427845,0.2703124721715688,0.2651765042104108,0.2683007083493355,0.2668643725663311,0.25463160221784376,0.2705338969061399,0.26926596640752654,0.2667778231375161,0.2670777849220016,0.264492505041541
1.5,1,200,0.15838332754232082,0.16055807912693304,0.1608240439421873,0.15965059879054705,0.16047292706998229,0.16185046869073827,0.13336383765328835,0.16181916958090264,0.1617513417075287,0.1622187910308633,0.15659268310912056,0.15566716181982054
2.5,0.1,25,0.5267083813934779,0.5317912783550905,0.5319197882434714,0.5271974940032359,0.5283478313047236,0.5303938879836876,0.48413660007364223,0.5277388384556709,0.5305509077449253,0.5311293074621077,0.5294467448159214,0.5169696385718607
2.5,0.1,50,0.38277290992858953,0.3831840602811146,0.3859501342097042,0.3856786825028153,0.38468263280316967,0.3859981170174353,0.37315242487784755,0.38606100730235676,0.38713279725337546,0.3866699688078238,0.38401581478536023,0.3817961887307397
2.5,0.1,100,0.2548752133584533,0.25446929568384646,0.26596798911649355,0.25639321376227564,0.25497364145823576,0.25734234328000094,0.22115178455064288,0.2538120749298516,0.2561959803925776,0.2563790307577443,0.25641299230718273,0.25203983918673745
2.5,0.1,200,0.15921020397763883,0.16112032013002464,0.12840073729022314,0.1604815771695219,0.1608846036062096,0.16028613719018067,0.12796053534798554,0.1595428094980132,0.16012395711079272,0.16155864938192266,0.15980631975664786,NA
2.5,0.25,25,0.5267083813934779,0.5317912783550905,0.5319197882434714,0.5271974940032359,0.5283478313047236,0.5303938879836876,0.48413660007364223,0.5277388384556709,0.5305509077449253,0.5311293074621077,0.5294467448159214,0.5169395067183984
2.5,0.25,50,0.38277290992858953,0.3831840602811146,0.38595834119860956,0.3856786825028153,0.38468263280316967,0.3859981170174353,0.37315242487784755,0.38606100730235676,0.38713279725337546,0.3866699688078238,0.38401581478536023,0.3816535642311788
2.5,0.25,100,0.2548752133584533,0.25446929568384646,0.26586387150038016,0.25639321376227564,0.25497364145823576,0.25734234328000094,0.22115178455064288,0.2538120749298516,0.2561959803925776,0.2563675828702641,0.25641299230718273,0.2444828930457747
2.5,0.25,200,0.15921020397763883,0.16112032013002464,0.1282269636187498,0.1604815771695219,0.1608846036062096,0.16028613719018067,0.12796053534798554,0.1595428094980132,0.16012395711079272,0.1615152442993153,0.15980631975664786,0.21839072928957276
2.5,0.5,25,0.5267083813934779,0.5317912783550905,0.5319197882434714,0.5271974940032359,0.5250395281926225,0.5303938879836876,0.48413660007364223,0.5277388384556709,0.5305509077449253,0.5311293074621077,0.5294467448159214,0.516946059000815
2.5,0.5,50,0.38277290992858953,0.3831840602811146,0.38596364488612267,0.3856786825028153,0.38468263280316967,0.3859981170174353,0.37315242487784755,0.38606100730235676,0.38713279725337546,0.3866699688078238,0.38401581478536023,0.38190432708896577
2.5,0.5,100,0.2548752133584533,0.25446929568384646,0.26025355266584604,0.25639321376227564,0.25497364145823576,0.25734234328000094,0.22115178455064288,0.2538120749298516,0.2561959803925776,0.2563675828702641,0.25641299230718273,0.25191683777249574
2.5,0.5,200,0.15921020397763883,0.16112032013002464,0.12838632946729453,0.1604815771695219,0.1608846036062096,0.16028613719018067,0.12796053534798554,0.1595428094980132,0.16012395711079272,0.16166924560046442,0.15980631975664786,0.11367023127061907
2.5,1,25,0.5267083813934779,0.5317912783550905,0.5319197882434714,0.5271974940032359,0.5250395281926225,0.5303938879836876,0.48413660007364223,0.5277388384556709,0.5305509077449253,0.5311293074621077,0.5294467448159214,0.5168217003380002
2.5,1,50,0.38277290992858953,0.3831840602811146,0.38589183002359084,0.3856786825028153,0.38468263280316967,0.3859981170174353,0.37315242487784755,0.38606100730235676,0.38713279725337546,0.3866699688078238,0.38401581478536023,0.3817961887307397
2.5,1,100,0.2548752133584533,0.25446929568384646,0.26025355266584604,0.25639321376227564,0.25497364145823576,0.25734234328000094,0.22115178455064288,0.2538120749298516,0.2561959803925776,0.2563675828702641,0.25641299230718273,0.2519707672519782
2.5,1,200,0.15921020397763883,0.16112032013002464,0.14690156193152756,0.1604815771695219,0.1608846036062096,0.16028613719018067,0.12796053534798554,0.1595428094980132,0.16012395711079272,0.16148188954807474,0.15980631975664786,0.15904444232273413
5,0.1,25,0.530379609360238,0.5300904246653204,0.5288260448904254,0.5309221729777549,0.5304811046538624,0.5307562380474791,0.5025010241022807,0.5284305624331951,0.5275259531773641,0.5327676587443408,0.5320600018181079,0.5266576401846257
5,0.1,50,0.3636991197419759,0.3645094564434308,0.35141077501323925,0.36190411998281496,0.36502328016427876,0.3642754316591466,0.3218566363910611,0.3673593765867761,0.36507338241710086,0.3670599672100546,0.36360849008373053,0.35891209700753335
5,0.1,100,0.25426046259731583,0.2555925854049757,0.26235202168677785,0.25480586209533396,0.2543624277591344,0.25549461958678543,0.2130789784044445,0.2575293697657258,0.2548674506868406,0.25282792532634,0.25418202447238164,0.2522681096636231
5,0.1,200,0.18140253414181734,0.18236792631154533,0.18083827546534526,0.18036512460471021,0.18189785608447456,0.18094987411073268,0.1436564177197499,0.1845165527252719,0.18282900260883925,0.18024578716062212,0.18384791174886556,0.19330256237575213
5,0.25,25,0.530379609360238,0.5300904246653204,0.5287730469896658,0.5309221729777549,0.5304811046538624,0.5307562380474791,0.5025010241022807,0.5284305624331951,0.5275259531773641,0.5329083875798687,0.5320600018181079,0.5264708250471539
5,0.25,50,0.3636991197419759,0.3645094564434308,0.3513162802632938,0.36190411998281496,0.36502328016427876,0.3642754316591466,0.3218566363910611,0.3673593765867761,0.36507338241710086,0.3670657159402583,0.36360849008373053,0.3590872479935502
5,0.25,100,0.25426046259731583,0.2555925854049757,0.26251234390971256,0.25480586209533396,0.2543624277591344,0.25549461958678543,0.2130789784044445,0.2575293697657258,0.2548674506868406,0.25282792532634,0.25418202447238164,0.2522961934701601
5,0.25,200,0.18140253414181734,0.18236792631154533,0.1808890077937344,0.18036512460471021,0.18189785608447456,0.18094987411073268,0.1436564177197499,0.1845165527252719,0.18282900260883925,0.18024578716062212,0.18384791174886556,0.18206469477374737
5,0.5,25,0.530379609360238,0.5300904246653204,0.5288500603611206,0.5309221729777549,0.5275986142150348,0.5307562380474791,0.5025010241022807,0.5284305624331951,0.5275259531773641,0.5329083875798687,0.5320600018181079,0.5266809751973165
5,0.5,50,0.3636991197419759,0.3645094564434308,0.3513788916851772,0.36190411998281496,0.36502328016427876,0.3642754316591466,0.3218566363910611,0.3673593765867761,0.36507338241710086,0.3670383777981372,0.36360849008373053,0.3590313265193662
5,0.5,100,0.25426046259731583,0.2555925854049757,0.26241056186762146,0.25480586209533396,0.2543624277591344,0.25549461958678543,0.2130789784044445,0.2575293697657258,0.2548674506868406,0.25282792532634,0.25418202447238164,0.2522024020487893
5,0.5,200,0.18140253414181734,0.18236792631154533,0.1809315454845947,0.18036512460471021,0.18189785608447456,0.18094987411073268,0.1436564177197499,0.1845165527252719,0.18282900260883925,0.18015946030776625,0.18384791174886556,0.18138444435263884
5,1,25,0.530379609360238,0.5300904246653204,0.528850982582217,0.5309221729777549,0.5275986142150348,0.5307562380474791,0.5025010241022807,0.5284305624331951,0.5275259531773641,0.5329083875798687,0.5320600018181079,0.5265112952180586
5,1,50,0.3636991197419759,0.3645094564434308,0.3514173733149948,0.36190411998281496,0.36502328016427876,0.3642754316591466,0.3218566363910611,0.3673593765867761,0.36507338241710086,0.3670484918652156,0.36360849008373053,0.35906241811025785
5,1,100,0.25426046259731583,0.2555925854049757,0.2623233316885114,0.25480586209533396,0.2543624277591344,0.25549461958678543,0.2130789784044445,0.2575293697657258,0.2548674506868406,0.25282792532634,0.25418202447238164,0.25231076676297093
5,1,200,0.18140253414181734,0.18236792631154533,0.18090847750009148,0.18036512460471021,0.18189785608447456,0.18094987411073268,0.1436564177197499,0.1845165527252719,0.18282900260883925,0.18011280582856692,0.18384791174886556,0.18139541065335135
