Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	part_rate_trans	tree_length
1710	-1643.294	-1811.286	167.9928	0.6800691	3.09657	2.162823	0.7787745
1716	-1649.82	-1818.061	168.2407	0.893527	2.638837	2.099854	0.6632813
1722	-1640.016	-1808.419	168.403	0.3896996	3.430147	1.890284	0.6632813
1728	-1643.581	-1811.764	168.1826	0.702245	3.243701	1.890284	0.719478
1734	-1643.946	-1812.162	168.2155	0.702245	3.031249	1.856235	0.9101805
1740	-1651.997	-1818.533	166.5361	2.55343	2.448216	1.962475	1.062295
1746	-1646.695	-1815.633	168.9383	0.9340449	2.115784	1.55616	0.9523887
1752	-1649.368	-1817.763	168.3951	1.324398	1.677211	2.263334	0.7361972
1758	-1642.478	-1810.889	168.4105	0.6312517	2.76697	2.060393	0.7296606
1764	-1642.691	-1811.875	169.184	0.9307428	1.942117	1.447789	0.9650999
1770	-1648.316	-1816.901	168.5848	0.9307428	2.100314	1.887092	0.9922152
1776	-1659.65	-1828.849	169.1994	0.682778	2.022754	1.645762	0.929228
1782	-1657.53	-1825.83	168.2997	0.773269	2.681357	1.934747	0.929228
1788	-1648.005	-1816.556	168.5517	0.8879984	2.131723	2.16278	0.7166201
1794	-1644.425	-1812.957	168.532	0.7290688	2.358848	2.16278	0.7093949
1800	-1641.692	-1809.792	168.1002	1.074183	2.358848	2.188194	0.8002448
1806	-1633.099	-1801.049	167.9497	1.016974	2.731561	2.112552	0.8002448
1812	-1640.565	-1808.72	168.1553	1.016974	2.790871	1.89503	0.7563947
1818	-1643.225	-1811.204	167.9793	0.9331198	2.873047	2.095664	0.7563947
1824	-1650.992	-1818.585	167.5922	1.9324	1.979333	2.209858	0.7092935
1830	-1643.361	-1811.063	167.7021	1.9324	1.637756	2.231967	0.9282031
1836	-1655.094	-1821.449	166.3553	3.362584	2.195778	1.674146	0.9211399
1842	-1644.445	-1810.624	166.1789	2.753628	2.497126	2.324726	0.7974115
1848	-1638.926	-1805.736	166.8092	1.448549	3.614049	2.283749	0.7067901
1854	-1635.417	-1804.004	168.5869	0.7142189	2.20609	2.221445	0.7467074
1860	-1634.503	-1802.035	167.5326	1.038415	2.592129	2.678679	0.6998371
1866	-1637.754	-1805.032	167.2773	1.783247	2.621902	2.018908	0.8989391
1872	-1638.954	-1806.334	167.3797	0.7074936	3.907987	2.163579	0.8585714
1878	-1639.742	-1807.851	168.1089	0.485138	3.907987	1.791477	0.6586205
1884	-1640.032	-1809.169	169.1363	0.485138	2.46045	1.635269	0.8345663
1890	-1664.026	-1831.738	167.7118	1.073416	2.959278	2.103629	0.8345663
1896	-1651.528	-1820.053	168.5258	0.8981729	2.296789	1.945411	0.85388
1902	-1654.883	-1823.889	169.0063	0.5751887	2.751052	1.311111	0.9956783
1908	-1645.888	-1813.835	167.9468	1.510337	2.004269	2.094512	0.9203596
1914	-1651.706	-1819.573	167.8665	1.184058	2.01404	2.473369	0.9413993
1920	-1651.538	-1819.581	168.0433	1.246802	2.791841	1.638022	0.9277602
1926	-1642.729	-1811.846	169.117	0.96097	1.841012	1.621818	0.9118393
1932	-1646.983	-1814.687	167.7039	0.8069231	3.011426	2.320314	0.8603395
1938	-1653.122	-1820.32	167.1981	1.237651	3.682471	1.964864	0.8451195
1944	-1644.659	-1813.363	168.704	0.58554	2.385241	2.053329	0.7989023
1950	-1655.896	-1822.561	166.6649	1.217844	3.132591	2.93447	0.7700196
1956	-1643.126	-1810.702	167.576	1.426502	2.210148	2.384221	0.914224
1962	-1653.393	-1819.485	166.0915	2.367788	2.531865	2.83181	0.7071103
1968	-1659.337	-1826.528	167.1909	1.516707	2.31531	2.545973	0.9662618
1974	-1647.862	-1816.042	168.18	0.6897357	2.4762	2.454489	0.7228748
1980	-1650.256	-1816.487	166.2305	2.220787	3.135895	2.204716	0.9595002
1986	-1651.304	-1818.473	167.1691	1.997008	2.387217	2.055383	0.9402752
1992	-1660.334	-1825.828	165.4942	2.84507	3.155641	2.321449	0.9402752
1998	-1654.763	-1820.819	166.0556	2.316033	2.991552	2.585939	0.7032935
2004	-1651.768	-1819.215	167.4477	1.484162	2.703489	2.054967	0.9341143
2010	-1658.048	-1825.398	167.3493	1.243369	2.698727	2.584081	0.6881383
2016	-1646.822	-1816.304	169.4826	0.2885969	2.164626	1.853528	0.6177835
2022	-1651.777	-1820.585	168.8087	0.3954742	2.601169	2.047615	0.6836591
2028	-1649.648	-1816.981	167.3327	1.689118	2.601169	2.146839	0.8100361
2034	-1649.674	-1818.107	168.4339	0.8426352	2.585833	1.99848	0.661064
