Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
726	-49.00452	-217.8802	168.8757	0.7967051	2.011957	1.781539	0.968507	0.0314933	0.438314	0.561686	1.159701
732	-55.00835	-224.3158	169.3074	0.2517018	2.133368	1.7278	0.963823	0.0361772	0.433876	0.566124	1.159701
738	-49.44703	-217.2313	167.7843	1.078268	4.181403	1.081048	0.962083	0.0379172	0.585214	0.414786	1.08518
744	-63.95906	-232.5337	168.5746	0.07365126	3.010876	1.003367	0.916627	0.083373	0.670458	0.329542	1.65214
750	-59.19637	-229.5326	170.3362	0.08247588	0.8708233	1.374409	0.895983	0.104017	0.62904	0.37096	1.328268
756	-55.25752	-223.4202	168.1627	0.2673076	3.724725	1.266464	0.935733	0.0642666	0.486384	0.513616	1.306706
762	-55.32323	-223.4597	168.1364	0.0862725	3.5764	1.266464	0.933298	0.0667025	0.392739	0.607261	1.543056
768	-62.19016	-228.251	166.0609	0.09052976	6.801996	1.845065	0.942318	0.0576824	0.259357	0.740643	1.543056
774	-58.48328	-227.4961	169.0128	0.4117261	1.730259	1.953045	0.919499	0.0805007	0.520655	0.479345	1.041602
780	-64.49231	-233.7095	169.2172	0.4176726	1.587442	2.317156	0.936644	0.0633558	0.849426	0.150574	1.041602
786	-62.14509	-229.5595	167.4144	0.3405069	4.457127	1.483423	0.889583	0.110417	0.683371	0.316629	1.18383
792	-57.08757	-225.0097	167.9221	0.1088981	4.513774	1.086454	0.969245	0.0307548	0.484027	0.515973	1.659674
798	-63.84755	-228.9372	165.0897	2.51188	3.408406	1.408844	0.969245	0.0307548	0.314394	0.685606	2.230105
804	-65.4995	-234.7438	169.2443	0.3414144	2.866908	1.288229	0.973675	0.0263253	0.126087	0.873913	1.485909
810	-57.95611	-224.8249	166.8688	0.1280147	5.815265	1.181368	0.945253	0.0547468	0.58045	0.41955	1.665927
816	-51.58276	-218.8439	167.2612	0.2306869	5.936103	1.181368	0.935712	0.0642882	0.682113	0.317887	1.229395
822	-57.0359	-224.0233	166.9874	0.4431532	4.813371	1.181368	0.935712	0.0642882	0.590776	0.409224	1.665012
828	-60.2577	-226.2327	165.975	0.2140777	7.015554	1.991531	0.949563	0.0504368	0.673547	0.326453	1.328761
834	-58.45936	-225.1317	166.6723	0.3786559	5.244542	0.7920963	0.961579	0.0384215	0.500099	0.499901	2.187216
840	-58.8962	-226.5077	167.6114	0.2914781	4.488478	1.505195	0.961579	0.0384215	0.454589	0.545411	1.375692
846	-67.4308	-233.1363	165.7055	0.04543692	7.540317	1.505195	0.907398	0.0926016	0.419524	0.580476	1.614793
852	-77.18411	-242.7566	165.5725	0.2892556	9.083745	2.161369	0.980709	0.0192915	0.691857	0.308143	1.198156
858	-71.81282	-242.1583	170.3455	0.09679031	1.556935	0.8870693	0.980709	0.0192915	0.451295	0.548705	1.745863
864	-86.21096	-253.4359	167.225	1.115328	4.424794	1.552033	0.994386	0.00561432	0.430062	0.569938	1.745863
870	-86.28027	-253.106	166.8258	0.8208841	6.07291	0.8242655	0.986667	0.0133329	0.729211	0.270789	1.926835
876	-71.83764	-239.4197	167.582	0.3980849	3.983271	0.9634113	0.95851	0.04149	0.535707	0.464293	1.894589
882	-64.00486	-229.455	165.4501	1.198293	6.942075	1.497555	0.938147	0.0618535	0.718594	0.281406	1.337997
888	-60.95097	-226.1245	165.1735	0.208369	9.141814	0.9315415	0.923525	0.0764753	0.505413	0.494587	1.905729
894	-60.81365	-227.0482	166.2346	0.0741191	6.851098	1.908292	0.923525	0.0764753	0.38997	0.61003	1.161212
900	-60.07249	-226.3217	166.2493	0.499103	5.705121	1.271166	0.81394	0.18606	0.604146	0.395854	1.432
906	-57.01904	-224.5881	167.569	0.9373531	4.952443	1.205999	0.98164	0.0183603	0.677196	0.322804	1.268467
912	-68.9616	-232.2583	163.2967	1.1785	11.4822	0.4899937	0.951954	0.0480459	0.692553	0.307447	2.481388
918	-65.45833	-233.1023	167.644	0.6118863	4.341727	0.5831415	0.970946	0.0290536	0.607966	0.392034	1.954416
924	-72.11188	-238.8899	166.778	0.6118863	4.698574	1.991071	0.905065	0.0949354	0.173398	0.826602	1.181403
930	-67.13596	-234.691	167.555	0.6164695	5.160396	1.262309	0.967187	0.0328134	0.477893	0.522107	1.114735
936	-70.07285	-237.9556	167.8828	0.2043806	5.160396	1.240036	0.983212	0.0167878	0.626054	0.373946	1.493753
942	-67.70043	-234.3316	166.6312	0.05725706	6.671535	1.240036	0.974132	0.0258678	0.849847	0.150153	2.038966
948	-75.10409	-240.4044	165.3003	0.009980744	10.00587	1.519969	0.898362	0.101638	0.6486	0.3514	1.247022
954	-73.09316	-238.2999	165.2067	0.05864149	8.327973	2.282939	0.932534	0.0674657	0.410145	0.589855	1.270115
960	-71.1386	-236.1876	165.049	0.2019463	7.975695	2.059479	0.940201	0.0597987	0.53613	0.46387	1.589283
966	-61.93201	-227.1876	165.2556	0.1223298	9.217127	2.086379	0.940799	0.0592005	0.46296	0.53704	1.105561
972	-63.78492	-230.4915	166.7066	0.875594	9.154162	0.7439353	0.987834	0.0121659	0.393962	0.606038	1.056528
978	-62.81836	-229.2851	166.4667	0.3961154	5.479055	1.432757	0.930415	0.069585	0.351736	0.648264	1.64166
984	-67.13321	-231.9075	164.7742	1.590204	5.479055	0.6160667	0.838131	0.161869	0.533586	0.466414	2.249981
990	-63.18825	-232.7173	169.5291	0.3286173	1.329147	1.391198	0.838131	0.161869	0.460663	0.539337	1.222437
996	-52.22001	-219.0462	166.8262	0.3436182	4.678032	1.391198	0.838131	0.161869	0.49144	0.50856	1.444217
1002	-58.73078	-225.6383	166.9076	0.4484924	4.075319	1.97824	0.838131	0.161869	0.685572	0.314428	1.152196
1008	-62.84451	-227.921	165.0765	0.30131	6.060141	1.469019	0.838131	0.161869	0.38096	0.61904	2.174568
1014	-59.40382	-227.1518	167.748	0.498861	3.064832	1.417405	0.896425	0.103575	0.629759	0.370241	1.524907
1020	-69.72551	-236.2249	166.4994	0.0893468	4.056176	1.003057	0.753881	0.246119	0.693969	0.306031	2.300198
1026	-64.10533	-231.7899	167.6846	0.1285134	1.621222	0.8934512	0.783704	0.216296	0.525048	0.474952	2.694768
1032	-62.9393	-229.5961	166.6569	0.9615031	3.995831	1.167278	0.947255	0.0527454	0.461887	0.538113	1.919431
1038	-61.81348	-229.2544	167.4409	0.4296379	4.451249	1.58285	0.947255	0.0527454	0.518231	0.481769	1.230493
1044	-63.07189	-229.9049	166.8331	0.2658467	7.500874	1.007949	0.991629	0.00837129	0.246976	0.753024	1.933451
1050	-63.59102	-232.0451	168.4541	0.1954326	4.155479	1.004116	0.996777	0.00322286	0.370824	0.629176	2.21089
1056	-68.26548	-234.9458	166.6803	0.03778978	6.536037	0.6238284	0.933069	0.0669313	0.823226	0.176774	2.122138
1062	-60.46555	-228.7353	168.2698	1.208618	3.823846	1.325994	0.978055	0.0219454	0.771975	0.228025	0.8554378
1068	-56.57348	-222.003	165.4295	0.8304394	9.360039	1.287255	0.927307	0.0726926	0.589228	0.410772	0.8896532
1074	-63.75012	-228.42	164.6699	0.08776619	11.38599	1.74008	0.95153	0.04847	0.579953	0.420047	1.411884
1080	-80.86234	-247.2916	166.4293	1.870464	5.921261	0.6827389	0.970844	0.0291563	0.500789	0.499211	1.232292
1086	-69.02128	-236.9911	167.9698	0.3519229	3.377975	1.760427	0.94707	0.0529297	0.75406	0.24594	1.367194
1092	-68.72165	-237.1585	168.4368	0.26255	2.722083	2.244222	0.964186	0.0358135	0.640003	0.359997	1.089599
1098	-61.21343	-226.279	165.0656	0.3787151	10.56158	2.244222	0.973106	0.0268939	0.51958	0.48042	0.7881476
1104	-60.94765	-227.1446	166.1969	1.573992	4.749709	1.768362	0.898101	0.101899	0.604954	0.395046	0.6322915
1110	-56.651	-224.2081	167.5571	0.2602234	4.21978	1.501485	0.857205	0.142795	0.599629	0.400371	1.087811
1116	-59.17108	-226.0027	166.8316	0.2929883	4.099539	0.866786	0.870226	0.129774	0.643198	0.356802	2.161193
1122	-65.49029	-232.7867	167.2964	0.6792423	2.788436	0.8794285	0.804717	0.195283	0.426859	0.573141	2.025883
1128	-71.65479	-239.1212	167.4664	0.5489381	4.113178	2.434538	0.992413	0.00758731	0.397475	0.602525	1.364251
1134	-66.7694	-233.3956	166.6262	0.678019	4.426772	1.778607	0.894645	0.105355	0.411327	0.588673	1.298506
1140	-73.38157	-239.0804	165.6988	0.07375625	3.587558	0.4969119	0.967668	0.0323323	0.376926	0.623074	3.772134
1146	-71.16397	-237.3827	166.2188	0.3317966	4.35952	0.526144	0.825197	0.174803	0.668446	0.331554	2.57948
1152	-74.89147	-241.9558	167.0644	1.633956	2.904058	1.272802	0.794924	0.205076	0.680619	0.319381	1.173813
1158	-70.24726	-235.1514	164.9041	0.2827044	9.724569	1.239131	0.902777	0.0972231	0.451813	0.548187	1.614223
1164	-65.61633	-231.7269	166.1106	0.1261628	7.175529	1.424608	0.947477	0.0525226	0.751908	0.248092	1.71379
1170	-71.66735	-233.7708	162.1035	1.491436	12.06782	0.5426135	0.914586	0.0854142	0.66562	0.33438	2.707776
1176	-67.79355	-235.3974	167.6039	0.2914628	4.968426	1.152406	0.970032	0.0299683	0.70908	0.29092	1.611144
1182	-70.41812	-238.9772	168.559	0.2772342	4.968426	1.176577	0.996003	0.00399698	0.32278	0.67722	1.611144
1188	-70.56335	-238.3942	167.8309	0.07866882	7.009319	2.156964	0.999353	0.000647341	0.662292	0.337708	1.529256
1194	-61.48586	-229.1247	167.6388	0.3910699	3.349427	2.145009	0.969826	0.0301736	0.405476	0.594524	1.417152
1200	-69.0079	-235.0149	166.007	0.3998413	8.115626	2.41605	0.987471	0.0125287	0.416767	0.583233	0.913611
1206	-73.5297	-240.2347	166.705	0.1105965	9.51926	1.519684	0.983712	0.0162883	0.615091	0.384909	0.7426267
1212	-61.71394	-228.8786	167.1647	0.1334349	5.310288	1.441114	0.876762	0.123238	0.686911	0.313089	1.185757
1218	-77.19002	-246.2628	169.0728	0.1127008	1.625157	1.824034	0.586016	0.413984	0.47236	0.52764	0.9081812
1224	-71.06921	-239.3736	168.3044	0.03448135	2.348157	1.824034	0.690486	0.309514	0.337033	0.662967	1.238327
1230	-67.63381	-235.9885	168.3547	0.6154036	2.427562	0.9947694	0.878655	0.121345	0.542723	0.457277	1.573676
1236	-61.82682	-228.6681	166.8412	0.6154036	4.302773	1.010053	0.904088	0.0959123	0.517181	0.482819	1.825076
1242	-64.18376	-232.9384	168.7546	0.6154036	1.650234	0.7636727	0.904088	0.0959123	0.454941	0.545059	1.983801
1248	-70.8915	-237.1669	166.2754	2.264595	1.675776	2.395333	0.904088	0.0959123	0.578329	0.421671	1.402042
1254	-72.26836	-241.3326	169.0643	1.489293	1.018417	1.057259	0.904088	0.0959123	0.521122	0.478878	1.358221
1260	-74.65594	-243.2502	168.5942	1.208587	0.6697755	2.748927	0.827422	0.172578	0.779825	0.220175	0.680257
1266	-65.71082	-234.3832	168.6724	0.6469407	2.863396	1.368312	0.914407	0.0855929	0.471731	0.528269	0.7657601
1272	-68.56994	-236.325	167.7551	0.5116704	1.662787	3.341089	0.916549	0.0834509	0.410178	0.589822	0.8615289
1278	-69.83312	-237.0741	167.241	1.163942	3.668669	2.205144	0.988618	0.0113817	0.632862	0.367138	1.303193
1284	-76.22268	-246.1442	169.9215	0.481813	1.136958	1.323838	0.909044	0.0909556	0.494548	0.505452	1.18368
1290	-93.47861	-261.2838	167.8052	2.217426	1.339433	0.9003926	0.955537	0.0444627	0.530415	0.469585	1.887119
1296	-69.34436	-237.8321	168.4878	0.5045497	2.04381	1.119836	0.915119	0.0848808	0.611778	0.388222	1.816994
1302	-59.82821	-228.6271	168.7989	0.4085978	2.607715	2.146825	0.977598	0.0224024	0.540899	0.459101	0.956917
1308	-68.32913	-237.004	168.6748	0.8828816	2.380298	2.227263	0.966227	0.0337725	0.784461	0.215539	0.5270245
1314	-73.6837	-236.8645	163.1808	0.4877948	13.86505	2.815435	0.953356	0.0466444	0.388012	0.611988	0.8065183
1320	-80.4046	-246.2775	165.8729	0.9996189	2.705628	1.076697	0.875194	0.124806	0.385092	0.614908	2.763458
1326	-73.05602	-240.2038	167.1478	0.1267908	2.519293	0.9292842	0.940341	0.0596591	0.541941	0.458059	2.881795
1332	-68.38197	-236.7925	168.4105	0.09722953	3.84509	1.366433	0.979379	0.0206211	0.509899	0.490101	1.533517
1338	-78.78004	-246.2821	167.502	0.778734	6.118242	1.084812	0.993085	0.00691483	0.754653	0.245347	1.533517
1344	-77.60922	-242.1008	164.4916	0.4660243	7.543517	1.80699	0.843417	0.156583	0.383589	0.616411	1.81177
