Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	part_rate_trans	tree_length
738	-670.5269	-841.763	171.2361	0.1121587	0.8961786	1.075095	1.088835
744	-677.8501	-848.7686	170.9185	0.09594233	0.8632306	1.191764	1.303861
750	-676.0455	-846.5329	170.4874	0.4556587	1.072103	1.191764	1.189495
756	-673.3508	-841.7199	168.369	2.426453	1.207376	1.207844	1.187211
762	-687.8604	-855.7023	167.842	2.426453	1.576054	1.01027	1.485499
768	-684.5448	-851.7964	167.2516	2.426453	1.564809	0.7001532	2.118404
774	-685.5894	-853.4201	167.8307	2.426453	0.9437901	0.9652104	1.959375
780	-675.1382	-844.0464	168.9082	2.312391	0.6742	0.8778401	1.526796
786	-674.6783	-843.4377	168.7594	2.312391	0.7644411	0.9227549	1.541596
792	-678.7006	-847.3153	168.6147	2.312391	0.6765908	0.9538607	1.68323
798	-684.6869	-853.321	168.6341	2.312391	1.154194	0.8781625	1.376909
804	-662.0026	-832.6906	170.6879	0.21141	1.380334	1.066486	1.069924
810	-668.2002	-839.0824	170.8822	0.448909	0.7790664	1.070372	1.21001
816	-682.1947	-852.7784	170.5838	0.1914633	1.243157	0.9441168	1.390759
822	-676.5388	-847.2089	170.6701	0.3415209	1.092712	1.156631	1.142267
828	-683.8407	-852.8961	169.0553	1.790646	1.066864	1.398856	1.096326
834	-677.8162	-848.8235	171.0074	0.2502163	0.731822	1.257384	1.150526
840	-687.4583	-857.575	170.1167	0.6861614	1.425036	1.102481	1.08654
846	-666.5971	-836.5688	169.9717	0.3148421	1.784005	0.9770532	1.35198
852	-677.9407	-848.735	170.7943	0.1716178	0.9468675	0.6736639	1.669081
858	-679.2147	-850.2545	171.0397	0.2050254	0.8596529	0.7041449	1.50653
864	-691.7096	-862.5917	170.8821	0.3885373	0.9720933	0.9654602	1.188353
870	-688.5136	-857.0423	168.5287	2.078086	1.419271	0.9603304	1.376773
876	-683.5939	-854.5472	170.9533	0.4757333	0.6526101	0.7955736	1.446165
882	-688.18	-858.5857	170.4057	0.4014816	1.018676	0.9839045	1.505997
888	-680.7109	-850.6582	169.9473	0.5064029	1.263977	0.867119	1.671871
894	-671.1452	-841.5764	170.4312	0.4879231	1.263977	1.114828	1.110946
900	-677.4674	-848.4467	170.9793	0.04415673	1.091144	1.114828	1.170047
906	-671.4064	-841.9161	170.5097	0.1413369	1.178407	1.114828	1.404122
912	-674.1082	-844.7874	170.6792	0.05455046	1.349411	1.036018	1.267509
918	-665.669	-836.3313	170.6624	0.2675563	1.380126	0.9210827	1.173726
924	-675.007	-845.9556	170.9486	0.168614	0.7290036	0.8874616	1.558892
930	-678.3349	-847.9361	169.6012	1.919707	0.9905423	0.8670715	1.033315
936	-680.6557	-850.548	169.8924	0.9669948	1.260007	0.9109075	1.337551
942	-675.5748	-846.7641	171.1893	0.02341084	0.8795472	0.9381733	1.335404
948	-669.0357	-840.012	170.9764	0.3450229	1.05675	0.9381733	1.092051
954	-669.3266	-840.1004	170.7739	0.05666353	1.200445	0.9381733	1.384979
960	-671.4765	-842.7371	171.2606	0.2597471	0.5985719	0.9381733	1.298115
966	-666.5765	-837.197	170.6205	0.3538316	0.7417476	1.685429	1.006725
972	-671.3349	-841.7578	170.4229	0.2882968	0.9968084	1.644571	1.058136
978	-667.9481	-839.0125	171.0645	0.4731199	0.8094324	1.033779	1.029628
984	-675.4702	-846.0826	170.6124	0.4674536	1.068571	1.10275	1.150864
990	-673.8808	-843.9028	170.022	0.3807668	1.391708	1.10275	1.444842
996	-669.9874	-840.9808	170.9934	0.04362771	0.9114549	1.148513	1.281695
1002	-678.1596	-848.8972	170.7377	0.2155222	1.089539	1.187541	1.169296
1008	-668.6561	-839.6744	171.0183	0.02872668	1.178681	1.187541	0.9998699
1014	-676.501	-847.6086	171.1077	0.594037	0.5649134	1.187541	0.9284312
1020	-669.2192	-840.2069	170.9877	0.3677738	1.09987	0.767726	1.175581
1026	-683.4767	-854.8586	171.3818	0.4303202	0.617916	1.038963	0.9237146
1032	-683.0509	-853.4689	170.418	0.4563329	1.491763	0.7060853	1.311633
1038	-670.6707	-841.5899	170.9193	0.1389852	1.140964	0.8615145	1.311633
1044	-672.6005	-842.1672	169.5666	1.974295	0.7852371	1.064148	1.019633
1050	-690.0732	-860.5259	170.4527	0.5017598	1.301204	0.920945	1.218174
1056	-667.679	-838.4387	170.7597	0.5465686	1.058072	1.028926	1.018914
1062	-677.6611	-847.3409	169.6798	0.8767524	1.504408	1.156548	1.191238
1068	-698.1618	-867.4257	169.2639	2.283853	0.7825625	1.078092	1.001593
