Iteration	Posterior	Likelihood	Prior	tree_length
1446	-20.11987	-193.402	173.2821	1.048045
1452	-17.91074	-191.5148	173.6041	0.6420366
1458	-11.58586	-185.0797	173.4939	0.8186851
1464	-7.063173	-180.6998	173.6366	0.472768
1470	-16.76496	-190.4001	173.6352	0.5395077
1476	-9.673943	-182.9334	173.2595	1.069516
1482	-12.14372	-185.4032	173.2595	1.069516
1488	-10.66573	-184.0732	173.4074	0.9205159
1494	-11.77254	-185.1346	173.362	0.9687583
1500	-14.66971	-187.6259	172.9562	1.330185
1506	-13.69054	-187.0853	173.3947	0.9343072
1512	-7.844399	-181.0407	173.1963	1.127448
1518	-12.65923	-185.8556	173.1963	1.127448
1524	-9.346502	-182.6549	173.3084	1.022678
1530	-0.4452385	-173.7786	173.3333	0.9979662
1536	-5.455974	-178.8531	173.3971	0.9317001
1542	-4.385796	-177.8848	173.499	0.8120179
1548	-1.863487	-175.4881	173.6246	0.5868119
1554	-9.256756	-182.7308	173.474	0.8435481
1560	-6.333299	-179.9665	173.6332	0.5512854
1566	-10.32602	-183.706	173.38	0.9499913
1572	-7.902884	-181.3696	173.4667	0.8524792
1578	-2.612505	-175.9666	173.3541	0.9768725
1584	-22.15783	-195.4352	173.2773	1.052599
1590	-32.25027	-204.7222	172.472	1.69287
1596	-27.76492	-200.1976	172.4327	1.720662
1602	-18.94319	-192.3747	173.4315	0.893715
1608	-9.872923	-183.2089	173.336	0.9953011
1614	-11.44515	-184.9889	173.5437	0.7498096
1620	-9.266437	-182.5343	173.2678	1.061643
1626	-4.622454	-178.0782	173.4557	0.8656037
1632	-10.52471	-183.73	173.2053	1.11938
1638	-3.145141	-176.7395	173.5944	0.6628983
1644	-4.71598	-177.9996	173.2836	1.046628
1650	-1.786202	-175.2789	173.4927	0.8202037
1656	3.93912	-169.632	173.5711	0.7060319
1662	-4.817184	-178.4525	173.6353	0.4635465
1668	3.578916	-170.0496	173.6285	0.4337833
1674	-3.258985	-176.8925	173.6336	0.4536491
1680	-11.78301	-185.1539	173.3709	0.9595744
1686	-14.61984	-188.231	173.6112	0.6252718
1692	-2.108058	-175.5683	173.4603	0.8602089
1698	-11.49001	-185.1208	173.6307	0.5632661
1704	-4.078766	-177.478	173.3993	0.9293929
1710	-5.100763	-178.7143	173.6135	0.6192814
1716	2.358605	-171.2173	173.5759	0.6976875
1722	1.739687	-171.808	173.5477	0.7437634
1728	0.8725866	-172.7633	173.6359	0.4671301
1734	-1.42837	-174.7958	173.3675	0.9631134
1740	-3.265046	-176.8694	173.6043	0.6415398
1746	-9.123017	-182.6889	173.5658	0.7149557
1752	-6.047676	-179.6532	173.6055	0.6388808
1758	-10.65586	-183.8739	173.2181	1.107783
1764	-11.982	-185.5225	173.5405	0.7546876
1770	-11.14051	-184.5073	173.3668	0.9638361
1776	-17.39663	-190.565	173.1684	1.152332
1782	-18.31931	-191.7976	173.4783	0.8383418
1788	-14.44097	-187.9192	173.4783	0.8383418
1794	-13.76517	-187.2434	173.4783	0.8383418
1800	-18.30415	-191.4565	173.1524	1.166427
1806	-23.14021	-196.4504	173.3102	1.020915
1812	-21.17513	-194.8099	173.6348	0.5419184
1818	-19.02434	-192.1323	173.108	1.204831
1824	-23.98534	-197.3309	173.3456	0.9856096
1830	-20.53945	-193.4433	172.9038	1.371769
1836	-14.92778	-188.5549	173.6271	0.5778813
1842	-11.55761	-185.172	173.6143	0.6171563
1848	-8.595518	-182.0353	173.4398	0.8842429
1854	-6.822902	-180.2778	173.4549	0.8666142
1860	-8.273828	-181.7919	173.518	0.7866048
1866	-3.478764	-176.801	173.3223	1.008975
1872	-9.601109	-182.9437	173.3426	0.9886535
1878	-5.934456	-179.4222	173.4877	0.8264921
1884	-17.75699	-191.0252	173.2682	1.061255
1890	-23.06912	-196.3525	173.2833	1.046872
1896	-22.68629	-196.1549	173.4686	0.8502034
1902	-13.31515	-186.4958	173.1806	1.141508
1908	3.247635	-170.3446	173.5922	0.6672178
1914	2.274641	-171.3625	173.6371	0.5227898
1920	1.001115	-172.4405	173.4417	0.8820766
1926	-3.443522	-176.8852	173.4417	0.8820766
1932	1.459407	-171.9822	173.4417	0.8820766
1938	-4.785148	-178.1646	173.3795	0.9505272
1944	-10.1481	-182.9618	172.8137	1.441677
1950	-8.647336	-181.9721	173.3247	1.006544
1956	-9.380181	-182.8726	173.4924	0.8205479
1962	-16.85755	-190.4316	173.574	0.700993
1968	-14.76022	-188.2154	173.4552	0.8662628
1974	-3.896757	-177.3472	173.4505	0.8718134
1980	-3.565974	-177.0164	173.4505	0.8718134
1986	-7.885178	-181.4192	173.534	0.7641518
1992	-5.41222	-178.9735	173.5613	0.7224547
1998	-6.324569	-179.7891	173.4645	0.8551373
2004	-26.89631	-200.3541	173.4578	0.8631227
2010	-16.49009	-189.7844	173.2943	1.036318
2016	-15.54838	-189.174	173.6256	0.5835076
2022	-7.643615	-181.1008	173.4572	0.8638684
2028	-15.50151	-188.6792	173.1777	1.144104
2034	-14.77483	-188.3416	173.5668	0.7133275
2040	-18.18972	-191.5407	173.351	0.9800792
2046	-17.54991	-190.7856	173.2357	1.091647
2052	-10.30394	-183.9173	173.6134	0.6196293
2058	-13.52231	-186.7378	173.2155	1.110125
2064	-22.02343	-194.6347	172.6113	1.592729
2070	-32.66217	-205.5803	172.9181	1.360529
