Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
678	-1423.141	-1591.062	167.9217	0.930896	1.188192	0.2005512	0.3221148	0.3371512	0.3066771	3.645088
684	-1417.007	-1584.917	167.91	0.930896	1.18192	0.2005512	0.3884746	0.3371512	0.3790116	3.574981
690	-1421.76	-1589.817	168.0568	1.270911	0.979937	0.2005512	0.4125951	0.3371512	0.3418806	3.417888
696	-1416.847	-1584.562	167.7152	1.063361	1.029462	0.2005512	0.3721614	0.3203512	0.2249498	3.807568
702	-1417.653	-1586.348	168.695	1.130618	1.019478	0.2005512	0.3769203	0.3778152	0.4041069	3.059031
708	-1422.291	-1589.734	167.4425	1.079647	1.097337	0.2005512	0.4005652	0.4504433	0.4041069	3.721598
714	-1426.037	-1594.614	168.5765	1.157772	1.068839	0.188378	0.3039086	0.4504433	0.4162878	3.084471
720	-1421.054	-1588.933	167.8794	1.212364	0.9901941	0.2435458	0.3474394	0.5371533	0.4358121	3.390168
726	-1423.936	-1592.25	168.314	0.8885558	0.9582043	0.2435458	0.3808122	0.5554317	0.414291	3.325286
732	-1432.802	-1601.238	168.4357	0.7735294	1.001474	0.2487577	0.578072	0.5347962	0.4849743	3.144992
738	-1418.567	-1586.429	167.8619	1.149805	1.19869	0.2897577	0.6111149	0.4734413	0.4833944	3.140411
744	-1426.964	-1595.197	168.2329	1.016314	1.312005	0.2897577	0.7058742	0.4734413	0.6997615	2.74125
750	-1424.64	-1592.549	167.9089	1.138011	1.059757	0.3035186	0.5023269	0.6690185	0.5926409	3.07715
756	-1425.499	-1592.614	167.1149	1.000617	1.163869	0.3606773	0.5622758	0.738817	0.5104564	3.503093
762	-1424.092	-1590.729	166.6362	0.9689345	1.099889	0.5253284	0.5532426	0.738817	0.4212314	3.797359
768	-1423.988	-1590.285	166.297	1.175439	1.067239	0.5253284	0.4109727	0.738817	0.5166468	3.919706
774	-1426.125	-1592.302	166.1766	1.074044	1.091107	0.7126886	0.3432674	0.8424019	0.8541436	3.710524
780	-1439.002	-1605.804	166.8013	1.254144	1.076186	0.7126886	0.3130753	0.8442918	0.551118	3.445179
786	-1441.889	-1609.269	167.3794	0.9853299	0.920724	0.7126886	0.3417529	1.141494	1.036496	2.870341
792	-1445.86	-1612.541	166.6811	1.027864	1.055202	0.7806785	0.4338711	1.141494	1.036496	3.087384
