Iteration	Posterior	Likelihood	Prior	er_morph[1]	er_morph[2]	er_morph[3]	er_morph[4]	er_morph[5]	er_morph[6]	er_morph[7]	er_morph[8]	er_morph[9]	er_morph[10]	er_morph[11]	er_morph[12]	er_morph[13]	er_morph[14]	er_morph[15]	er_morph[16]	er_morph[17]	er_morph[18]	er_morph[19]	er_morph[20]	er_morph[21]	er_morph[22]	er_morph[23]	er_morph[24]	er_morph[25]	er_morph[26]	er_morph[27]	er_morph[28]	er_morph[29]	er_morph[30]	er_morph[31]	er_morph[32]	er_morph[33]	er_morph[34]	er_morph[35]	er_morph[36]	tree_length
126	-2104.138	-2369.899	265.7609	0.93646	2.84551e-06	7.74001e-05	1.33901e-08	0.00143324	0.000334364	0.000922014	0.00101474	0.000275578	0.000139502	0.0026178	0.00364553	0.000640948	0.000406311	0.00319105	0.000987492	0.000179839	0.000668771	0.000791509	0.00188922	0.00210944	0.000784014	0.00459023	0.00844661	0.000541841	0.00119995	0.00107127	0.00666819	0.00076991	0.00100659	0.00324122	0.000264523	0.00407745	0.00265018	0.00289926	0.00400093	0.5863664
132	-2114.752	-2380.503	265.7516	0.936208	2.84475e-06	7.73792e-05	1.33865e-08	0.00143285	0.000334274	0.000921766	0.00101447	0.000275504	0.000139465	0.00261709	0.00364455	0.000640776	0.000406201	0.00319019	0.000987226	0.000124875	0.000668591	0.000791296	0.00188872	0.00210887	0.000783803	0.00515755	0.00844434	0.000595218	0.00119963	0.00107098	0.00758206	0.000769703	0.00100632	0.00220353	8.74896e-05	0.00407635	0.00264947	0.00289848	0.00399985	0.6143147
138	-2111.994	-2377.752	265.7583	0.935228	6.09433e-06	7.72982e-05	1.33725e-08	0.00143135	0.000333924	0.000112645	0.00101341	0.000275215	0.000139319	0.00261435	0.00364073	0.000640105	0.000405776	0.00318685	0.00163459	0.000124744	0.000667891	0.000790467	0.00188674	0.00210666	0.000782982	0.00568389	0.00843549	0.000594594	0.00178698	0.00106986	0.00757412	0.000768897	0.00100526	0.00220122	0.000171075	0.00407208	0.00264669	0.00289544	0.00399566	0.5947741
144	-2107.299	-2373.06	265.761	0.937337	6.10807e-06	7.74725e-05	9.43324e-08	0.00143458	0.000334677	0.000112899	0.00101569	0.000275836	0.000295937	0.00262025	0.00364894	0.000641548	0.000406691	0.00319404	0.00163828	0.000125026	0.000440236	0.00079225	0.00211874	0.00211141	0.000784748	0.00569671	0.00845452	0.000595935	0.00226627	0.00104301	0.00496036	0.000770631	0.000310884	0.00272274	0.000125971	0.00408127	0.00265266	0.00290197	0.00400468	0.5861157
150	-2099.262	-2365.029	265.7676	0.937847	1.27461e-06	0.000168214	1.87798e-07	0.000770827	0.000272864	0.0011341	0.00119899	0.000538733	0.000776309	0.00370845	0.00163423	0.000575054	0.000657104	0.00282625	0.00113416	0.000656302	0.00282119	0.001213	0.00222919	0.00386577	0.00181495	0.00485279	0.00406854	0.0011909	0.0045758	0.000610207	0.00336837	0.0015966	0.000301111	0.00379403	2.57047e-05	0.00376914	0.00335917	0.00128157	0.00136174	0.5601255
156	-2098.647	-2364.412	265.7649	0.938208	1.2751e-06	0.000168279	2.14349e-07	0.000771124	0.000272969	0.00113454	0.00119946	0.00053894	0.000776608	0.00370988	0.00194466	0.000575275	0.000657357	0.00282734	0.00113459	0.000656555	0.00295658	0.00121347	0.00223005	0.00386726	0.00113242	0.00485466	0.0040701	0.00119136	0.00457756	0.000610442	0.00336967	0.00159721	0.000155495	0.00379549	2.57146e-05	0.00377059	0.00336046	0.00128207	0.00136227	0.5716352
162	-2107.89	-2373.66	265.7701	0.938403	1.27536e-06	0.000731295	1.75479e-07	0.00064018	0.000273025	0.00113477	0.0011997	0.000539052	0.000776769	0.00371064	0.000613121	0.000575395	0.000657493	0.00282792	0.00113483	0.000656691	0.00295719	0.00336657	0.00223051	0.00386806	0.00113266	0.00485566	0.00407095	0.0011916	0.00457851	0.000189945	0.00248633	0.00159754	0.000155527	0.00379628	2.57199e-05	0.0042685	0.00336116	0.00128233	0.000709913	0.5475188
168	-2107.773	-2373.544	265.7701	0.938197	1.27508e-06	0.000731135	1.75441e-07	0.00064004	0.000272965	0.00147839	0.00119944	0.000215523	0.000776598	0.00370983	0.000612987	0.000774101	0.000657349	0.0028273	0.00113458	0.000656547	0.00295655	0.00336583	0.00223002	0.00386721	0.00113241	0.0048546	0.00407005	0.00119134	0.0045775	0.000189903	0.00248579	0.00159719	0.000155493	0.00379544	2.57143e-05	0.00426756	0.00336042	0.00128205	0.000709758	0.5475188
174	-2101.466	-2367.226	265.7597	0.943972	6.15131e-06	0.00132699	1.11272e-07	0.00105995	0.000316013	0.000391214	0.00102288	7.10693e-05	0.000298032	0.00285312	0.00115044	0.000909438	0.00040957	0.00321665	0.000468581	0.000125911	0.000477533	0.00237889	0.00213374	0.00104581	0.000402318	0.00855971	0.00851436	0.000141415	0.00339274	0.000163469	0.00255016	0.0012926	0.000519688	0.00216259	0.000126863	0.00190172	0.00267144	0.00292251	0.00104434	0.5905081
180	-2108.315	-2374.069	265.7534	0.943693	1.35025e-05	0.0013266	3.36432e-07	0.00105963	0.000315919	0.000391098	0.000751936	7.10483e-05	0.000297944	0.00285228	0.0011501	0.000909169	0.00229906	0.0032157	0.000468442	0.000125873	0.000477392	0.00215554	0.00136567	0.0010455	0.000402199	0.00855719	0.00851185	0.000141373	0.00339173	0.000163421	0.00254941	0.0012521	0.000519534	0.0018611	0.000126825	0.00190116	0.00267065	0.00292165	0.00104403	0.609377
