Iteration	Posterior	Likelihood	Prior	tree_length
2178	-730.9768	-903.724	172.7472	1.492151
2184	-733.6583	-906.2073	172.549	1.637817
2190	-731.6563	-904.5578	172.9015	1.373588
2196	-731.3112	-903.8704	172.5592	1.630476
2202	-738.8125	-911.593	172.7805	1.467015
2208	-738.0654	-910.1985	172.1332	1.927064
2214	-734.8652	-907.7469	172.8817	1.389129
2220	-726.6864	-899.5367	172.8503	1.413516
2226	-735.2045	-908.0549	172.8503	1.413516
2232	-732.3892	-905.1656	172.7764	1.47011
2238	-727.8852	-900.6829	172.7977	1.453931
2244	-722.2001	-895.2757	173.0756	1.232292
2250	-740.2456	-912.9246	172.679	1.543003
2256	-746.2586	-918.9175	172.6589	1.557816
2262	-728.7253	-901.3861	172.6608	1.556458
2268	-739.0649	-912.0402	172.9753	1.314889
2274	-730.5511	-903.4105	172.8594	1.406515
2280	-728.8337	-901.6268	172.7931	1.457464
2286	-737.8651	-910.7791	172.914	1.363745
2292	-736.9415	-909.7624	172.8209	1.436197
2298	-737.7968	-910.6177	172.8209	1.436197
2304	-730.1639	-903.0736	172.9097	1.367164
2310	-733.1822	-905.7741	172.5919	1.60681
2316	-730.2468	-902.855	172.6082	1.594967
2322	-732.4869	-904.8809	172.3939	1.747874
2328	-739.9223	-912.3687	172.4465	1.710926
2334	-742.8565	-915.2294	172.3729	1.762601
2340	-733.8702	-906.4753	172.605	1.597272
2346	-737.0399	-909.4178	172.3779	1.759115
2352	-730.9025	-903.5326	172.63	1.579026
2358	-727.1023	-899.8145	172.7122	1.518391
2364	-719.9789	-892.8691	172.8902	1.382472
2370	-733.1741	-906.0508	172.8767	1.393057
2376	-740.5671	-913.174	172.6069	1.595917
2382	-738.4823	-910.7674	172.2851	1.823462
2388	-735.4752	-908.0087	172.5335	1.648974
2394	-750.0058	-922.4532	172.4473	1.710305
2400	-733.5304	-906.1241	172.5937	1.605501
2406	-737.1399	-909.779	172.6391	1.572406
2412	-738.1738	-910.9346	172.7608	1.481905
2418	-722.8196	-895.4071	172.5874	1.61008
2424	-731.6608	-904.3049	172.6441	1.568719
2430	-741.3082	-914.2813	172.9731	1.316622
2436	-735.6264	-908.48	172.8535	1.411032
2442	-725.1712	-897.9146	172.7434	1.494999
2448	-732.9572	-905.7211	172.764	1.479494
2454	-743.0165	-915.7216	172.7051	1.523678
2460	-732.8538	-905.5858	172.732	1.503543
2466	-734.5025	-907.4008	172.8983	1.376136
2472	-734.8261	-907.6471	172.821	1.436091
2478	-725.361	-897.9946	172.6335	1.576479
2484	-726.3784	-899.1674	172.789	1.460558
2490	-749.838	-922.6437	172.8057	1.447808
2496	-733.4031	-905.9571	172.554	1.634218
2502	-726.1676	-898.6902	172.5226	1.656765
2508	-730.4875	-903.0664	172.5789	1.61623
2514	-727.5114	-900.2092	172.6978	1.529096
2520	-733.1587	-905.9152	172.7565	1.485149
2526	-730.3948	-903.286	172.8913	1.38165
2532	-737.4685	-910.1783	172.7098	1.520149
2538	-715.8218	-888.5316	172.7098	1.520149
2544	-729.3899	-902.1333	172.7433	1.495048
2550	-727.3775	-899.8528	172.4753	1.690522
2556	-725.5219	-898.137	172.6151	1.589916
2562	-738.3843	-911.0932	172.7088	1.520862
2568	-736.4325	-909.1413	172.7088	1.520862
2574	-740.2749	-913.0901	172.8152	1.440548
2580	-738.6628	-911.6595	172.9967	1.297533
2586	-736.0007	-908.8338	172.8331	1.426829
2592	-740.7388	-913.53	172.7913	1.458829
2598	-738.7068	-911.2288	172.522	1.657238
2604	-749.4588	-922.0918	172.633	1.576847
2610	-737.1294	-910.0075	172.8781	1.39195
2616	-740.3753	-913.4596	173.0843	1.224904
2622	-740.6552	-913.7013	173.0461	1.256902
2628	-727.1511	-899.7389	172.5878	1.609759
2634	-730.5749	-903.2347	172.6598	1.557208
2640	-734.4434	-907.1904	172.747	1.492282
2646	-746.0518	-918.9674	172.9156	1.362481
2652	-739.9283	-912.5262	172.5979	1.602464
2658	-732.4431	-905.3927	172.9496	1.335496
2664	-740.7776	-913.8577	173.0801	1.228463
2670	-728.3132	-901.1088	172.7956	1.455496
2676	-725.3728	-898.2617	172.8889	1.383526
2682	-732.5382	-905.457	172.9189	1.359924
