Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
600	-323.7988	-488.1217	164.3229	7.461671	2.468043	2.442852	0.244435	0.3689988	0.5710066	0.3424859
606	-316.7834	-479.6498	162.8664	8.103204	3.666105	2.442852	0.9336048	0.03551957	0.2220884	0.3424859
612	-303.6269	-468.1833	164.5564	10.02345	3.666105	0.4406531	0.6774718	0.09934635	0.04427716	0.3402245
618	-308.4632	-471.7409	163.2777	10.02345	4.663526	0.2760784	0.1552285	0.5155318	0.6453471	0.4151907
624	-318.5552	-480.889	162.3338	10.02345	2.421124	0.2830847	2.284453	1.789115	0.433305	0.4524617
630	-324.1907	-490.2485	166.0578	4.683015	1.227838	0.622613	2.1927	0.780025	0.4641808	1.116809
636	-327.5965	-493.9274	166.3309	3.226657	1.047632	1.967283	1.693735	0.6368134	0.4559701	1.196995
642	-342.7988	-508.1252	165.3264	5.230555	1.345581	0.9792404	0.5631563	0.7795227	2.01529	1.160091
648	-328.4957	-493.8893	165.3936	5.230555	1.908869	2.674303	0.5308226	0.7795227	0.1097441	0.7444951
654	-335.2531	-502.8481	167.595	5.230555	3.030041	0.1740411	0.4733963	0.0407613	0.09519183	0.7263092
660	-324.3053	-491.3814	167.0761	6.775692	2.767432	0.09123725	0.2089781	0.03164753	0.5120561	0.727122
666	-316.0265	-483.3333	167.3068	6.775692	2.229481	0.07786954	0.07034766	0.2948339	0.5120561	0.9684654
672	-317.5014	-484.8295	167.3281	3.787017	2.254552	0.5939932	0.5639092	0.05376872	1.081614	1.104887
678	-319.9923	-486.6309	166.6386	4.596426	2.149789	0.7709037	0.9002147	0.4320491	0.3993028	1.206034
684	-329.6941	-491.7275	162.0335	4.596426	1.939301	1.082763	1.520867	0.887005	4.221268	0.810269
690	-319.6077	-486.1612	166.5535	2.828453	1.69976	1.102322	0.5983607	2.236331	0.5289497	0.8992277
696	-325.5697	-491.8615	166.2918	3.961247	2.744369	0.4783547	0.5113958	1.110118	0.8749259	0.8579148
702	-325.2032	-492.4907	167.2875	2.85171	1.503713	0.2847136	0.2382127	2.235891	0.9551322	1.097465
708	-319.1784	-486.7678	167.5894	4.497564	1.599716	1.463901	0.1001505	0.5715777	0.360743	0.8764401
714	-317.8544	-485.4263	167.5719	4.497564	1.601985	1.520717	0.3868009	0.3153387	0.3807723	0.7575089
720	-314.9343	-483.0332	168.0989	5.048712	1.837903	1.017656	0.05158718	0.06104601	0.4143255	0.7575089
726	-325.4142	-491.5759	166.1618	4.088953	2.238678	1.48758	0.2061641	0.7867188	1.033665	0.8820478
732	-320.8679	-486.0674	165.1995	5.022485	2.238678	1.114614	1.924548	0.7867188	0.1377121	0.8779006
738	-318.2223	-484.7282	166.5059	4.020606	2.64944	0.9755308	0.1883046	1.064809	0.5737756	0.8788549
744	-316.3326	-481.2337	164.9011	7.90659	2.811197	0.91348	0.437271	1.088808	0.133411	0.6075977
750	-325.6633	-491.6421	165.9789	4.835918	2.22254	1.847241	1.010136	0.295876	0.02748983	1.003861
756	-328.7357	-492.3223	163.5867	5.01684	1.762698	3.478927	0.4564886	1.477596	0.3245808	1.188057
762	-335.665	-499.5068	163.8418	4.874571	1.952138	3.054453	0.6349313	0.2606578	1.928214	0.4904455
768	-317.2321	-483.0294	165.7973	3.573217	1.507497	3.545578	0.1355432	0.6115131	0.6993577	0.7998053
774	-316.2517	-482.6989	166.4472	5.655893	1.190946	0.2554171	1.532589	0.4607785	1.29541	0.7503589
780	-318.0725	-485.8487	167.7762	3.430135	1.293822	0.187043	1.409504	0.5371082	1.29541	0.6056002
786	-327.4284	-492.8657	165.4374	4.852586	1.634943	0.6540116	1.979324	1.448437	0.3785774	0.8276947
792	-314.5603	-481.2875	166.7272	2.94741	1.432829	0.3894148	0.434638	1.881541	1.617038	1.054888
798	-317.6571	-483.8735	166.2164	2.442699	1.440095	0.1982132	2.402707	0.7225927	1.916321	1.015766
804	-323.5638	-489.2064	165.6426	3.696691	1.176275	2.405925	0.702005	1.266281	0.4963008	1.31214
810	-319.5271	-484.7612	165.2341	6.201059	1.964958	1.939304	0.5472389	0.4142641	0.3449166	1.244103
816	-319.9956	-483.7171	163.7215	3.076176	1.640348	2.593747	1.535933	2.126734	0.551089	1.252359
822	-319.6814	-483.4767	163.7953	3.076176	3.633231	1.765111	0.6691312	2.126734	0.5263516	0.93067
828	-327.0727	-492.3496	165.2769	3.910762	3.043344	1.462147	0.5565059	0.5177478	1.104414	0.9479833
834	-322.1609	-488.9405	166.7796	3.910762	2.274672	0.3492733	1.230838	0.9772402	0.349523	0.9479833
