Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
852	-1724.469	-1887.192	162.7225	3.551151	2.99931	1.018119	3.774295	0.6386976
858	-1728.559	-1892.119	163.5599	3.003387	3.532626	0.8621511	3.228058	0.7398334
864	-1715.866	-1883.516	167.6501	0.109188	2.44673	0.8104092	2.931619	0.4657282
870	-1740.15	-1907.107	166.9574	0.1020033	2.815116	0.8987438	3.268868	0.4657282
876	-1733.443	-1900.361	166.9182	0.1020033	2.844249	0.8987438	3.268868	0.4051417
882	-1740.805	-1906.167	165.3618	0.1472776	3.231446	0.8765232	4.475689	0.3278536
888	-1729.478	-1893.559	164.081	0.2263448	5.075792	0.9120555	4.475689	0.267161
894	-1723.646	-1888.435	164.7894	0.1175395	3.456864	0.9120555	4.819906	0.2726878
900	-1718.047	-1883.113	165.0666	0.1667866	3.05495	0.9120555	4.760205	0.2712131
906	-1722.272	-1887.344	165.0714	0.1672877	3.658423	0.8990661	4.41802	0.3035876
912	-1727.692	-1890.8	163.1077	0.150284	4.790931	0.7954088	5.672041	0.2131706
918	-1724.936	-1888.342	163.4058	0.150284	4.837296	0.666904	5.469525	0.2131706
924	-1720.524	-1884.496	163.9724	0.2110403	3.856475	0.8525978	5.305372	0.2478305
930	-1725.85	-1889.934	164.0846	0.1377851	3.856475	0.7749352	5.361896	0.2579219
936	-1737.136	-1899.987	162.8507	0.1052746	4.305025	0.8520473	6.213349	0.2232056
942	-1726.667	-1890.326	163.6588	0.1051991	4.337372	0.9607911	5.364342	0.2635665
948	-1737.022	-1899.842	162.8192	0.08278555	6.313962	0.6866629	5.502953	0.2678406
954	-1722.727	-1884.871	162.1446	0.0742467	4.955439	0.9886272	6.602902	0.3017019
960	-1732.385	-1899.459	167.0747	0.1835365	1.931122	1.068135	3.526499	0.3327222
966	-1737.579	-1904.064	166.4847	0.1768277	2.730802	0.790968	3.776863	0.3465397
972	-1730.291	-1895.138	164.8464	0.1543981	3.345172	0.8325658	4.937095	0.3148222
978	-1741.456	-1907.439	165.9829	0.1468519	2.559414	1.065718	4.143415	0.3256599
984	-1734.252	-1897.783	163.5308	0.0663122	3.931531	0.7304858	6.10763	0.3530524
990	-1725.347	-1889.595	164.2474	0.0663122	4.132622	0.8915355	5.129846	0.3725458
996	-1734.961	-1898.61	163.649	0.0663122	5.213739	0.904053	5.129846	0.3772089
1002	-1732.195	-1896.402	164.2072	0.06707553	4.76084	0.7319027	4.997908	0.4219935
1008	-1721.569	-1888.163	166.5938	0.06707553	2.39939	0.8934633	3.986095	0.4738966
1014	-1723.159	-1890.367	167.2074	0.06707553	2.178173	0.8290549	3.612994	0.4760665
1020	-1720.383	-1888.325	167.942	0.07924751	2.694977	0.7626688	2.504044	0.6237961
1026	-1733.692	-1902.436	168.7444	0.07924751	1.502032	0.8318102	2.618472	0.6458878
1032	-1714.064	-1882.213	168.1482	0.07924751	2.028795	1.075772	2.496103	0.661937
1038	-1706.64	-1875.151	168.5111	0.08427151	1.706385	1.011761	2.484242	0.6366952
1044	-1716.779	-1883.077	166.2972	0.1541011	2.494737	0.8907341	4.062438	0.3423402
1050	-1717.632	-1882.845	165.2133	0.1108021	4.01348	0.8519704	4.15176	0.2957721
1056	-1731.807	-1897.024	165.2169	0.1108021	3.523635	0.8519704	4.44119	0.2891007
1062	-1733.02	-1899.411	166.3907	0.2670051	2.770234	0.7882507	3.760709	0.353891
1068	-1729.3	-1895.086	165.7859	0.1003019	3.575178	0.7754739	4.020542	0.3875548
1074	-1731.408	-1897.773	166.3653	0.1371678	2.290301	0.7754739	4.293898	0.3533629
1080	-1729.049	-1894.142	165.0928	0.07459244	4.577723	0.9348553	3.998472	0.4038444
1086	-1728.101	-1894.81	166.7085	0.1259516	2.483844	0.8001358	3.812441	0.3912652
1092	-1722.51	-1887.738	165.2281	0.1292921	3.22399	1.052806	4.401162	0.2843328
1098	-1731.61	-1896.233	164.623	0.1260179	4.348426	0.9793496	4.398563	0.2909621
1104	-1719.648	-1885.079	165.4315	0.1043626	3.374798	0.8138708	4.444833	0.3602928
1110	-1725.639	-1892.114	166.4757	0.0904522	2.681652	0.8469012	3.87795	0.3782692
1116	-1719.233	-1884.845	165.6124	0.08949142	3.554226	0.9654268	4.028461	0.3835866
1122	-1716.788	-1882.472	165.6845	0.08949142	2.977734	0.9203656	4.387102	0.3835866
1128	-1724.39	-1890.169	165.7796	0.08949142	3.501159	1.01418	3.86631	0.425104
1134	-1722.48	-1886.225	163.7451	0.1117781	4.854275	0.9556879	5.050049	0.3007943
1140	-1719.201	-1883.089	163.8877	0.09857396	3.888332	0.9667524	5.429861	0.2815953
1146	-1728.18	-1892.174	163.9938	0.09421652	2.694933	0.9028851	6.1979	0.2874059
1152	-1722.778	-1886.982	164.2035	0.1136489	3.416944	0.9925983	5.370321	0.2821067
1158	-1728.652	-1893.695	165.0423	0.1308364	3.64359	0.8016349	4.571282	0.2907706
1164	-1728.557	-1893.518	164.961	0.1308364	3.64359	0.9487906	4.507122	0.2907706
1170	-1729.463	-1893.371	163.908	0.1013156	4.726552	1.200508	4.708506	0.2907706
1176	-1730.766	-1896	165.2338	0.09597993	3.237535	0.7562881	4.791803	0.3530163
1182	-1738.875	-1905.884	167.0085	0.08911515	2.298121	0.9898892	3.526457	0.4394249
1188	-1734.061	-1900.575	166.5142	0.1218112	3.152356	0.8824013	3.451357	0.4005019
1194	-1726.375	-1891.988	165.6127	0.0836361	3.109328	1.066467	4.236773	0.4005019
1200	-1731.121	-1896.778	165.657	0.0836361	3.109328	1.066467	4.195942	0.4078266
1206	-1732.222	-1897.308	165.0858	0.0836361	3.109328	0.9644236	4.858596	0.3874272
1212	-1728.628	-1893.783	165.1551	0.09581205	3.109328	1.014988	4.675392	0.3246569
1218	-1722.724	-1888.771	166.0471	0.1249229	2.890892	0.8780584	4.035174	0.3170323
1224	-1719.768	-1885.277	165.5091	0.1382507	3.080455	1.07221	4.22549	0.3106085
1230	-1720.724	-1886.352	165.6282	0.1084011	4.147018	0.8637559	3.703564	0.344112
1236	-1717.849	-1883.236	165.3874	0.1084011	3.416111	0.8867306	4.392933	0.3696275
1242	-1726.692	-1892.821	166.1286	0.06408958	3.256669	0.9118487	3.811996	0.5560834
1248	-1725.851	-1891.33	165.479	0.06275959	3.545363	0.8389756	4.342583	0.5722585
1254	-1721.949	-1885.8	163.8515	0.0785177	4.91583	1.08419	4.855058	0.3347968
1260	-1727.101	-1891.62	164.5191	0.09019021	3.91337	0.9334215	4.855058	0.3026807
1266	-1724.536	-1888.949	164.4133	0.09019021	3.999598	1.007252	4.855058	0.3189072
1272	-1742.846	-1909.277	166.4305	0.08110658	3.801961	0.8654525	3.189471	0.4476389
