Iteration	Posterior	Likelihood	Prior	gain_loss_ratio	tree_length
2730	-860.9438	-1031.666	170.7217	0.9259911	2.298374
2736	-870.1606	-1040.97	170.8095	0.9648068	2.217112
2742	-864.1021	-1034.701	170.5993	1.079867	2.278371
2748	-863.9548	-1034.616	170.6616	1.204137	2.158566
2754	-857.5021	-1028.512	171.0096	1.157825	1.958924
2760	-850.521	-1021.13	170.609	1.176606	2.210309
2766	-858.0837	-1028.877	170.7937	1.354197	1.975044
2772	-860.2814	-1031.405	171.1234	1.158314	1.881697
2778	-855.7371	-1026.528	170.7904	1.085944	2.151009
2784	-853.0686	-1024.149	171.0805	1.094793	1.953392
2790	-849.8718	-1020.943	171.0714	1.094793	1.95951
2796	-873.9301	-1044.827	170.8968	1.022448	2.122968
