gridTag,tree_length,gain_loss,n_char,mean_mse_tree_len
tl1.00_gl0.10_pr5.00_c100,1,0.1,100,1.9357929497861555
tl1.50_gl0.50_pr1.00_c50,1.5,0.5,50,1.9256069266946994
tl5.00_gl0.25_pr1.00_c25,5,0.25,25,1.9082142135239648
tl2.50_gl0.10_pr2.50_c50,2.5,0.1,50,1.8644819025002415
tl2.50_gl0.50_pr5.00_c25,2.5,0.5,25,1.847777957348284
tl1.00_gl1.00_pr2.50_c50,1,1,50,1.8298331474952285
tl1.50_gl0.25_pr5.00_c50,1.5,0.25,50,1.8250339913828824
tl1.50_gl0.50_pr5.00_c100,1.5,0.5,100,1.8213038191616702
tl1.50_gl0.10_pr1.00_c100,1.5,0.1,100,1.8201689376405048
tl2.50_gl0.10_pr1.00_c100,2.5,0.1,100,1.8006641210245078
tl5.00_gl0.25_pr1.00_c50,5,0.25,50,1.7304341483212278
tl1.00_gl0.50_pr5.00_c50,1,0.5,50,1.7279659758144514
tl2.50_gl1.00_pr5.00_c25,2.5,1,25,1.7222063559934162
tl1.00_gl0.50_pr2.50_c50,1,0.5,50,1.6775025251657067
tl1.00_gl0.50_pr1.00_c25,1,0.5,25,1.6762775120320084
tl1.00_gl0.25_pr5.00_c100,1,0.25,100,1.6608685101207148
tl1.00_gl0.10_pr2.50_c100,1,0.1,100,1.6453009932224127
tl1.50_gl0.50_pr2.50_c50,1.5,0.5,50,1.5795521078136123
tl1.50_gl0.25_pr2.50_c50,1.5,0.25,50,1.5514321758821772
tl1.00_gl0.10_pr1.00_c100,1,0.1,100,1.404836919678949
tl1.00_gl0.25_pr2.50_c50,1,0.25,50,1.368818501385259
tl1.00_gl1.00_pr1.00_c50,1,1,50,1.3415408742486015
tl2.50_gl0.50_pr2.50_c25,2.5,0.5,25,1.324172568542198
tl1.00_gl0.25_pr5.00_c50,1,0.25,50,1.3117644498562113
tl1.50_gl0.10_pr5.00_c100,1.5,0.1,100,1.3072858959013924
tl1.50_gl0.10_pr1.00_c50,1.5,0.1,50,1.301702584272374
tl2.50_gl0.25_pr1.00_c25,2.5,0.25,25,1.2960456511682132
tl1.00_gl0.50_pr2.50_c25,1,0.5,25,1.2779144862800182
tl1.00_gl0.10_pr2.50_c50,1,0.1,50,1.2418532474580295
tl1.00_gl0.50_pr1.00_c50,1,0.5,50,1.2181913947411875
tl2.50_gl0.25_pr5.00_c25,2.5,0.25,25,1.2091818811485349
tl1.00_gl0.10_pr1.00_c50,1,0.1,50,1.1723887860068951
tl1.50_gl0.10_pr5.00_c25,1.5,0.1,25,1.1626302877852182
tl5.00_gl0.50_c50,5,0.5,50,1.1353968784136654
tl5.00_gl1.00_c50,5,1,50,1.1351531284856113
tl5.00_gl0.25_c50,5,0.25,50,1.1343615719462532
tl5.00_gl0.10_c50,5,0.1,50,1.1335802876111556
tl2.50_gl1.00_pr2.50_c25,2.5,1,25,1.1243415753552908
tl1.50_gl1.00_pr2.50_c25,1.5,1,25,1.1147772724410554
tl1.50_gl1.00_pr1.00_c25,1.5,1,25,1.0467870473350829
tl1.00_gl0.50_pr5.00_c25,1,0.5,25,0.9983645673375953
tl2.50_gl0.10_pr5.00_c25,2.5,0.1,25,0.989630026762622
tl5.00_gl0.25_c200,5,0.25,200,0.9875271176087727
tl1.00_gl0.10_pr5.00_c50,1,0.1,50,0.9791943757332844
