Iteration	Posterior	Likelihood	Prior	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
930	-256.1543	-426.2459	170.0915	0.5496948	1.767411	1.013642	1.073348
936	-256.999	-427.5489	170.5498	0.7770209	0.9639183	1.079807	1.114229
942	-254.0972	-423.9977	169.9005	0.7919016	1.335348	1.412886	1.053744
948	-264.9254	-434.8528	169.9274	0.3636981	2.034839	1.201461	0.8958358
954	-270.8675	-440.3949	169.5275	1.828509	1.05176	0.7510317	1.332196
960	-270.7349	-438.4791	167.7442	2.169179	1.865554	0.7510317	1.864556
966	-259.6183	-428.1938	168.5756	1.586103	1.865554	0.7510317	1.637035
972	-270.8749	-440.6969	169.8219	0.8407855	1.033868	1.419241	1.331549
978	-269.9948	-439.1129	169.1181	1.483755	1.53327	0.6009615	1.638441
984	-272.2282	-441.6786	169.4504	0.7235783	1.27183	1.077656	1.768713
990	-264.8227	-434.335	169.5123	0.7235783	1.687405	1.237327	1.314031
996	-263.9233	-434.0428	170.1196	0.6457546	1.208194	1.176357	1.295555
1002	-265.9233	-436.3119	170.3886	0.7691397	1.284899	1.037776	1.012841
1008	-275.8165	-445.2626	169.4461	0.6031058	1.987601	1.249105	1.230122
1014	-278.4024	-447.902	169.4996	0.8486384	1.348428	1.156097	1.53743
1020	-273.5243	-442.7629	169.2386	1.04362	1.379582	1.243234	1.499918
1026	-266.9941	-436.1705	169.1764	1.04362	2.016076	1.281594	1.043913
1032	-263.0779	-431.6712	168.5933	1.076463	2.761596	1.208507	1.080418
1038	-267.5505	-436.06	168.5094	1.169544	2.808841	0.7199604	1.450476
1044	-262.8735	-432.3707	169.4972	0.7550474	1.886805	0.7199604	1.564433
1050	-253.5834	-423.5692	169.9858	1.058912	1.123416	0.8293733	1.425305
1056	-256.89	-426.1961	169.3062	1.355832	1.455081	0.8927958	1.426907
1062	-241.0022	-410.2625	169.2602	0.9447588	1.921126	1.219633	1.187113
1068	-237.9499	-408.0665	170.1166	0.9283912	1.603803	0.7979645	1.064478
1074	-243.4329	-413.3279	169.8951	0.9283912	1.365357	0.921121	1.341224
1080	-251.2052	-422.107	170.9018	0.4871356	0.8705362	1.01524	1.155061
1086	-250.5811	-420.6561	170.075	0.7628081	1.318752	1.413544	0.9206928
1092	-257.498	-427.626	170.1279	0.5564745	1.666016	1.165409	0.9733653
1098	-268.2289	-437.9925	169.7636	0.7892434	1.66661	1.423866	0.8630198
1104	-254.6964	-424.915	170.2185	0.6276857	1.648723	0.7841029	1.2046
1110	-252.841	-421.6462	168.8052	1.493688	1.765205	0.6968293	1.636104
1116	-250.8963	-419.8806	168.9843	1.309399	1.308473	1.116272	1.637564
1122	-255.3798	-425.0607	169.6809	0.9900443	1.082825	0.9548802	1.639692
