Iteration	Posterior	Likelihood	Prior	acrv_sd	tree_length
1248	-2895.064	-3062.705	167.641	0.2058793	4.493508
1254	-2900.51	-3068.414	167.9042	0.1434454	4.380408
1260	-2899.303	-3067.085	167.7813	0.3391234	4.339262
1266	-2884.895	-3052.551	167.6562	0.3826709	4.385329
1272	-2895.89	-3063.7	167.8107	0.2129071	4.393979
1278	-2888.512	-3056.249	167.7367	0.1795541	4.454447
1284	-2883.836	-3051.619	167.7831	0.4456999	4.277954
1290	-2891.37	-3058.003	166.6329	0.3151282	4.995929
1296	-2895.789	-3062.891	167.1027	0.1985162	4.799238
1302	-2886.125	-3053.364	167.2398	0.2463802	4.695908
1308	-2876.49	-3044.362	167.8716	0.1539393	4.392872
1314	-2871.578	-3039.526	167.9482	0.0315854	4.418661
1320	-2879.009	-3046.768	167.7598	0.219985	4.418661
1326	-2881.531	-3049.598	168.0669	0.1373701	4.291866
1332	-2888.263	-3055.668	167.4052	0.1100784	4.679582
1338	-2886.255	-3054.114	167.8588	0.2816871	4.32792
1344	-2879.577	-3047.77	168.1924	0.07894248	4.253877
1350	-2886.231	-3053.355	167.1243	0.1739943	4.8009
1356	-2881.988	-3050.179	168.1913	0.08400349	4.251669
1362	-2880.53	-3047.62	167.0898	0.1589674	4.828538
1368	-2892.382	-3060.281	167.8983	0.2402984	4.329011
1374	-2882.972	-3050.333	167.3606	0.314886	4.58982
1380	-2880.475	-3047.868	167.3931	0.2824294	4.58982
1386	-2876.297	-3044.204	167.9068	0.1925485	4.351205
1392	-2885.651	-3053.036	167.3843	0.2175326	4.631099
1398	-2883.421	-3051.124	167.703	0.1216888	4.505991
1404	-2881.854	-3050.135	168.2807	0.2756256	4.091988
1410	-2887.57	-3055.088	167.5177	0.2511481	4.537383
1416	-2885.347	-3053.02	167.6734	0.2760176	4.435801
1422	-2886.571	-3053.677	167.1055	0.2099922	4.791291
1428	-2884.31	-3051.463	167.1532	0.2025192	4.768817
1434	-2882.968	-3050.568	167.6	0.2025192	4.518496
1440	-2895.211	-3063.436	168.2255	0.2045822	4.163799
1446	-2900.401	-3068.674	168.2728	0.2126569	4.132307
1452	-2888.754	-3055.806	167.052	0.3358907	4.750881
1458	-2889.04	-3056.941	167.901	0.134414	4.387291
1464	-2902.492	-3069.655	167.1633	0.3466411	4.68258
1470	-2897.239	-3065.454	168.215	0.07275302	4.244592
1476	-2886.684	-3055.163	168.479	0.1636187	4.042817
1482	-2891.618	-3059.41	167.7928	0.2415413	4.387922
1488	-2883.559	-3050.888	167.3289	0.3140676	4.608084
1494	-2878.854	-3046.19	167.336	0.3178245	4.601968
1500	-2888.191	-3055.436	167.2453	0.2730048	4.677898
1506	-2892.753	-3060.023	167.2701	0.2475105	4.678303
1512	-2872.257	-3039.373	167.116	0.2764892	4.748306
1518	-2886.888	-3054.177	167.2892	0.2698772	4.655092
1524	-2892.881	-3060.964	168.083	0.3522958	4.160849
1530	-2890.247	-3058.407	168.1596	0.2757002	4.160849
1536	-2885.143	-3052.825	167.6812	0.2009091	4.473698
1542	-2887.207	-3055.232	168.0259	0.3428432	4.198667
1548	-2880.957	-3048.969	168.0121	0.2370169	4.266474
1554	-2891.933	-3060.14	168.207	0.02848481	4.274177
1560	-2885.28	-3053.261	167.9806	0.05484539	4.38728
1566	-2888.585	-3056.242	167.6566	0.1199901	4.533058
1572	-2902.053	-3069.532	167.4798	0.2772186	4.544042
1578	-2897.641	-3065.115	167.4739	0.2830786	4.544042
1584	-2877.673	-3045.243	167.5703	0.1609882	4.55847
1590	-2894.632	-3062.154	167.5222	0.2091712	4.55847
1596	-2885.667	-3053.177	167.5102	0.4315191	4.440126
1602	-2885.862	-3054.301	168.4391	0.3255374	3.9731
1608	-2881.644	-3049.101	167.4568	0.2001187	4.600242
1614	-2894.669	-3060.931	166.2621	0.2613197	5.231242
1620	-2879.336	-3047.202	167.8665	0.2654016	4.332778
1626	-2890.513	-3058.627	168.1146	0.4002704	4.115582
1632	-2887.198	-3054.467	167.2689	0.297199	4.651154
1638	-2883.392	-3050.834	167.4427	0.175645	4.621894
1644	-2888.914	-3056.987	168.0725	0.1244011	4.296058
1650	-2885.821	-3053.854	168.0329	0.1875698	4.282696
1656	-2876.713	-3044.249	167.536	0.07138787	4.628008
1662	-2878.737	-3046.772	168.0349	0.03543124	4.367559
1668	-2897.864	-3065.864	168.0004	0.07000716	4.367559
1674	-2890.926	-3058.676	167.7506	0.2238485	4.421677
1680	-2886.713	-3055.046	168.3333	0.2383635	4.083255
1686	-2887.25	-3054.902	167.6528	0.04555979	4.577005
1692	-2899.675	-3066.374	166.6989	0.4625226	4.877217
1698	-2903.921	-3070.847	166.9262	0.3450314	4.81597
1704	-2891.393	-3058.967	167.5742	0.2105569	4.528445
1710	-2883.831	-3051.756	167.9248	0.2075537	4.33252
1716	-2894.247	-3061.498	167.2515	0.257426	4.68317
1722	-2888.231	-3055.559	167.3282	0.1807539	4.68317
1728	-2881.228	-3048.481	167.2527	0.2561928	4.68317
1734	-2891.286	-3058.378	167.0923	0.2280421	4.788571
1740	-2895.009	-3062.553	167.5446	0.2308478	4.533706
1746	-2887.465	-3054.94	167.4755	0.3392011	4.511633
1752	-2884.293	-3052.208	167.9147	0.3392011	4.263767
1758	-2896.37	-3063.807	167.437	0.1776134	4.623965
1764	-2871.035	-3038.258	167.2231	0.1924261	4.735418
1770	-2870.766	-3038.575	167.809	0.258975	4.368927
1776	-2884.752	-3052.364	167.612	0.258975	4.479987
1782	-2882.797	-3049.949	167.152	0.3442597	4.690245
1788	-2890.276	-3057.237	166.9614	0.3254397	4.807262
1794	-2889.163	-3056.375	167.2124	0.334187	4.662097
1800	-2888.291	-3055.761	167.4701	0.266149	4.555709
1806	-2887.228	-3054.432	167.2038	0.2824882	4.69586
1812	-2891.093	-3058.258	167.165	0.4466684	4.625626
1818	-2884.421	-3052.372	167.9515	0.2925214	4.269384
1824	-2890.007	-3057.697	167.6896	0.03856025	4.560251
1830	-2880.511	-3048.126	167.6149	0.1132428	4.560251
1836	-2875.245	-3042.868	167.6221	0.2104463	4.501562
1842	-2884.772	-3052.531	167.7585	0.1921953	4.435089
1848	-2894.608	-3062.368	167.76	0.2545952	4.399042
1854	-2896.898	-3065.163	168.265	0.2829992	4.096756
1860	-2890.617	-3058.676	168.059	0.3022811	4.202874
1866	-2882.914	-3050.474	167.5594	0.1839663	4.551725
1872	-2892.895	-3060.294	167.399	0.1897248	4.638465
1878	-2889.863	-3057.665	167.8017	0.3550762	4.318721
1884	-2889.578	-3056.805	167.227	0.2122046	4.722159
1890	-2904.001	-3071.263	167.2619	0.1779834	4.721777
1896	-2897.695	-3064.05	166.3557	0.5045123	5.044685
1902	-2909.134	-3076.474	167.3401	0.4228568	4.540677
1908	-2884.448	-3051.777	167.3292	0.1713947	4.687825
1914	-2880.495	-3048.276	167.7807	0.295095	4.364498
1920	-2897.726	-3064.557	166.8307	0.3544161	4.863997
1926	-2886.981	-3054.566	167.5848	0.3324815	4.453903
1932	-2889.29	-3057.52	168.23	0.1096035	4.215175
1938	-2900.426	-3067.805	167.3797	0.2694227	4.604613
1944	-2892.961	-3060.393	167.432	0.2170817	4.604613
1950	-2887.322	-3054.754	167.432	0.2170817	4.604613
1956	-2882.546	-3049.319	166.7729	0.2170817	4.972607
1962	-2883.792	-3051.553	167.7608	0.2214287	4.417301
1968	-2874.923	-3042.868	167.9447	0.03751671	4.417301
1974	-2881.852	-3049.464	167.6118	0.01777652	4.615569
1980	-2888.5	-3056.288	167.7875	0.01415391	4.518958
1986	-2876.798	-3044.486	167.6883	0.1133205	4.518958
1992	-2885.11	-3052.447	167.3371	0.2154579	4.658721
