Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
972	-266.1669	-312.6137	46.44672	0.08834379	0.8343602	0.1750289	0.57771	0.42229	1.038553
978	-272.8756	-318.3087	45.43305	0.253692	1.232526	0.2435014	0.57771	0.42229	1.265998
984	-264.9717	-310.665	45.69328	0.03767034	1.60805	0.2440837	0.51959	0.48041	0.9608954
990	-272.2639	-317.8776	45.61376	0.1262035	2.191188	0.1117985	0.570058	0.429942	1.023583
996	-278.8923	-323.5234	44.63108	0.2293226	3.713729	0.1706785	0.659587	0.340413	1.023583
1002	-270.983	-316.0356	45.05259	0.2313134	2.929417	0.1655847	0.743033	0.256967	0.9219426
1008	-268.0182	-313.0851	45.06695	0.6107329	1.726507	0.2757502	0.772975	0.227025	0.8395192
1014	-270.438	-315.1747	44.73672	0.764198	2.055353	0.2757502	0.619441	0.380559	0.8074599
1020	-271.268	-315.3401	44.07215	1.803544	1.551082	0.1123092	0.708725	0.291275	0.1328224
1026	-270.1608	-314.469	44.30814	1.558695	1.551082	0.1361017	0.510218	0.489782	0.1490628
1032	-269.531	-314.6803	45.14936	0.5698286	1.786221	0.2921518	0.645892	0.354108	0.6570258
1038	-266.72	-312.3562	45.63617	0.5647371	2.299463	0.06569276	0.743045	0.256955	0.5976531
1044	-275.9642	-320.5763	44.61213	0.8609352	4.151299	0.05675192	0.78257	0.21743	0.636067
1050	-267.3919	-312.6959	45.30408	0.3124643	2.808615	0.1111286	0.631302	0.368698	0.8287669
1056	-269.4487	-314.8317	45.38307	0.5225562	2.45759	0.1111286	0.813128	0.186872	0.6299702
1062	-270.5697	-313.9774	43.40769	0.4373221	10.48528	0.07128215	0.859224	0.140776	0.9142093
1068	-266.2561	-310.4432	44.18705	0.1185505	5.935984	0.2065649	0.821619	0.178381	0.7921395
1074	-265.4383	-309.2606	43.8223	0.4405975	5.935984	0.1972296	0.779055	0.220945	0.8798896
1080	-279.1327	-322.4714	43.33873	0.9398766	6.453237	0.172004	0.67047	0.32953	0.8082488
1086	-278.4415	-322.5961	44.15458	0.1715383	5.209027	0.1392214	0.809544	0.190456	1.187351
1092	-276.3785	-320.7428	44.36427	0.4430083	4.418549	0.1613294	0.686477	0.313523	0.8631501
1098	-272.5215	-318.133	45.61153	0.3478165	1.492598	0.1568495	0.381579	0.618421	1.075125
1104	-276.5985	-323.0016	46.40312	0.1362447	1.038597	0.1547134	0.613644	0.386356	0.8797961
1110	-272.0196	-318.6502	46.63061	0.1016412	1.000725	0.0800634	0.305229	0.694771	1.028852
1116	-266.9477	-313.5823	46.63462	0.1744022	0.9221116	0.07192358	0.392784	0.607216	1.06929
1122	-276.2378	-322.1042	45.86642	0.63815	1.462783	0.1000564	0.379348	0.620652	0.7237906
1128	-278.2135	-324.2495	46.03597	0.6622074	1.462783	0.06083778	0.507219	0.492781	0.7014102
1134	-280.6791	-326.6974	46.01825	0.8800582	1.274631	0.05188607	0.443522	0.556478	0.3493772
1140	-291.4683	-336.9651	45.49682	0.4125944	1.268867	0.27102	0.541391	0.458609	0.9716795
1146	-296.8785	-341.9294	45.0509	0.3657274	1.915612	0.1809158	0.652259	0.347741	1.235109
1152	-271.5543	-317.2649	45.7106	0.484917	1.443622	0.1945942	0.671386	0.328614	0.6999152
1158	-279.9714	-324.3368	44.36536	0.1479622	3.730136	0.2759378	0.671386	0.328614	1.066076
1164	-271.785	-316.1649	44.37985	1.31778	1.923952	0.2433733	0.744864	0.255136	0.3091673
1170	-271.975	-316.1288	44.1538	0.7076289	5.829722	0.07135302	0.873806	0.126194	0.7536871
1176	-268.2274	-312.5917	44.36429	0.5926031	5.552631	0.0755894	0.8773	0.1227	0.6778527
1182	-272.7143	-318.442	45.7278	0.1658695	1.704972	0.1600015	0.460418	0.539582	0.9840723
1188	-272.548	-317.1493	44.60131	0.3889535	3.060277	0.1600015	0.699631	0.300369	1.169
1194	-275.8186	-320.4484	44.6298	1.034318	1.815616	0.3232904	0.620148	0.379852	0.5562089
1200	-280.7968	-325.061	44.26416	0.6782865	2.568589	0.4683498	0.572626	0.427374	0.6341995
1206	-275.8965	-320.6345	44.73796	0.5525679	1.597981	0.5236078	0.627411	0.372589	0.8247381
1212	-273.1113	-317.7351	44.62375	0.5561068	2.246312	0.4149262	0.648235	0.351765	0.6808891
1218	-269.7778	-314.9553	45.17752	0.320968	2.246312	0.222011	0.648235	0.351765	0.8547723
1224	-269.8739	-315.1983	45.32438	0.1700549	1.732669	0.2449174	0.648235	0.351765	1.106492
1230	-274.2565	-318.727	44.47043	0.1265333	3.959103	0.2166086	0.677005	0.322995	1.06001
1236	-279.4178	-323.7922	44.37443	0.177715	3.08459	0.261924	0.677005	0.322995	1.279396
1242	-270.3706	-315.9696	45.59897	0.7796314	1.706606	0.1062411	0.558555	0.441445	0.5565293
1248	-267.1285	-312.7159	45.58739	0.5312225	1.25316	0.248685	0.506178	0.493822	0.8130777
1254	-277.7807	-322.6956	44.91493	0.1753624	1.934873	0.4075021	0.722452	0.277548	1.026068
1260	-282.5188	-327.6666	45.14773	0.4192317	1.646546	0.4075021	0.463266	0.536734	0.6578222
1266	-267.3986	-313.6034	46.20483	0.9567545	0.6704836	0.131994	0.456494	0.543506	0.7139298
1272	-274.5428	-320.6466	46.10389	0.906873	1.140254	0.06168196	0.395605	0.604395	0.5836594
1278	-274.8427	-320.7035	45.86076	0.9178899	0.8236168	0.09111143	0.462874	0.537126	1.116837
1284	-267.8646	-313.6747	45.81007	0.2461904	1.51596	0.2010319	0.56186	0.43814	0.7996036
1290	-266.9184	-313.374	46.45563	0.1442259	0.8425666	0.1189739	0.56186	0.43814	1.153632
1296	-266.8818	-313.4972	46.61542	0.0966391	0.9755227	0.1233603	0.480737	0.519263	0.8849392
1302	-273.8013	-319.7511	45.9498	0.5265031	1.004921	0.1305782	0.627517	0.372483	1.068489
1308	-272.8227	-318.7288	45.90609	0.4603546	1.195195	0.1132167	0.796574	0.203426	1.068489
1314	-271.0142	-317.2144	46.20024	0.5925133	0.7237146	0.2129831	0.502679	0.497321	0.7670722
1320	-278.2369	-324.1402	45.90328	0.549671	1.345105	0.1343056	0.489252	0.510748	0.734591
1326	-267.3179	-313.9446	46.62675	0.3895456	0.8057519	0.1010033	0.41445	0.58555	0.8513971
1332	-262.4738	-309.7875	47.3137	0.1402183	0.4022918	0.1417896	0.41445	0.58555	0.8513971
1338	-265.988	-313.3576	47.36959	0.05506593	0.4177274	0.1417896	0.270654	0.729346	0.8513971
1344	-271.1432	-318.1833	47.04008	0.0750493	0.3889238	0.2633683	0.33441	0.66559	0.8513971
1350	-277.0999	-324.2709	47.17106	0.2417338	0.3467896	0.1953953	0.193559	0.806441	0.821692
1356	-272.271	-319.8123	47.54127	0.06306679	0.307389	0.1769844	0.194523	0.805477	0.757054
1362	-271.3499	-318.3237	46.97375	0.03297531	0.4995203	0.1769844	0.411243	0.588757	1.018062
1368	-268.9004	-315.4064	46.50602	0.0657018	0.9426491	0.1785887	0.361624	0.638376	0.8624106
1374	-271.9731	-317.4717	45.49868	0.2056422	2.130221	0.1785887	0.507729	0.492271	0.8394443
1380	-267.5322	-313.5436	46.0114	0.8961904	0.6748973	0.1785887	0.402306	0.597694	0.8373532
1386	-266.3449	-313.2138	46.8689	0.5855134	0.3710432	0.182458	0.368835	0.631165	0.7502292
1392	-265.9858	-312.114	46.12819	0.04192233	0.6674313	0.4305218	0.368835	0.631165	1.001962
1398	-266.438	-313.0602	46.62219	0.0485013	0.6135669	0.2576271	0.448416	0.551584	0.9470285
1404	-265.8733	-312.3505	46.47727	0.1029231	0.9889303	0.1861029	0.576156	0.423844	0.7581669
