Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
390	-632.6753	-797.0174	164.3421	0.001679731	0.8067337	0.9451719	1.129306	0.470701	0.529299	0.510774	0.489226	4.426611
396	-642.3211	-807.5417	165.2205	0.00608436	0.655215	0.5468914	0.9445767	0.721068	0.278932	0.22055	0.77945	4.48534
402	-641.9207	-806.5542	164.6335	0.09428763	0.5240254	1.046062	1.285431	0.622474	0.377526	0.237781	0.762219	4.310603
408	-639.7718	-804.7632	164.9914	0.2343076	0.6416163	0.7806716	1.008739	0.711189	0.288811	0.41966	0.58034	4.236546
414	-631.6237	-796.9615	165.3379	0.2919753	0.704781	0.6058461	1.348555	0.622141	0.377859	0.400651	0.599349	3.835665
420	-623.5163	-789.3119	165.7956	0.2248349	0.576811	0.5991188	1.284212	0.572843	0.427157	0.407062	0.592938	3.701233
426	-632.8191	-797.749	164.9299	0.0550183	0.7405143	0.7498174	1.192826	0.571895	0.428105	0.470001	0.529999	4.178186
432	-637.763	-800.5613	162.7983	0.2263649	0.8643227	1.195836	1.346191	0.62931	0.37069	0.476131	0.523869	4.891514
438	-649.0004	-811.1404	162.14	0.2705903	1.000617	1.295133	1.055663	0.572024	0.427976	0.474946	0.525054	5.250716
444	-649.2946	-813.1844	163.8898	0.280026	0.7311389	1.181854	1.074495	0.480643	0.519357	0.417251	0.582749	4.470602
450	-629.8936	-793.7449	163.8514	0.2964978	0.8020716	0.7868152	1.055838	0.383424	0.616576	0.452371	0.547629	4.685369
456	-625.2661	-789.7538	164.4877	0.1412274	0.883248	0.919996	1.340889	0.613076	0.386924	0.562292	0.437708	4.135206
462	-633.6784	-799.191	165.5126	0.07947421	0.5494252	0.810087	1.340889	0.605477	0.394523	0.562292	0.437708	3.817758
468	-624.598	-788.0702	163.4722	0.4453244	0.8587361	0.7412798	1.108558	0.645944	0.354056	0.484607	0.515393	4.78493
474	-626.0758	-790.5857	164.5098	0.1385178	0.7520398	0.8858818	1.097764	0.560918	0.439082	0.484607	0.515393	4.338959
480	-642.0738	-804.9535	162.8798	0.4713541	1.034687	0.8823656	0.8173489	0.404812	0.595188	0.581875	0.418125	5.080984
486	-633.6281	-795.7899	162.1618	0.3246754	1.020401	0.8336569	0.8173489	0.465234	0.534766	0.549313	0.450687	5.578869
492	-646.0691	-809.1754	163.1063	0.1023544	1.031253	1.02442	1.233154	0.534489	0.465511	0.64234	0.35766	4.85911
498	-651.045	-814.6858	163.6408	0.1174525	0.8590905	0.9603183	1.226164	0.483033	0.516967	0.499475	0.500525	4.663018
504	-634.7037	-798.676	163.9723	0.1177277	0.9134211	0.7141354	1.085561	0.525443	0.474557	0.544659	0.455341	4.663018
510	-634.9841	-800.3251	165.341	0.2688737	0.6116783	0.6622685	1.047356	0.738659	0.261341	0.608759	0.391241	4.097422
516	-653.1272	-818.9056	165.7785	0.0838886	0.5873282	0.7884496	1.335248	0.359295	0.640705	0.470155	0.529845	3.66762
522	-654.1811	-820.0726	165.8916	0.1097773	0.5873282	0.6599776	1.335248	0.538198	0.461802	0.493112	0.506888	3.633292
