tree_length,gain_loss,n_char,M1 (Mk baseline),M2,M11,M10,M6,M7,M4,M3,M5,M9,M12,M8 (NT baseline)
2.5,0.1,100,0.2301120442619355,0.25446929568384646,0.22115178455064288,0.2538120749298516,0.2561959803925776,0.26596798911649355,0.2548752133584533,0.25639321376227564,0.25497364145823576,0.2563790307577443,0.2220856289923867,0.25734234328000094
2.5,0.1,200,0.15467437609784573,0.16112032013002464,0.12796053534798554,0.1595428094980132,0.16012395711079272,0.12840073729022314,0.15921020397763883,0.1604815771695219,0.1608846036062096,0.16155864938192266,0.15921020397763883,0.16028613719018067
2.5,0.25,25,0.5226105214881553,0.5317912783550905,0.48413660007364223,0.5277388384556709,0.5305509077449253,0.5319197882434714,0.5267083813934779,0.5271974940032359,0.5283478313047236,0.5311293074621077,0.5062967037573891,0.5303938879836876
2.5,0.25,50,0.3571517637517406,0.3831840602811146,0.37315242487784755,0.38606100730235676,0.38713279725337546,0.38595834119860956,0.38277290992858953,0.3856786825028153,0.38468263280316967,0.3866699688078238,0.37972337647119664,0.3859981170174353
2.5,0.25,100,0.2301120442619355,0.25446929568384646,0.22115178455064288,0.2538120749298516,0.2561959803925776,0.26025355266584604,0.2548752133584533,0.25639321376227564,0.25497364145823576,0.2563675828702641,0.2220856289923867,0.25734234328000094
2.5,0.25,200,0.15467437609784573,0.16112032013002464,0.12796053534798554,0.1595428094980132,0.16012395711079272,0.1282269636187498,0.15921020397763883,0.1604815771695219,0.1608846036062096,0.1615152442993153,0.15921020397763883,0.16028613719018067
2.5,0.5,25,0.5226105214881553,0.5317912783550905,0.48413660007364223,0.5277388384556709,0.5305509077449253,0.5319197882434714,0.5267083813934779,0.5271974940032359,0.5250395281926225,0.5311293074621077,0.5062967037573891,0.5303938879836876
2.5,0.5,50,0.3571517637517406,0.3831840602811146,0.37315242487784755,0.38606100730235676,0.38713279725337546,0.38596364488612267,0.38277290992858953,0.3856786825028153,0.38468263280316967,0.3866699688078238,0.38190432708896577,0.3859981170174353
2.5,0.5,100,0.2301120442619355,0.25446929568384646,0.22115178455064288,0.2538120749298516,0.2561959803925776,0.26025355266584604,0.2548752133584533,0.25639321376227564,0.25497364145823576,0.2563675828702641,0.2220856289923867,0.25734234328000094
2.5,0.5,200,0.15467437609784573,0.16112032013002464,0.12796053534798554,0.1595428094980132,0.16012395711079272,0.12838632946729453,0.15921020397763883,0.1604815771695219,0.1608846036062096,0.16166924560046442,0.14997153897160545,0.16028613719018067
2.5,1,25,0.5226105214881553,0.5317912783550905,0.48413660007364223,0.5277388384556709,0.5305509077449253,0.5319197882434714,0.5267083813934779,0.5271974940032359,0.5250395281926225,0.5311293074621077,0.5063215002600825,0.5303938879836876
2.5,1,50,0.3571517637517406,0.3831840602811146,0.37315242487784755,0.38606100730235676,0.38713279725337546,0.38589183002359084,0.38277290992858953,0.3856786825028153,0.38468263280316967,0.3866699688078238,0.379732414773195,0.3859981170174353
2.5,1,100,0.2301120442619355,0.25446929568384646,0.22115178455064288,0.2538120749298516,0.2561959803925776,0.26025355266584604,0.2548752133584533,0.25639321376227564,0.25497364145823576,0.2563675828702641,0.2220856289923867,0.25734234328000094
2.5,1,200,0.15467437609784573,0.16112032013002464,0.12796053534798554,0.1595428094980132,0.16012395711079272,0.14690156193152756,0.15921020397763883,0.1604815771695219,0.1608846036062096,0.16148188954807474,0.12964687485884355,0.16028613719018067
5,0.1,25,0.504686903576469,0.5300904246653204,0.5025010241022807,0.5284305624331951,0.5275259531773641,0.5288260448904254,0.530379609360238,0.5309221729777549,0.5304811046538624,0.5327676587443408,0.5106403201274944,0.5307562380474791
5,0.1,50,0.3576274737505979,0.3645094564434308,0.3218566363910611,0.3673593765867761,0.36507338241710086,0.35141077501323925,0.3636991197419759,0.36190411998281496,0.36502328016427876,0.3670599672100546,0.3263532159912216,0.3642754316591466
5,0.1,100,0.2500983019112286,0.2555925854049757,0.2130789784044445,0.2575293697657258,0.2548674506868406,0.26235202168677785,0.25426046259731583,0.25480586209533396,0.2543624277591344,0.25282792532634,0.2151693697221361,0.25549461958678543
5,0.1,200,0.15934883666687122,0.18236792631154533,0.1436564177197499,0.1845165527252719,0.18282900260883925,0.18083827546534526,0.18140253414181734,0.18036512460471021,0.18189785608447456,0.18024578716062212,0.1797101040385618,0.18094987411073268
5,0.25,25,0.504686903576469,0.5300904246653204,0.5025010241022807,0.5284305624331951,0.5275259531773641,0.5287730469896658,0.530379609360238,0.5309221729777549,0.5304811046538624,0.5329083875798687,0.5003411084305758,0.5307562380474791
