"scenario","modelID","metric","rho","lower","upper","p.value","n"
"mk","model3","mse_tree_len",0.611764705882353,0.421579911495531,0.743301124700684,7.85234566841429e-08,64
"mk","model3","cov_error_tree_len",0.414850383073385,0.219742180504336,0.570347907558356,0.000653517177573645,64
"mk","model3","mean_mse_rate_loss",-0.0346789574597873,-0.294815282279758,0.205547325861183,0.785587016837653,64
"mk","model3","cov_error_rate_loss",-0.194556230212135,-0.439045242061254,0.0344465859952072,0.123429951412242,64
"mk","model3","cov_error_cgr",-0.118539756497111,-0.36165893810705,0.123744477030196,0.350860064442032,64
"mk","model4","mean_rhat_max",0.929411764705882,0.857661312894679,0.964186541285056,1.56169410298988e-28,64
"mk","model4","mean_ess_min",-0.0529411764705882,-0.331801375576378,0.259165130571492,0.677795262821989,64
"mk","model4","mean_asdsf",-0.964705882352941,-0.98306065126207,-0.926873645398893,1.23052399889423e-37,64
"mk","model4","pass_rate",NA,NA,NA,NA,64
"mk","model4","mse_tree_len",0.544117647058823,0.307149944463618,0.703908965252738,3.36462746184903e-06,64
"mk","model4","cov_error_tree_len",-0.12524485821703,-0.364739662099175,0.104387150452564,0.324083644224633,64
"mk","model4","mean_mse_rate_loss",NA,NA,NA,NA,0
"mk","model4","cov_error_rate_loss",NA,NA,NA,NA,0
"mk","model4","cov_error_cgr",-0.12524485821703,-0.364739662099175,0.104387150452564,0.324083644224633,64
"mk","model5","mean_rhat_max",0.829305812312851,0.711050030618389,0.896321145039197,2.58169513587238e-17,64
"mk","model5","mean_ess_min",0.0710144761208098,-0.164854740682853,0.286666915781343,0.577101511761269,64
"mk","model5","mean_asdsf",-0.51783397815349,-0.781611602167296,-0.212633121939436,1.17472377807789e-05,64
"mk","model5","pass_rate",-0.365613629218252,-0.529404458506788,-0.16797728840713,0.00296971509487479,64
"mk","model5","mse_tree_len",0.520129952163215,0.25865451810026,0.700706814644833,1.05752294234619e-05,64
"mk","model5","cov_error_tree_len",-0.221457397215644,-0.441066610567685,-0.0166623229629084,0.0786370789839497,64
"mk","model5","mean_mse_rate_loss",NA,NA,NA,NA,0
"mk","model5","cov_error_rate_loss",NA,NA,NA,NA,0
"mk","model5","cov_error_cgr",-0.105966551300464,-0.339271716517243,0.133690582839139,0.404633666965497,64
"mk","model6","mean_rhat_max",0.402669150671251,0.15146726378761,0.63959068712219,0.000971319602238851,64
"mk","model6","mean_ess_min",0.219366251506586,-0.0181998369472561,0.426786243352228,0.081574244245229,64
"mk","model6","mean_asdsf",-0.655526082250779,-0.802575271667068,-0.454596889709693,4.14641530067398e-09,64
"mk","model6","pass_rate",NA,NA,NA,NA,64
"mk","model6","mse_tree_len",0.532106724204194,0.282722215328547,0.711588323671494,6.03561313761491e-06,64
"mk","model6","cov_error_tree_len",0.0116498300219908,-0.224630838736675,0.236500339221397,0.927202701781951,64
"mk","model6","mean_mse_rate_loss",NA,NA,NA,NA,0
"mk","model6","cov_error_rate_loss",NA,NA,NA,NA,0
"mk","model6","cov_error_cgr",0.0116498300219908,-0.224630838736675,0.236500339221397,0.927202701781951,64
"mk","model7","mean_rhat_max",-0.554355605108862,-0.717879481799679,-0.342594828135737,2.00787948411083e-06,64
"mk","model7","mean_ess_min",0.513677790604266,0.245013763058328,0.737681819813211,1.41816814712655e-05,64
"mk","model7","mean_asdsf",0.542163059983619,0.339524293932715,0.694431282637931,3.70599604208469e-06,64
"mk","model7","pass_rate",0.594772722541489,0.398838236483293,0.748993088940125,2.18939609720049e-07,64
"mk","model7","mse_tree_len",0.104336268791351,-0.135767109621401,0.337054970247715,0.411941470194932,64
"mk","model7","cov_error_tree_len",0.0356069614439837,-0.219703289152508,0.30387772969677,0.779991594764735,64
"mk","model7","mean_mse_rate_loss",NA,NA,NA,NA,0
"mk","model7","cov_error_rate_loss",NA,NA,NA,NA,0
"mk","model7","cov_error_cgr",-0.183131932029121,-0.419579996591513,0.0554281575456942,0.147487961047557,64
"mk","model8","mean_rhat_max",0.567680574023237,0.342570156843283,0.758590022436999,9.98936028425693e-07,64
"mk","model8","mean_ess_min",0.385361147254787,0.094539952076676,0.591915670081687,0.00166349641426114,64
"mk","model8","mean_asdsf",-0.652959015576222,-0.814800244528798,-0.459798388390054,4.99261773075005e-09,64
"mk","model8","pass_rate",NA,NA,NA,NA,64
"mk","model8","mse_tree_len",0.59975188447797,0.36618201335538,0.748236593398965,1.63118342930142e-07,64
"mk","model8","cov_error_tree_len",-0.0386855992524253,-0.286580480719569,0.178982548450601,0.761509818320887,64
"mk","model8","mean_mse_rate_loss",NA,NA,NA,NA,0
"mk","model8","cov_error_rate_loss",NA,NA,NA,NA,0
"mk","model8","cov_error_cgr",-0.173727143793667,-0.416771482952225,0.0659931257247549,0.169786523341535,64
"mk","model9","mean_rhat_max",-0.594261047658108,-0.728095036477276,-0.417425708661694,1.37496260566534e-06,56
"mk","model9","mean_ess_min",0.727621811208935,0.557992340706156,0.831912263910587,2.11809804020844e-10,56
"mk","model9","mean_asdsf",0.515213342240369,0.320941207059651,0.662894908404097,4.84221951557327e-05,56
"mk","model9","pass_rate",NA,NA,NA,NA,56
