"gridTag","tree_length","gain_loss","n_char","cov_tree_len","mse_tree_len","rate_param","cov_rate_loss","mse_rate_loss","modelID","scenario"
"tl1.50_gl0.25_c50",1.5,0.25,50,1,0.185954643690773,"gain_loss_trans",NA,NA,"model10","mk"
"tl2.50_gl0.25_c50",2.5,0.25,50,1,0.12649655784062,"gain_loss_trans",NA,NA,"model10","mk"
"tl5.00_gl0.25_c50",5,0.25,50,0.9,0.575268504637317,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.00_gl0.50_c50",1,0.5,50,1,0.0809871426271549,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.50_gl0.50_c50",1.5,0.5,50,1,0.185954643690773,"gain_loss_trans",NA,NA,"model10","mk"
"tl2.50_gl0.50_c50",2.5,0.5,50,1,0.12649655784062,"gain_loss_trans",NA,NA,"model10","mk"
"tl5.00_gl0.50_c50",5,0.5,50,0.9,0.575268504637317,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.00_gl1.00_c50",1,1,50,1,0.0815495684814676,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.50_gl1.00_c50",1.5,1,50,1,0.185954643690773,"gain_loss_trans",NA,NA,"model10","mk"
"tl2.50_gl1.00_c50",2.5,1,50,1,0.12649655784062,"gain_loss_trans",NA,NA,"model10","mk"
"tl5.00_gl1.00_c50",5,1,50,0.9,0.575268504637317,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.00_gl0.10_c100",1,0.1,100,1,0.0655233050337926,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.50_gl0.10_c100",1.5,0.1,100,0.8,0.0891923406143781,"gain_loss_trans",NA,NA,"model10","mk"
"tl2.50_gl0.10_c100",2.5,0.1,100,0.8,0.153656185949866,"gain_loss_trans",NA,NA,"model10","mk"
"tl5.00_gl0.10_c100",5,0.1,100,1,0.165838097625129,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.00_gl0.25_c100",1,0.25,100,1,0.0654236946365812,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.50_gl0.25_c100",1.5,0.25,100,0.8,0.0891923406143781,"gain_loss_trans",NA,NA,"model10","mk"
"tl2.50_gl0.25_c100",2.5,0.25,100,0.8,0.153656185949866,"gain_loss_trans",NA,NA,"model10","mk"
"tl5.00_gl0.25_c100",5,0.25,100,1,0.165838097625129,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.00_gl0.50_c100",1,0.5,100,1,0.0655038384343245,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.50_gl0.50_c100",1.5,0.5,100,0.8,0.0891923406143781,"gain_loss_trans",NA,NA,"model10","mk"
"tl2.50_gl0.50_c100",2.5,0.5,100,0.8,0.153656185949866,"gain_loss_trans",NA,NA,"model10","mk"
"tl5.00_gl0.50_c100",5,0.5,100,1,0.165838097625129,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.00_gl1.00_c100",1,1,100,1,0.0653872731387836,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.50_gl1.00_c100",1.5,1,100,0.8,0.0891923406143781,"gain_loss_trans",NA,NA,"model10","mk"
"tl2.50_gl1.00_c100",2.5,1,100,0.8,0.153656185949866,"gain_loss_trans",NA,NA,"model10","mk"
"tl5.00_gl1.00_c100",5,1,100,1,0.165838097625129,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.00_gl0.10_c200",1,0.1,200,1,0.0126911567018965,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.50_gl0.10_c200",1.5,0.1,200,1,0.031129289800687,"gain_loss_trans",NA,NA,"model10","mk"
"tl2.50_gl0.10_c200",2.5,0.1,200,1,0.0179207497139541,"gain_loss_trans",NA,NA,"model10","mk"
"tl5.00_gl0.10_c200",5,0.1,200,1,0.0288002337234791,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.00_gl0.25_c200",1,0.25,200,1,0.0126911567018965,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.50_gl0.25_c200",1.5,0.25,200,1,0.031129289800687,"gain_loss_trans",NA,NA,"model10","mk"
"tl2.50_gl0.25_c200",2.5,0.25,200,1,0.0179207497139541,"gain_loss_trans",NA,NA,"model10","mk"
"tl5.00_gl0.25_c200",5,0.25,200,1,0.0288002337234791,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.00_gl0.50_c200",1,0.5,200,1,0.0126911567018965,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.50_gl0.50_c200",1.5,0.5,200,1,0.031129289800687,"gain_loss_trans",NA,NA,"model10","mk"
"tl2.50_gl0.50_c200",2.5,0.5,200,1,0.0179207497139541,"gain_loss_trans",NA,NA,"model10","mk"
"tl5.00_gl0.50_c200",5,0.5,200,1,0.0288002337234791,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.00_gl1.00_c200",1,1,200,1,0.0126911567018965,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.50_gl1.00_c200",1.5,1,200,1,0.031129289800687,"gain_loss_trans",NA,NA,"model10","mk"
"tl2.50_gl1.00_c200",2.5,1,200,1,0.0179207497139541,"gain_loss_trans",NA,NA,"model10","mk"
"tl5.00_gl1.00_c200",5,1,200,1,0.0288002337234791,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.00_gl0.10_c25",1,0.1,25,0.8,0.107115164773377,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.50_gl0.10_c25",1.5,0.1,25,0.8,0.114691617839447,"gain_loss_trans",NA,NA,"model11","mk"
"tl2.50_gl0.10_c25",2.5,0.1,25,0.7,0.390566531284528,"gain_loss_trans",NA,NA,"model11","mk"
"tl5.00_gl0.10_c25",5,0.1,25,0,2.2650675406033,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.00_gl0.25_c25",1,0.25,25,0.8,0.107181949926256,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.50_gl0.25_c25",1.5,0.25,25,0.8,0.114691617839447,"gain_loss_trans",NA,NA,"model11","mk"
"tl2.50_gl0.25_c25",2.5,0.25,25,0.7,0.390566531284528,"gain_loss_trans",NA,NA,"model11","mk"
"tl5.00_gl0.25_c25",5,0.25,25,0,2.2650675406033,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.00_gl0.50_c25",1,0.5,25,0.8,0.107181949926256,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.50_gl0.50_c25",1.5,0.5,25,0.8,0.114691617839447,"gain_loss_trans",NA,NA,"model11","mk"
"tl2.50_gl0.50_c25",2.5,0.5,25,0.7,0.390566531284528,"gain_loss_trans",NA,NA,"model11","mk"
"tl5.00_gl0.50_c25",5,0.5,25,0,2.2650675406033,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.00_gl1.00_c25",1,1,25,0.8,0.107181949926256,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.50_gl1.00_c25",1.5,1,25,0.8,0.114691617839447,"gain_loss_trans",NA,NA,"model11","mk"
"tl2.50_gl1.00_c25",2.5,1,25,0.7,0.390566531284528,"gain_loss_trans",NA,NA,"model11","mk"
"tl5.00_gl1.00_c25",5,1,25,0,2.2650675406033,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.00_gl0.10_c50",1,0.1,50,0.7,0.0671534567769393,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.50_gl0.10_c50",1.5,0.1,50,0.6,0.116864092637148,"gain_loss_trans",NA,NA,"model11","mk"
"tl2.50_gl0.10_c50",2.5,0.1,50,1,0.109551627194334,"gain_loss_trans",NA,NA,"model11","mk"
"tl5.00_gl0.10_c50",5,0.1,50,0.2,0.970381303787146,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.00_gl0.25_c50",1,0.25,50,0.7,0.0671534567769393,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.50_gl0.25_c50",1.5,0.25,50,0.6,0.116864092637148,"gain_loss_trans",NA,NA,"model11","mk"
"tl2.50_gl0.25_c50",2.5,0.25,50,1,0.109551627194334,"gain_loss_trans",NA,NA,"model11","mk"
"tl5.00_gl0.25_c50",5,0.25,50,0.2,0.970381303787146,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.00_gl0.50_c50",1,0.5,50,0.7,0.0671534567769393,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.50_gl0.50_c50",1.5,0.5,50,0.6,0.116864092637148,"gain_loss_trans",NA,NA,"model11","mk"
"tl2.50_gl0.50_c50",2.5,0.5,50,1,0.109551627194334,"gain_loss_trans",NA,NA,"model11","mk"
"tl5.00_gl0.50_c50",5,0.5,50,0.2,0.970381303787146,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.00_gl1.00_c50",1,1,50,0.7,0.0671534567769393,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.50_gl1.00_c50",1.5,1,50,0.6,0.116864092637148,"gain_loss_trans",NA,NA,"model11","mk"
"tl2.50_gl1.00_c50",2.5,1,50,1,0.109551627194334,"gain_loss_trans",NA,NA,"model11","mk"
"tl5.00_gl1.00_c50",5,1,50,0.2,0.970381303787146,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.00_gl0.10_c100",1,0.1,100,0.8,0.0206178980103578,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.50_gl0.10_c100",1.5,0.1,100,0.8,0.0482387886624404,"gain_loss_trans",NA,NA,"model11","mk"
"tl2.50_gl0.10_c100",2.5,0.1,100,0.4,0.145086902627914,"gain_loss_trans",NA,NA,"model11","mk"
"tl5.00_gl0.10_c100",5,0.1,100,0.1,0.616146042428203,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.00_gl0.25_c100",1,0.25,100,0.8,0.0206178980103578,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.50_gl0.25_c100",1.5,0.25,100,0.8,0.0482387886624404,"gain_loss_trans",NA,NA,"model11","mk"
"tl2.50_gl0.25_c100",2.5,0.25,100,0.4,0.145086902627914,"gain_loss_trans",NA,NA,"model11","mk"
"tl5.00_gl0.25_c100",5,0.25,100,0.1,0.616146042428203,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.00_gl0.50_c100",1,0.5,100,0.8,0.0206178980103578,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.50_gl0.50_c100",1.5,0.5,100,0.8,0.0482387886624404,"gain_loss_trans",NA,NA,"model11","mk"
"tl2.50_gl0.50_c100",2.5,0.5,100,0.4,0.145086902627914,"gain_loss_trans",NA,NA,"model11","mk"
"tl5.00_gl0.50_c100",5,0.5,100,0.1,0.616146042428203,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.00_gl1.00_c100",1,1,100,0.8,0.0206178980103578,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.50_gl1.00_c100",1.5,1,100,0.8,0.0482387886624404,"gain_loss_trans",NA,NA,"model11","mk"
"tl2.50_gl1.00_c100",2.5,1,100,0.4,0.145086902627914,"gain_loss_trans",NA,NA,"model11","mk"
"tl5.00_gl1.00_c100",5,1,100,0.1,0.616146042428203,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.00_gl0.10_c200",1,0.1,200,0.9,0.00872709041855859,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.50_gl0.10_c200",1.5,0.1,200,0.8,0.0215923120107264,"gain_loss_trans",NA,NA,"model11","mk"
"tl2.50_gl0.10_c200",2.5,0.1,200,0.6,0.0599721094261516,"gain_loss_trans",NA,NA,"model11","mk"
"tl5.00_gl0.10_c200",5,0.1,200,0,0.336854774426354,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.00_gl0.25_c200",1,0.25,200,0.9,0.00872709041855859,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.50_gl0.25_c200",1.5,0.25,200,0.8,0.0215923120107264,"gain_loss_trans",NA,NA,"model11","mk"
"tl2.50_gl0.25_c200",2.5,0.25,200,0.6,0.0599721094261516,"gain_loss_trans",NA,NA,"model11","mk"
"tl5.00_gl0.25_c200",5,0.25,200,0,0.336854774426354,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.00_gl0.50_c200",1,0.5,200,0.9,0.00872709041855859,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.50_gl0.50_c200",1.5,0.5,200,0.8,0.0215923120107264,"gain_loss_trans",NA,NA,"model11","mk"
"tl2.50_gl0.50_c200",2.5,0.5,200,0.6,0.0599721094261516,"gain_loss_trans",NA,NA,"model11","mk"
"tl5.00_gl0.50_c200",5,0.5,200,0,0.336854774426354,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.00_gl1.00_c200",1,1,200,0.9,0.00872709041855859,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.50_gl1.00_c200",1.5,1,200,0.8,0.0215923120107264,"gain_loss_trans",NA,NA,"model11","mk"
"tl2.50_gl1.00_c200",2.5,1,200,0.6,0.0599721094261516,"gain_loss_trans",NA,NA,"model11","mk"
"tl5.00_gl1.00_c200",5,1,200,0,0.336854774426354,"gain_loss_trans",NA,NA,"model11","mk"
"tl1.00_gl0.10_c25",1,0.1,25,0,0.510877027285453,"gain_loss_trans",NA,NA,"model12","mk"
"tl1.50_gl0.10_c25",1.5,0.1,25,0,1.05348480523229,"gain_loss_trans",NA,NA,"model12","mk"
"tl2.50_gl0.10_c25",2.5,0.1,25,0,3.0299668717486,"gain_loss_trans",NA,NA,"model12","mk"
"tl5.00_gl0.10_c25",5,0.1,25,0,12.3850091813675,"gain_loss_trans",NA,NA,"model12","mk"
"tl1.00_gl0.25_c25",1,0.25,25,0,0.510586304481511,"gain_loss_trans",NA,NA,"model12","mk"
"tl1.50_gl0.25_c25",1.5,0.25,25,0,1.05339783426424,"gain_loss_trans",NA,NA,"model12","mk"
